Subject,Start Date,Start Time,End Date,End Time,Description,Location
"*HEL203",2016-01-06,13:15,2016-01-06,15:00,"Omholt Linge Mona","KRS IU 001 sem"
"*TFL113 tors uke 1. 2",2016-01-07,12:15,2016-01-07,14:00,"Ask Anne Merete Selvik","KRS IU 001 sem"
"-EX-100 fil.hist. man",2016-01-11,12:15,2016-01-11,14:00,"Vaags Ralph Henk","KRS B1 006 aud"
"-EX-102 humanioravar.",2016-01-11,15:15,2016-01-11,17:00,"Løkke Håvard","KRS B2 004 aud"
"-EX-102/EX-101 vitensk.fil.",2016-01-12,15:15,2016-01-12,17:00,"Vaags Ralph Henk","KRS B3 001 aud"
"*HEL203",2016-01-13,13:15,2016-01-13,15:00,"Omholt Linge Mona","KRS IU 001 sem"
"*TFL113 tors uke 1. 2",2016-01-14,12:15,2016-01-14,14:00,"Ask Anne Merete Selvik","KRS IU 001 sem"
"-EX-100 fil.hist. man",2016-01-18,12:15,2016-01-18,14:00,"Vaags Ralph Henk","KRS B1 006 aud"
"-EX-102 humanioravar.",2016-01-18,15:15,2016-01-18,17:00,"Løkke Håvard","KRS B2 004 aud"
"*TFL113 tirs uke 3",2016-01-19,09:15,2016-01-19,11:00,"Ask Anne Merete Selvik","KRS F1 024 aud/gr"
"*TFL113 tirs uke 3",2016-01-19,11:15,2016-01-19,16:00,"Ask Anne Merete Selvik","KRS 48 114 sem"
"-EX-102/EX-101 vitensk.fil.",2016-01-19,15:15,2016-01-19,17:00,"Vaags Ralph Henk","KRS B3 001 aud"
"*TFL113 ons uke 3",2016-01-20,09:15,2016-01-20,12:00,"Ask Anne Merete Selvik","KRS F1 024 aud/gr"
"*TFL113 ons uke 3",2016-01-20,12:15,2016-01-20,15:00,"Ask Anne Merete Selvik","KRS B3 008 aud"
"-EX-100 fil.hist. man",2016-01-25,12:15,2016-01-25,14:00,"Vaags Ralph Henk","KRS B1 006 aud"
"-EX-102 humanioravar.",2016-01-25,15:15,2016-01-25,17:00,"Løkke Håvard","KRS B2 004 aud"
"-EX-100 etikk tirs",2016-01-26,12:15,2016-01-26,14:00,"Løkke Håvard","KRS 46 118 aula"
"-EX-102/EX-101 vitensk.fil.",2016-01-26,15:15,2016-01-26,17:00,"Vaags Ralph Henk","KRS B3 001 aud"
"*TFL113/ERN117 uke 4",2016-01-27,09:15,2016-01-27,15:00,"Aase Andreas","KRS 48 115 sem"
"-EX-100 fil.hist. man",2016-02-01,12:15,2016-02-01,14:00,"Vaags Ralph Henk","KRS B1 006 aud"
"-EX-102 humanioravar.",2016-02-01,15:15,2016-02-01,17:00,"Løkke Håvard","KRS B2 004 aud"
"-EX-100 etikk tirs",2016-02-02,12:15,2016-02-02,14:00,"Løkke Håvard","KRS 46 118 aula"
"-EX-102/EX-101 vitensk.fil.",2016-02-02,15:15,2016-02-02,17:00,"Vaags Ralph Henk","KRS B3 001 aud"
"*TFL113 tors uke 5. 6",2016-02-04,09:15,2016-02-04,15:00,"Ask Anne Merete Selvik","KRS I1 002 sem"
"-EX-100 fil.hist. man",2016-02-08,12:15,2016-02-08,14:00,"Vaags Ralph Henk","KRS B1 006 aud"
"-EX-102 humanioravar.",2016-02-08,15:15,2016-02-08,17:00,"Løkke Håvard","KRS B2 004 aud"
"-EX-100 etikk tirs",2016-02-09,12:15,2016-02-09,14:00,"Løkke Håvard","KRS 46 118 aula"
"-EX-102/EX-101 vitensk.fil.",2016-02-09,15:15,2016-02-09,17:00,"Vaags Ralph Henk","KRS B3 001 aud"
"*TFL113 tors uke 5. 6",2016-02-11,09:15,2016-02-11,15:00,"Ask Anne Merete Selvik","KRS I1 002 sem"
"-EX-100 fil.hist. man",2016-02-15,12:15,2016-02-15,14:00,"Vaags Ralph Henk","KRS B1 006 aud"
"-EX-102 humanioravar.",2016-02-15,15:15,2016-02-15,17:00,"Løkke Håvard","KRS B2 004 aud"
"-EX-100 etikk tirs",2016-02-16,12:15,2016-02-16,14:00,"Løkke Håvard","KRS 46 118 aula"
"-EX-102/EX-101 vitensk.fil.",2016-02-16,15:15,2016-02-16,17:00,"Vaags Ralph Henk","KRS B3 001 aud"
"-EX-100 fil.hist. man",2016-02-29,12:15,2016-02-29,14:00,"Vaags Ralph Henk","KRS B1 006 aud"
"-EX-102 humanioravar.",2016-02-29,15:15,2016-02-29,17:00,"Løkke Håvard","KRS B2 004 aud"
"-EX-100 etikk tirs",2016-03-01,12:15,2016-03-01,14:00,"Løkke Håvard","KRS 46 118 aula"
"*HEL203",2016-03-02,13:15,2016-03-02,15:00,"Omholt Linge Mona","KRS IU 001 sem"
"*TFL113 kjøkken 3",2016-03-03,12:15,2016-03-03,16:00,"Ask Anne Merete Selvik","KRS x Kjøkken bygg I-"
"-EX-100 fil.hist. man",2016-03-07,12:15,2016-03-07,14:00,"Vaags Ralph Henk","KRS B1 006 aud"
"-EX-102 humanioravar.",2016-03-07,15:15,2016-03-07,17:00,"Løkke Håvard","KRS B2 004 aud"
