Subject,Start Date,Start Time,End Date,End Time,Description,Location
"'MA-015/Forel/03",2016-01-06,12:15,2016-01-06,14:00,"Søyland Terje","GRM C2 040 aud"
"'MA-015/Øv/02",2016-01-07,09:15,2016-01-07,12:00,"Søyland Terje","GRM A2 046 sem*, GRM A2 047 sem*"
"'MA-015/Forel/04",2016-01-07,12:15,2016-01-07,14:00,"Søyland Terje","GRM C2 040 aud"
"'TFL011/forel/øv/01",2016-01-07,14:15,2016-01-07,16:00,"Almlie, Gunvor Sofia","GRM C2 040 aud"
"'TFL011/forel/øv/02",2016-01-08,10:15,2016-01-08,12:00,"Almlie, Gunvor Sofia","GRM C2 040 aud"
"'NO-008/forel/øv/04 Engelsk",2016-01-08,12:15,2016-01-08,14:00,"Almlie, Gunvor Sofia","GRM C4 055 aud"
"'FYS008/Forel/01",2016-01-11,08:15,2016-01-11,10:00,"Vehus, Tore","GRM C2 040 aud"
"'NO-008/forel/øv/01",2016-01-11,10:15,2016-01-11,12:00,"Stifoss-Hanssen Astrid","GRM C4 055 aud"
"'MA-015/Forel/01",2016-01-11,12:15,2016-01-11,14:00,"Søyland Terje","GRM C2 040 aud"
"'NO-008/forel/øv/02",2016-01-11,14:15,2016-01-11,16:00,"Stifoss-Hanssen Astrid","GRM C4 055 aud"
"'MA-015/Forel/02",2016-01-12,08:15,2016-01-12,10:00,"Søyland Terje","GRM C2 040 aud"
"'MA-015/Øv/01",2016-01-12,10:15,2016-01-12,12:00,"Søyland Terje","GRM A2 046 sem*, GRM A2 047 sem*"
"'FYS008/Forel/02",2016-01-12,12:15,2016-01-12,14:00,"Vehus, Tore","GRM C2 041 aud"
"'NO-008/forel/øv/03",2016-01-12,14:15,2016-01-12,16:00,"Stifoss-Hanssen Astrid","GRM C4 055 aud"
"'FYS008/Øv/01",2016-01-13,08:15,2016-01-13,12:00,"Vehus, Tore","GRM C4 090 sem*, GRM C4 091 sem*"
"'MA-015/Forel/03",2016-01-13,12:15,2016-01-13,14:00,"Søyland Terje","GRM C2 040 aud"
"'MA-015/Forel/ Ekstraundervisning",2016-01-13,14:15,2016-01-13,16:00,"Søyland Terje","GRM A2 084 aud"
"'MA-015/Øv/02",2016-01-14,09:15,2016-01-14,12:00,"Søyland Terje","GRM A2 046 sem*, GRM A2 047 sem*"
"'MA-015/Forel/04",2016-01-14,12:15,2016-01-14,14:00,"Søyland Terje","GRM C2 040 aud"
"'TFL011/forel/øv/01",2016-01-14,14:15,2016-01-14,16:00,"Almlie, Gunvor Sofia","GRM C2 040 aud"
"'TFL011/forel/øv/02",2016-01-15,10:15,2016-01-15,12:00,"Almlie, Gunvor Sofia","GRM C2 040 aud"
"'NO-008/forel/øv/04 Engelsk",2016-01-15,12:15,2016-01-15,14:00,"Almlie, Gunvor Sofia","GRM C4 055 aud"
"'FYS008/Forel/01",2016-01-18,08:15,2016-01-18,10:00,"Vehus, Tore","GRM C2 040 aud"
"'NO-008/forel/øv/01",2016-01-18,10:15,2016-01-18,12:00,"Stifoss-Hanssen Astrid","GRM C4 055 aud"
"'MA-015/Forel/01",2016-01-18,12:15,2016-01-18,14:00,"Søyland Terje","GRM C2 040 aud"
"'NO-008/forel/øv/02",2016-01-18,14:15,2016-01-18,16:00,"Stifoss-Hanssen Astrid","GRM C4 055 aud"
"'MA-015/Forel/02",2016-01-19,08:15,2016-01-19,10:00,"Søyland Terje","GRM C2 040 aud"
"'MA-015/Øv/01",2016-01-19,10:15,2016-01-19,12:00,"Søyland Terje","GRM A2 046 sem*, GRM A2 047 sem*"
"'FYS008/Forel/02",2016-01-19,12:15,2016-01-19,14:00,"Vehus, Tore","GRM C2 041 aud"
"'NO-008/forel/øv/03",2016-01-19,14:15,2016-01-19,16:00,"Stifoss-Hanssen Astrid","GRM C4 055 aud"
"'FYS008/Øv/01",2016-01-20,08:15,2016-01-20,12:00,"Vehus, Tore","GRM C4 090 sem*, GRM C4 091 sem*"
"'MA-015/Forel/03",2016-01-20,12:15,2016-01-20,14:00,"Søyland Terje","GRM C2 040 aud"
"'MA-015/Forel/ Ekstraundervisning",2016-01-20,14:15,2016-01-20,16:00,"Søyland Terje","GRM A2 084 aud"
"'MA-015/Øv/02",2016-01-21,09:15,2016-01-21,12:00,"Søyland Terje","GRM A2 046 sem*, GRM A2 047 sem*"
"'MA-015/Forel/04",2016-01-21,12:15,2016-01-21,14:00,"Søyland Terje","GRM C2 040 aud"
"'TFL011/forel/øv/01",2016-01-21,14:15,2016-01-21,16:00,"Almlie, Gunvor Sofia","GRM C2 040 aud"
"'TFL011/forel/øv/02",2016-01-22,10:15,2016-01-22,12:00,"Almlie, Gunvor Sofia","GRM C2 040 aud"
"'NO-008/forel/øv/04 Engelsk",2016-01-22,12:15,2016-01-22,14:00,"Almlie, Gunvor Sofia","GRM C4 055 aud"
"'FYS008/Forel/01",2016-01-25,08:15,2016-01-25,10:00,"Vehus, Tore","GRM C2 040 aud"
"'NO-008/forel/øv/01",2016-01-25,10:15,2016-01-25,12:00,"Stifoss-Hanssen Astrid","GRM C4 055 aud"
"'MA-015/Forel/01",2016-01-25,12:15,2016-01-25,14:00,"Søyland Terje","GRM C2 040 aud"
"'NO-008/forel/øv/02",2016-01-25,14:15,2016-01-25,16:00,"Stifoss-Hanssen Astrid","GRM C4 055 aud"
"'MA-015/Forel/02",2016-01-26,08:15,2016-01-26,10:00,"Søyland Terje","GRM C2 040 aud"
"'MA-015/Øv/01",2016-01-26,10:15,2016-01-26,12:00,"Søyland Terje","GRM A2 046 sem*, GRM A2 047 sem*"
"'FYS008/Forel/02",2016-01-26,12:15,2016-01-26,14:00,"Vehus, Tore","GRM C2 041 aud"
"'NO-008/forel/øv/03",2016-01-26,14:15,2016-01-26,16:00,"Stifoss-Hanssen Astrid","GRM C4 055 aud"
"'FYS008/Øv/01",2016-01-27,08:15,2016-01-27,12:00,"Vehus, Tore","GRM C4 090 sem*, GRM C4 091 sem*"
"'MA-015/Forel/03",2016-01-27,12:15,2016-01-27,14:00,"Søyland Terje","GRM C2 040 aud"
"'MA-015/Forel/ Ekstraundervisning",2016-01-27,14:15,2016-01-27,16:00,"Søyland Terje","GRM A2 084 aud"
"'MA-015/Øv/02",2016-01-28,09:15,2016-01-28,12:00,"Søyland Terje","GRM A2 046 sem*, GRM A2 047 sem*"
"'MA-015/Forel/04",2016-01-28,12:15,2016-01-28,14:00,"Søyland Terje","GRM C2 040 aud"
"'TFL011/forel/øv/01",2016-01-28,14:15,2016-01-28,16:00,"Almlie, Gunvor Sofia","GRM C2 040 aud"
"'TFL011/forel/øv/02",2016-01-29,10:15,2016-01-29,12:00,"Almlie, Gunvor Sofia","GRM C2 040 aud"
"'NO-008/forel/øv/04 Engelsk",2016-01-29,12:15,2016-01-29,14:00,"Almlie, Gunvor Sofia","GRM C4 055 aud"
"'FYS008/Forel/01",2016-02-01,08:15,2016-02-01,10:00,"Vehus, Tore","GRM C2 040 aud"
"'NO-008/forel/øv/01",2016-02-01,10:15,2016-02-01,12:00,"Stifoss-Hanssen Astrid","GRM C4 055 aud"
"'MA-015/Forel/01",2016-02-01,12:15,2016-02-01,14:00,"Søyland Terje","GRM C2 040 aud"
"'NO-008/forel/øv/02",2016-02-01,14:15,2016-02-01,16:00,"Stifoss-Hanssen Astrid","GRM C4 055 aud"
"'MA-015/Forel/02",2016-02-02,08:15,2016-02-02,10:00,"Søyland Terje","GRM C2 040 aud"
"'MA-015/Øv/01",2016-02-02,10:15,2016-02-02,12:00,"Søyland Terje","GRM A2 046 sem*, GRM A2 047 sem*"
"'FYS008/Forel/02",2016-02-02,12:15,2016-02-02,14:00,"Vehus, Tore","GRM C2 041 aud"
"'NO-008/forel/øv/03",2016-02-02,14:15,2016-02-02,16:00,"Stifoss-Hanssen Astrid","GRM C4 055 aud"
"'FYS008/Øv/01",2016-02-03,08:15,2016-02-03,12:00,"Vehus, Tore","GRM C4 090 sem*, GRM C4 091 sem*"
"'MA-015/Forel/03",2016-02-03,12:15,2016-02-03,14:00,"Søyland Terje","GRM C2 040 aud"
"'MA-015/Forel/ Ekstraundervisning",2016-02-03,14:15,2016-02-03,16:00,"Søyland Terje","GRM A2 084 aud"
"'MA-015/Øv/02",2016-02-04,09:15,2016-02-04,12:00,"Søyland Terje","GRM A2 046 sem*, GRM A2 047 sem*"
"'MA-015/Forel/04",2016-02-04,12:15,2016-02-04,14:00,"Søyland Terje","GRM C2 040 aud"
"'TFL011/forel/øv/01",2016-02-04,14:15,2016-02-04,16:00,"Almlie, Gunvor Sofia","GRM C2 040 aud"
"'TFL011/forel/øv/02",2016-02-05,10:15,2016-02-05,12:00,"Almlie, Gunvor Sofia","GRM C2 040 aud"
"'NO-008/forel/øv/04 Engelsk",2016-02-05,12:15,2016-02-05,14:00,"Almlie, Gunvor Sofia","GRM C4 055 aud"
"'FYS008/Forel/01",2016-02-08,08:15,2016-02-08,10:00,"Vehus, Tore","GRM C2 040 aud"
"'NO-008/forel/øv/01",2016-02-08,10:15,2016-02-08,12:00,"Stifoss-Hanssen Astrid","GRM C4 055 aud"
"'MA-015/Forel/01",2016-02-08,12:15,2016-02-08,14:00,"Søyland Terje","GRM C2 040 aud"
"'NO-008/forel/øv/02",2016-02-08,14:15,2016-02-08,16:00,"Stifoss-Hanssen Astrid","GRM C4 055 aud"
"'MA-015/Forel/02",2016-02-09,08:15,2016-02-09,10:00,"Søyland Terje","GRM C2 040 aud"
"'MA-015/Øv/01",2016-02-09,10:15,2016-02-09,12:00,"Søyland Terje","GRM A2 046 sem*, GRM A2 047 sem*"
"'FYS008/Forel/02",2016-02-09,12:15,2016-02-09,14:00,"Vehus, Tore","GRM C2 041 aud"
"'NO-008/forel/øv/03",2016-02-09,14:15,2016-02-09,16:00,"Stifoss-Hanssen Astrid","GRM C4 055 aud"
"'FYS008/Øv/01",2016-02-10,08:15,2016-02-10,12:00,"Vehus, Tore","GRM C4 090 sem*, GRM C4 091 sem*"
"'MA-015/Forel/03",2016-02-10,12:15,2016-02-10,14:00,"Søyland Terje","GRM C2 040 aud"
"'MA-015/Forel/ Ekstraundervisning",2016-02-10,14:15,2016-02-10,16:00,"Søyland Terje","GRM A2 084 aud"
"'MA-015/Øv/02",2016-02-11,09:15,2016-02-11,12:00,"Søyland Terje","GRM A2 046 sem*, GRM A2 047 sem*"
"'MA-015/Forel/04",2016-02-11,12:15,2016-02-11,14:00,"Søyland Terje","GRM C2 040 aud"
"'TFL011/forel/øv/01",2016-02-11,14:15,2016-02-11,16:00,"Almlie, Gunvor Sofia","GRM C2 040 aud"
"'TFL011/forel/øv/02",2016-02-12,10:15,2016-02-12,12:00,"Almlie, Gunvor Sofia","GRM C2 040 aud"
"'NO-008/forel/øv/04 Engelsk",2016-02-12,12:15,2016-02-12,14:00,"Almlie, Gunvor Sofia","GRM C4 055 aud"
"'FYS008/Forel/01",2016-02-15,08:15,2016-02-15,10:00,"Vehus, Tore","GRM C2 040 aud"
"'NO-008/forel/øv/01",2016-02-15,10:15,2016-02-15,12:00,"Stifoss-Hanssen Astrid","GRM C4 055 aud"
"'MA-015/Forel/01",2016-02-15,12:15,2016-02-15,14:00,"Søyland Terje","GRM C2 040 aud"
