Subject,Start Date,Start Time,End Date,End Time,Description,Location
"'ENE411/Forel/02",2016-01-07,08:15,2016-01-07,10:00,"Khang Huynh Van, Kohle, Mohan","GRM D3 052 sem"
"'ENE411/Øv/02",2016-01-07,10:15,2016-01-07,12:00,"Khang Huynh Van, Kohle, Mohan","GRM D3 052 sem"
"'ENE409-G/Forel/Øv/02",2016-01-07,12:15,2016-01-07,15:00,"Arentzen Paul, Nielsen Henrik Kofoed, Rudra Souman","GRM D3 052 sem"
"'ENE412-G/Forel/Øv/01",2016-01-11,09:15,2016-01-11,12:00,"Imenes Anne Gerd, Middelton Hugh","GRM D2 030 lab NAT, GRM D3 052 sem"
"'ENE412-G/Forel/Øv/02",2016-01-11,12:15,2016-01-11,15:00,"Imenes Anne Gerd, Middelton Hugh","GRM D2 030 lab NAT, GRM D3 052 sem"
"'ENE409-G/Forel/Øv/01",2016-01-12,09:15,2016-01-12,12:00,"Arentzen Paul, Nielsen Henrik Kofoed, Rudra Souman","GRM D3 052 sem"
"'ENE411/Forel/01",2016-01-12,12:15,2016-01-12,14:00,"Khang Huynh Van, Kohle, Mohan","GRM D3 052 sem"
"'ENE411/Øv/01",2016-01-12,14:15,2016-01-12,16:00,"Khang Huynh Van, Kohle, Mohan","GRM D3 052 sem"
"'MAS409/Forel/01 uke 2 08-12",2016-01-13,08:15,2016-01-13,12:00,"Choux, Martin","GRM A2 025 sem, GRM A2 046 sem*, GRM A2 047 sem*"
"'MAS409/Forel/01 uke 2 12-14",2016-01-13,12:15,2016-01-13,14:00,"Choux, Martin","GRM A2 025 sem, GRM A2 084 aud"
"'ENE411/Forel/02",2016-01-14,08:15,2016-01-14,10:00,"Khang Huynh Van, Kohle, Mohan","GRM D3 052 sem"
"'ENE411/Øv/02",2016-01-14,10:15,2016-01-14,12:00,"Khang Huynh Van, Kohle, Mohan","GRM D3 052 sem"
"'ENE409-G/Forel/Øv/02",2016-01-14,12:15,2016-01-14,15:00,"Arentzen Paul, Nielsen Henrik Kofoed, Rudra Souman","GRM D3 052 sem"
"'ENE412-G/Forel/Øv/01",2016-01-18,09:15,2016-01-18,12:00,"Imenes Anne Gerd, Middelton Hugh","GRM D2 030 lab NAT, GRM D3 052 sem"
"'ENE412-G/Forel/Øv/02",2016-01-18,12:15,2016-01-18,15:00,"Imenes Anne Gerd, Middelton Hugh","GRM D2 030 lab NAT, GRM D3 052 sem"
"'ENE409-G/Forel/Øv/01",2016-01-19,09:15,2016-01-19,12:00,"Arentzen Paul, Nielsen Henrik Kofoed, Rudra Souman","GRM D3 052 sem"
"'ENE411/Forel/01",2016-01-19,12:15,2016-01-19,14:00,"Khang Huynh Van, Kohle, Mohan","GRM D3 052 sem"
"'ENE411/Øv/01",2016-01-19,14:15,2016-01-19,16:00,"Khang Huynh Van, Kohle, Mohan","GRM D3 052 sem"
"'MAS409/Forel/01 F202",2016-01-20,08:15,2016-01-20,14:00,"Choux, Martin","GRM F 202 sem"
"'ENE411/Forel/02",2016-01-21,08:15,2016-01-21,10:00,"Khang Huynh Van, Kohle, Mohan","GRM D3 052 sem"
"'ENE411/Øv/02",2016-01-21,10:15,2016-01-21,12:00,"Khang Huynh Van, Kohle, Mohan","GRM D3 052 sem"
"'ENE409-G/Forel/Øv/02",2016-01-21,12:15,2016-01-21,15:00,"Arentzen Paul, Nielsen Henrik Kofoed, Rudra Souman","GRM D3 052 sem"
"'ENE412-G/Forel/Øv/01",2016-01-25,09:15,2016-01-25,12:00,"Imenes Anne Gerd, Middelton Hugh","GRM D2 030 lab NAT, GRM D3 052 sem"
"'ENE412-G/Forel/Øv/02",2016-01-25,12:15,2016-01-25,15:00,"Imenes Anne Gerd, Middelton Hugh","GRM D2 030 lab NAT, GRM D3 052 sem"
"'ENE409-G/Forel/Øv/01",2016-01-26,09:15,2016-01-26,12:00,"Arentzen Paul, Nielsen Henrik Kofoed, Rudra Souman","GRM D3 052 sem"
"'ENE411/Forel/01",2016-01-26,12:15,2016-01-26,14:00,"Khang Huynh Van, Kohle, Mohan","GRM D3 052 sem"
"'ENE411/Øv/01",2016-01-26,14:15,2016-01-26,16:00,"Khang Huynh Van, Kohle, Mohan","GRM D3 052 sem"
"'MAS409/Forel/01 F202",2016-01-27,08:15,2016-01-27,14:00,"Choux, Martin","GRM F 202 sem"
"'ENE411/Forel/02",2016-01-28,08:15,2016-01-28,10:00,"Khang Huynh Van, Kohle, Mohan","GRM D3 052 sem"
"'ENE411/Øv/02",2016-01-28,10:15,2016-01-28,12:00,"Khang Huynh Van, Kohle, Mohan","GRM D3 052 sem"
"'ENE409-G/Forel/Øv/02",2016-01-28,12:15,2016-01-28,15:00,"Arentzen Paul, Nielsen Henrik Kofoed, Rudra Souman","GRM D3 052 sem"
"'ENE412-G/Forel/Øv/01",2016-02-01,09:15,2016-02-01,12:00,"Imenes Anne Gerd, Middelton Hugh","GRM D2 030 lab NAT, GRM D3 052 sem"
"'ENE412-G/Forel/Øv/02",2016-02-01,12:15,2016-02-01,15:00,"Imenes Anne Gerd, Middelton Hugh","GRM D2 030 lab NAT, GRM D3 052 sem"
"'ENE409-G/Forel/Øv/01",2016-02-02,09:15,2016-02-02,12:00,"Arentzen Paul, Nielsen Henrik Kofoed, Rudra Souman","GRM D3 052 sem"
"'ENE411/Forel/01",2016-02-02,12:15,2016-02-02,14:00,"Khang Huynh Van, Kohle, Mohan","GRM D3 052 sem"
"'ENE411/Øv/01",2016-02-02,14:15,2016-02-02,16:00,"Khang Huynh Van, Kohle, Mohan","GRM D3 052 sem"
"'MAS409/Forel/01 F202",2016-02-03,08:15,2016-02-03,14:00,"Choux, Martin","GRM F 202 sem"
"'ENE411/Forel/02",2016-02-04,08:15,2016-02-04,10:00,"Khang Huynh Van, Kohle, Mohan","GRM D3 052 sem"
"'ENE411/Øv/02",2016-02-04,10:15,2016-02-04,12:00,"Khang Huynh Van, Kohle, Mohan","GRM D3 052 sem"
"'ENE409-G/Forel/Øv/02",2016-02-04,12:15,2016-02-04,15:00,"Arentzen Paul, Nielsen Henrik Kofoed, Rudra Souman","GRM D3 052 sem"
"'ENE412-G/Forel/Øv/01",2016-02-08,09:15,2016-02-08,12:00,"Imenes Anne Gerd, Middelton Hugh","GRM D2 030 lab NAT, GRM D3 052 sem"
