Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-FR-122 pr fransk",2016-02-08,09:15,2016-02-08,11:00,"Lomheim Francine Girard","KRS F1 023 sem"
"-FR-124 litt",2016-02-08,12:15,2016-02-08,14:00,"Lyngstad Brit Helene","KRS F2 007 sem"
"-FR-124 kultur uke 6",2016-02-09,09:15,2016-02-09,12:00,"Lomheim Francine Girard","KRS F1 018 sem"
"-FR-122 gram",2016-02-09,13:15,2016-02-09,15:00,"Sveberg Tore Frøland","KRS F2 001 sem"
"-FR-124 litt",2016-02-10,09:15,2016-02-10,11:00,"Lyngstad Brit Helene","KRS F2 007 sem"
"-FR-122 film ",2016-02-10,12:15,2016-02-10,15:00,"Lomheim Francine Girard","KRS B2 006 aud"
"-FR-122 gram",2016-02-11,09:15,2016-02-11,11:00,"Sveberg Tore Frøland","KRS F2 001 sem"
"-FR-122 pr fransk",2016-02-15,09:15,2016-02-15,11:00,"Lomheim Francine Girard","KRS F1 023 sem"
"-FR-124 litt",2016-02-15,12:15,2016-02-15,14:00,"Lyngstad Brit Helene","KRS F2 007 sem"
"-FR-124 kultur uke 7",2016-02-16,09:15,2016-02-16,12:00,"Lomheim Francine Girard","KRS F1 031 sem"
"-FR-122 gram",2016-02-16,13:15,2016-02-16,15:00,"Sveberg Tore Frøland","KRS F2 001 sem"
"-FR-124 litt",2016-02-17,09:15,2016-02-17,11:00,"Lyngstad Brit Helene","KRS F2 007 sem"
"-FR-122 film ",2016-02-17,12:15,2016-02-17,15:00,"Lomheim Francine Girard","KRS B2 006 aud"
"-FR-122 gram",2016-02-18,09:15,2016-02-18,11:00,"Sveberg Tore Frøland","KRS F2 001 sem"
"-FR-124 litt uke 9.10",2016-02-29,12:15,2016-02-29,14:00,"Lyngstad Brit Helene","KRS F2 007 sem"
"-FR-124 kultur uke 9.10",2016-03-01,09:15,2016-03-01,12:00,"Lomheim Francine Girard","KRS F2 004 sem"
"-FR-122 gram uke 9.10",2016-03-01,13:15,2016-03-01,15:00,"Sveberg Tore Frøland","KRS F2 001 sem"
