Subject,Start Date,Start Time,End Date,End Time,Description,Location
".SV-405-1 for 1*",2016-03-08,13:15,2016-03-08,15:00,"Cruickshank Jørn","KRS 48 007 B sem"
".SV-405-1 for 2* minus uke 18",2016-03-10,09:15,2016-03-10,11:00,"Cruickshank Jørn","KRS 48 007 B sem"
".SV-405-1 for 1*",2016-03-15,13:15,2016-03-15,15:00,"Cruickshank Jørn","KRS 48 007 B sem"
".SV-405-1 for 2* minus uke 18",2016-03-17,09:15,2016-03-17,11:00,"Cruickshank Jørn","KRS 48 007 B sem"
".SV-405-1 for 1*",2016-03-29,13:15,2016-03-29,15:00,"Cruickshank Jørn","KRS 48 007 B sem"
".SV-405-1 for 2* minus uke 18",2016-03-31,09:15,2016-03-31,11:00,"Cruickshank Jørn","KRS 48 007 B sem"
".SV-405-1 for 1*",2016-04-05,13:15,2016-04-05,15:00,"Cruickshank Jørn","KRS 48 007 B sem"
".SV-405-1 for 2* minus uke 18",2016-04-07,09:15,2016-04-07,11:00,"Cruickshank Jørn","KRS 48 007 B sem"
".SV-405-1 for 1*",2016-04-12,13:15,2016-04-12,15:00,"Cruickshank Jørn","KRS 48 007 B sem"
".SV-405-1 for 2* minus uke 18",2016-04-14,09:15,2016-04-14,11:00,"Cruickshank Jørn","KRS 48 007 B sem"
".SV-405-1 for 1*",2016-04-19,13:15,2016-04-19,15:00,"Cruickshank Jørn","KRS 48 007 B sem"
".SV-405-1 for 2* minus uke 18",2016-04-21,09:15,2016-04-21,11:00,"Cruickshank Jørn","KRS 48 007 B sem"
".SV-405-1 for 1*",2016-04-26,13:15,2016-04-26,15:00,"Cruickshank Jørn","KRS 48 007 B sem"
".SV-405-1 for 2* minus uke 18",2016-04-28,09:15,2016-04-28,11:00,"Cruickshank Jørn","KRS 48 007 B sem"
".SV-405-1 for 1*",2016-05-03,13:15,2016-05-03,15:00,"Cruickshank Jørn","KRS 48 007 B sem"
