Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-SV-142 for/sem",2016-01-07,08:15,2016-01-07,12:00,"Hidle Kari-Mette Wahlmann, Trysnes Irene","KRS B3 004 sem"
"-SV-141 for/sem",2016-01-08,09:15,2016-01-08,13:00,"Vasstrøm Mikaela, Aase Andreas","KRS B3 004 sem"
"-SV-142 for/sem",2016-01-11,09:15,2016-01-11,13:00,"Hidle Kari-Mette Wahlmann, Trysnes Irene","KRS B3 004 sem"
"-SV-141 for/sem",2016-01-12,08:15,2016-01-12,12:00,"Vasstrøm Mikaela, Aase Andreas","KRS B3 004 sem"
"-SV-142 for/sem",2016-01-14,08:15,2016-01-14,12:00,"Hidle Kari-Mette Wahlmann, Trysnes Irene","KRS B3 004 sem"
"-SV-141 for/sem",2016-01-15,09:15,2016-01-15,13:00,"Vasstrøm Mikaela, Aase Andreas","KRS B3 004 sem"
"-SV-142 for/sem",2016-01-18,09:15,2016-01-18,13:00,"Hidle Kari-Mette Wahlmann, Trysnes Irene","KRS B3 004 sem"
"-SV-141 for/sem",2016-01-19,08:15,2016-01-19,12:00,"Vasstrøm Mikaela, Aase Andreas","KRS B3 004 sem"
"-SV-142 for/sem",2016-01-21,08:15,2016-01-21,12:00,"Hidle Kari-Mette Wahlmann, Trysnes Irene","KRS B3 004 sem"
"-SV-141 for/sem",2016-01-22,09:15,2016-01-22,13:00,"Vasstrøm Mikaela, Aase Andreas","KRS B3 004 sem"
"-SV-142 for/sem",2016-01-25,09:15,2016-01-25,13:00,"Hidle Kari-Mette Wahlmann, Trysnes Irene","KRS B3 004 sem"
"-SV-141 for/sem",2016-01-26,08:15,2016-01-26,12:00,"Vasstrøm Mikaela, Aase Andreas","KRS B3 004 sem"
"-SV-142 for/sem",2016-01-28,08:15,2016-01-28,12:00,"Hidle Kari-Mette Wahlmann, Trysnes Irene","KRS B3 004 sem"
"-SV-141 for/sem",2016-01-29,09:15,2016-01-29,13:00,"Vasstrøm Mikaela, Aase Andreas","KRS B3 004 sem"
"-SV-142 for/sem",2016-02-01,09:15,2016-02-01,13:00,"Hidle Kari-Mette Wahlmann, Trysnes Irene","KRS B3 004 sem"
"-SV-141 for/sem",2016-02-02,08:15,2016-02-02,12:00,"Vasstrøm Mikaela, Aase Andreas","KRS B3 004 sem"
"-SV-142 for/sem",2016-02-04,08:15,2016-02-04,12:00,"Hidle Kari-Mette Wahlmann, Trysnes Irene","KRS B3 004 sem"
"-SV-141 for/sem",2016-02-05,09:15,2016-02-05,13:00,"Vasstrøm Mikaela, Aase Andreas","KRS B3 004 sem"
"-SV-142 for/sem",2016-02-08,09:15,2016-02-08,13:00,"Hidle Kari-Mette Wahlmann, Trysnes Irene","KRS B3 004 sem"
"-SV-141 for/sem",2016-02-09,08:15,2016-02-09,12:00,"Vasstrøm Mikaela, Aase Andreas","KRS B3 004 sem"
"-SV-142 for/sem",2016-02-11,08:15,2016-02-11,12:00,"Hidle Kari-Mette Wahlmann, Trysnes Irene","KRS B3 004 sem"
"-SV-141 for/sem",2016-02-12,09:15,2016-02-12,13:00,"Vasstrøm Mikaela, Aase Andreas","KRS B3 004 sem"
"-SV-142/SV-139 for/sem 15.02",2016-02-15,09:15,2016-02-15,13:00,"Trysnes Irene","KRS F1 022 sem"
