Subject,Start Date,Start Time,End Date,End Time,Description,Location
"'NAT104/Forel/01 Fysikk*",2016-01-06,09:15,2016-01-06,12:00,"Knutsen Turid","GRM A2 021 sem"
"'NAT104/Forel/01 Kjemi*",2016-01-07,09:15,2016-01-07,12:00,"Knutsen Turid","GRM A3 020 sem"
"'NAT104/Forel/01 Fysikk 08.01*",2016-01-08,10:15,2016-01-08,12:00,"Knutsen Turid","GRM A2 021 sem"
"'PED146/Forel/01",2016-01-11,09:15,2016-01-11,14:00,"Briseid Lars Gunnar, Haraldstad Åse","GRM A3 020 sem"
"'PED146/Forel/02 uke 2 09-13",2016-01-12,09:15,2016-01-12,13:00,"Briseid Lars Gunnar, Haraldstad Åse","GRM A3 020 sem"
"'PED146/Forel/02 uke 2 13-15",2016-01-12,13:15,2016-01-12,15:00,"Briseid Lars Gunnar, Haraldstad Åse","GRM A3 025 sem VER"
"'NAT104/Forel/01 Fysikk*",2016-01-13,09:15,2016-01-13,12:00,"Knutsen Turid","GRM A2 021 sem"
"'NAT104/Lab/01 Bio designlab 13.01*",2016-01-13,12:15,2016-01-13,16:00,"Wrånes Eldar","GRM C3 084 lab D/T"
"'NAT104/Forel/01 Kjemi*",2016-01-14,09:15,2016-01-14,12:00,"Knutsen Turid","GRM A3 020 sem"
"'PED146/Forel/01",2016-01-18,09:15,2016-01-18,14:00,"Briseid Lars Gunnar, Haraldstad Åse","GRM A3 020 sem"
"'PED146/Forel/02",2016-01-19,09:15,2016-01-19,14:00,"Briseid Lars Gunnar, Haraldstad Åse","GRM A3 020 sem"
"'NAT104/Forel/01 Fysikk*",2016-01-20,09:15,2016-01-20,12:00,"Knutsen Turid","GRM A2 021 sem"
"'NAT104/Forel/01 Kjemi*",2016-01-21,09:15,2016-01-21,12:00,"Knutsen Turid","GRM A3 020 sem"
"'PED146/Forel/01",2016-01-25,09:15,2016-01-25,14:00,"Briseid Lars Gunnar, Haraldstad Åse","GRM A3 020 sem"
"'PED146/Forel/02",2016-01-26,09:15,2016-01-26,14:00,"Briseid Lars Gunnar, Haraldstad Åse","GRM A3 020 sem"
"'NAT104/Forel/01 Fysikk*",2016-01-27,09:15,2016-01-27,12:00,"Knutsen Turid","GRM A2 021 sem"
"'NAT104/Forel/01 Kjemi*",2016-01-28,09:15,2016-01-28,12:00,"Knutsen Turid","GRM A3 020 sem"
"'PED146/Forel/01",2016-02-22,09:15,2016-02-22,14:00,"Briseid Lars Gunnar, Haraldstad Åse","GRM A3 020 sem"
"'PED146/Forel/02",2016-02-23,09:15,2016-02-23,14:00,"Briseid Lars Gunnar, Haraldstad Åse","GRM A3 020 sem"
"'NAT104/Lab/01 Bio designlab 24.02*",2016-02-24,12:15,2016-02-24,16:00,"Wrånes Eldar","GRM C3 084 lab D/T"
"'NAT104/Forel/01 Fys/Bio (VK)*",2016-02-26,10:15,2016-02-26,12:00,"Kjelland Vivian","GRM A2 021 sem"
"'PED146/Forel/01",2016-02-29,09:15,2016-02-29,14:00,"Briseid Lars Gunnar, Haraldstad Åse","GRM A3 020 sem"
"'PED146/Forel/02",2016-03-01,09:15,2016-03-01,14:00,"Briseid Lars Gunnar, Haraldstad Åse","GRM A3 020 sem"
"'NAT104/Forel/01 Fysikk*",2016-03-02,09:15,2016-03-02,12:00,"Knutsen Turid","GRM A2 021 sem"
"'NAT104/Forel/01 Kjemi*",2016-03-03,09:15,2016-03-03,12:00,"Knutsen Turid","GRM A3 020 sem"
"'PED146/Forel/01",2016-03-07,09:15,2016-03-07,14:00,"Briseid Lars Gunnar, Haraldstad Åse","GRM A3 020 sem"
"'PED146/Forel/02",2016-03-08,09:15,2016-03-08,14:00,"Briseid Lars Gunnar, Haraldstad Åse","GRM A3 020 sem"
"'NAT104/Forel/01 Bio (VK)*",2016-03-09,10:15,2016-03-09,12:00,"Kjelland Vivian","GRM A2 021 sem"
"'NAT104/Lab/01 Bio designlab 09.03*",2016-03-09,12:15,2016-03-09,16:00,"Kjelland Vivian","GRM C3 084 lab D/T"
"'NAT104/Forel/01 Kjemi*",2016-03-10,09:15,2016-03-10,12:00,"Knutsen Turid","GRM A3 020 sem"
"'NAT104/Forel/01 Fys/Bio (VK)*",2016-03-11,10:15,2016-03-11,12:00,"Kjelland Vivian","GRM A2 021 sem"
