Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-NO-137/136 for",2016-01-07,11:15,2016-01-07,13:00,"Rambø Gro-Renee","KRS B1 006 aud"
"-NO-137 gr",2016-01-07,13:15,2016-01-07,14:00,"","KRS 46 207 sem, KRS 46 210 sem, KRS 46 211 sem"
"-NO-137 sem ",2016-01-07,14:15,2016-01-07,15:00,"","KRS 46 207 sem"
"-NO-137/136 for",2016-01-08,08:15,2016-01-08,10:00,"Rambø Gro-Renee","KRS B1 006 aud"
"-NO-137 gr",2016-01-08,10:15,2016-01-08,11:00,"","KRS 46 207 sem, KRS 46 210 sem, KRS 46 211 sem"
"-NO-137 sem ",2016-01-08,11:15,2016-01-08,13:00,"","KRS 46 207 sem"
"-NO-138 for",2016-01-11,09:15,2016-01-11,13:00,"Rambø Gro-Renee","KRS D3 054 sem"
"-NO-138 for",2016-01-12,08:15,2016-01-12,13:00,"Rambø Gro-Renee","KRS D3 054 sem"
"-NO-137/136 for",2016-01-14,11:15,2016-01-14,13:00,"Rambø Gro-Renee","KRS B1 006 aud"
"-NO-137 gr",2016-01-14,13:15,2016-01-14,14:00,"","KRS 46 207 sem, KRS 46 210 sem, KRS 46 211 sem"
"-NO-137 sem ",2016-01-14,14:15,2016-01-14,15:00,"","KRS 46 207 sem"
"-NO-137/136 for",2016-01-15,08:15,2016-01-15,10:00,"Rambø Gro-Renee","KRS B1 006 aud"
"-NO-137 gr",2016-01-15,10:15,2016-01-15,11:00,"","KRS 46 207 sem, KRS 46 210 sem, KRS 46 211 sem"
"-NO-137 sem ",2016-01-15,11:15,2016-01-15,13:00,"","KRS 46 207 sem"
"-NO-138 for",2016-01-18,09:15,2016-01-18,13:00,"Rambø Gro-Renee","KRS D3 054 sem"
"-NO-138 for",2016-01-19,08:15,2016-01-19,13:00,"Rambø Gro-Renee","KRS D3 054 sem"
"-NO-137/136 for",2016-01-21,11:15,2016-01-21,13:00,"Rambø Gro-Renee","KRS B1 006 aud"
"-NO-137 gr",2016-01-21,13:15,2016-01-21,14:00,"","KRS 46 207 sem, KRS 46 210 sem, KRS 46 211 sem"
"-NO-137 sem ",2016-01-21,14:15,2016-01-21,15:00,"","KRS 46 207 sem"
"-NO-137/136 for",2016-01-22,08:15,2016-01-22,10:00,"Rambø Gro-Renee","KRS B1 006 aud"
"-NO-137 gr",2016-01-22,10:15,2016-01-22,11:00,"","KRS 46 207 sem, KRS 46 210 sem, KRS 46 211 sem"
"-NO-137 sem ",2016-01-22,11:15,2016-01-22,13:00,"","KRS 46 207 sem"
"-NO-138 for",2016-01-25,09:15,2016-01-25,13:00,"Rambø Gro-Renee","KRS D3 054 sem"
"-NO-138 for",2016-01-26,08:15,2016-01-26,13:00,"Rambø Gro-Renee","KRS D3 054 sem"
"-NO-137/136 for",2016-01-28,11:15,2016-01-28,13:00,"Rambø Gro-Renee","KRS B1 006 aud"
"-NO-137 gr",2016-01-28,13:15,2016-01-28,14:00,"","KRS 46 207 sem, KRS 46 210 sem, KRS 46 211 sem"
"-NO-137 sem ",2016-01-28,14:15,2016-01-28,15:00,"","KRS 46 207 sem"
"-NO-137/136 for",2016-01-29,08:15,2016-01-29,10:00,"Rambø Gro-Renee","KRS B1 006 aud"
"-NO-137 gr",2016-01-29,10:15,2016-01-29,11:00,"","KRS 46 207 sem, KRS 46 210 sem, KRS 46 211 sem"
"-NO-137 sem ",2016-01-29,11:15,2016-01-29,13:00,"","KRS 46 207 sem"
"-NO-138 for",2016-02-01,09:15,2016-02-01,13:00,"Rambø Gro-Renee","KRS D3 054 sem"
"-NO-138 for",2016-02-02,08:15,2016-02-02,13:00,"Rambø Gro-Renee","KRS D3 054 sem"
"-NO-137/136 for",2016-02-04,11:15,2016-02-04,13:00,"Rambø Gro-Renee","KRS B1 006 aud"
"-NO-137 gr",2016-02-04,13:15,2016-02-04,14:00,"","KRS 46 207 sem, KRS 46 210 sem, KRS 46 211 sem"
"-NO-137 sem ",2016-02-04,14:15,2016-02-04,15:00,"","KRS 46 207 sem"
"-NO-137/136 for",2016-02-05,08:15,2016-02-05,10:00,"Rambø Gro-Renee","KRS B1 006 aud"
"-NO-137 gr",2016-02-05,10:15,2016-02-05,11:00,"","KRS 46 207 sem, KRS 46 210 sem, KRS 46 211 sem"
"-NO-137 sem ",2016-02-05,11:15,2016-02-05,13:00,"","KRS 46 207 sem"
"-NO-138 for",2016-02-08,09:15,2016-02-08,13:00,"Rambø Gro-Renee","KRS D3 054 sem"
"-NO-138 for",2016-02-09,08:15,2016-02-09,13:00,"Rambø Gro-Renee","KRS D3 054 sem"
"-NO-137/136 for",2016-02-11,11:15,2016-02-11,13:00,"Rambø Gro-Renee","KRS B1 006 aud"
"-NO-137 gr",2016-02-11,13:15,2016-02-11,14:00,"","KRS 46 207 sem, KRS 46 210 sem, KRS 46 211 sem"
"-NO-137 sem ",2016-02-11,14:15,2016-02-11,15:00,"","KRS 46 207 sem"
"-NO-137/136 for",2016-02-12,08:15,2016-02-12,10:00,"Rambø Gro-Renee","KRS B1 006 aud"
"-NO-137 gr",2016-02-12,10:15,2016-02-12,11:00,"","KRS 46 207 sem, KRS 46 210 sem, KRS 46 211 sem"
"-NO-137 sem ",2016-02-12,11:15,2016-02-12,13:00,"","KRS 46 207 sem"
"-NO-138 for",2016-02-15,09:15,2016-02-15,13:00,"Rambø Gro-Renee","KRS D3 054 sem"
"-NO-138 for",2016-02-16,08:15,2016-02-16,13:00,"Rambø Gro-Renee","KRS D3 054 sem"
"-NO-137/136 for",2016-02-18,11:15,2016-02-18,13:00,"Rambø Gro-Renee","KRS B1 006 aud"
"-NO-137 gr",2016-02-18,13:15,2016-02-18,14:00,"","KRS 46 207 sem, KRS 46 210 sem, KRS 46 211 sem"
"-NO-137 sem ",2016-02-18,14:15,2016-02-18,15:00,"","KRS 46 207 sem"
"-NO-137/136 for",2016-02-19,08:15,2016-02-19,10:00,"Rambø Gro-Renee","KRS B1 006 aud"
"-NO-137 gr",2016-02-19,10:15,2016-02-19,11:00,"","KRS 46 207 sem, KRS 46 210 sem, KRS 46 211 sem"
"-NO-137 sem ",2016-02-19,11:15,2016-02-19,13:00,"","KRS 46 207 sem"
"-NO-138 for",2016-02-22,09:15,2016-02-22,13:00,"Rambø Gro-Renee","KRS D3 054 sem"
