Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-PED147/PED146 for 11.01",2016-01-11,08:15,2016-01-11,11:00,"Gilberts Guy Howard, Gillespie Astrid, Herlofsen Camilla, Rustad Bjørg Solstad","KRS 46 118 aula"
"-PED147 sem D",2016-01-11,12:15,2016-01-11,14:00,"Gilberts Guy Howard","KRS 46 216 sem"
"-PED147 sem C",2016-01-11,12:15,2016-01-11,14:00,"Rustad Bjørg Solstad","KRS 46 215 sem"
"-PED147 sem C",2016-01-12,12:15,2016-01-12,15:00,"Rustad Bjørg Solstad","KRS 46 215 sem"
"-PED147 sem D",2016-01-12,12:15,2016-01-12,15:00,"Gilberts Guy Howard","KRS 46 216 sem"
"*NAT107-1 fysik forel ons",2016-01-13,08:15,2016-01-13,11:00,"Solgaard Geir","KRS 48 114 sem"
"*NAT107-1 fysik gr tors",2016-01-14,08:15,2016-01-14,10:00,"Solgaard Geir","KRS 50 140, KRS 50 142, KRS 50 144, KRS 50 145"
"*NAT107-1 fysik forel tors",2016-01-14,12:15,2016-01-14,14:00,"Solgaard Geir","KRS 48 114 sem"
"*NAT107-1 fysik forel fre",2016-01-15,08:15,2016-01-15,11:00,"Solgaard Geir","KRS 48 114 sem"
"*NAT107-1 fysik gr fre",2016-01-15,11:15,2016-01-15,13:00,"Solgaard Geir","KRS 50 140, KRS 50 142, KRS 50 144, KRS 50 145"
"-PED147/PED146 for ",2016-01-18,09:15,2016-01-18,11:00,"Gilberts Guy Howard, Gillespie Astrid, Herlofsen Camilla, Rustad Bjørg Solstad","KRS 46 118 aula"
"-PED147 sem D",2016-01-18,12:15,2016-01-18,14:00,"Gilberts Guy Howard","KRS 46 216 sem"
"-PED147 sem C",2016-01-18,12:15,2016-01-18,14:00,"Rustad Bjørg Solstad","KRS 46 215 sem"
"-PED147 sem C",2016-01-19,12:15,2016-01-19,15:00,"Rustad Bjørg Solstad","KRS 46 215 sem"
"-PED147 sem D",2016-01-19,12:15,2016-01-19,15:00,"Gilberts Guy Howard","KRS 46 216 sem"
"*NAT107-1 fysik forel ons",2016-01-20,08:15,2016-01-20,11:00,"Solgaard Geir","KRS 48 114 sem"
"*NAT107-1 fysik gr tors",2016-01-21,08:15,2016-01-21,10:00,"Solgaard Geir","KRS 50 140, KRS 50 142, KRS 50 144, KRS 50 145"
"*NAT107-1 fysik forel tors",2016-01-21,12:15,2016-01-21,14:00,"Solgaard Geir","KRS 48 114 sem"
"*NAT107-1 fysik forel fre",2016-01-22,08:15,2016-01-22,11:00,"Solgaard Geir","KRS 48 114 sem"
"*NAT107-1 fysik gr fre",2016-01-22,11:15,2016-01-22,13:00,"Solgaard Geir","KRS 50 140, KRS 50 142, KRS 50 144, KRS 50 145"
"-PED147/PED146 for ",2016-01-25,09:15,2016-01-25,11:00,"Gilberts Guy Howard, Gillespie Astrid, Herlofsen Camilla, Rustad Bjørg Solstad","KRS 46 118 aula"
"-PED147 sem D",2016-01-25,12:15,2016-01-25,14:00,"Gilberts Guy Howard","KRS 46 216 sem"
"-PED147 sem C",2016-01-25,12:15,2016-01-25,14:00,"Rustad Bjørg Solstad","KRS 46 215 sem"
"-PED147 sem C",2016-01-26,12:15,2016-01-26,15:00,"Rustad Bjørg Solstad","KRS 46 215 sem"
"-PED147 sem D",2016-01-26,12:15,2016-01-26,15:00,"Gilberts Guy Howard","KRS 46 216 sem"
"-PED147 sem C 26.01",2016-01-26,15:15,2016-01-26,17:00,"Rustad Bjørg Solstad","KRS 46 215 sem"
"-PED147 sem D 26.01",2016-01-26,15:15,2016-01-26,17:00,"Gilberts Guy Howard","KRS 46 216 sem"
"*NAT107-1 fysik forel ons",2016-01-27,08:15,2016-01-27,11:00,"Solgaard Geir","KRS 48 114 sem"
"*NAT107-1 fysik gr tors",2016-01-28,08:15,2016-01-28,10:00,"Solgaard Geir","KRS 50 140, KRS 50 142, KRS 50 144, KRS 50 145"
"*NAT107-1 fysik forel tors",2016-01-28,12:15,2016-01-28,14:00,"Solgaard Geir","KRS 48 114 sem"
"*NAT107-1 fysik forel fre",2016-01-29,08:15,2016-01-29,11:00,"Solgaard Geir","KRS 48 114 sem"
"*NAT107-1 fysik gr fre",2016-01-29,11:15,2016-01-29,13:00,"Solgaard Geir","KRS 50 140, KRS 50 142, KRS 50 144, KRS 50 145"
"-PED147/PED146 for ",2016-02-22,09:15,2016-02-22,11:00,"Gilberts Guy Howard, Gillespie Astrid, Herlofsen Camilla, Rustad Bjørg Solstad","KRS 46 118 aula"
"-PED147 sem D",2016-02-22,12:15,2016-02-22,14:00,"Gilberts Guy Howard","KRS 46 216 sem"
"-PED147 sem C",2016-02-22,12:15,2016-02-22,14:00,"Rustad Bjørg Solstad","KRS 46 215 sem"
"-PED147/PED146 23.02",2016-02-23,08:15,2016-02-23,10:00,"Rustad Bjørg Solstad","KRS B1 007 aud"
"-PED147 sem C",2016-02-23,12:15,2016-02-23,15:00,"Rustad Bjørg Solstad","KRS 46 215 sem"
"-PED147 sem D",2016-02-23,12:15,2016-02-23,15:00,"Gilberts Guy Howard","KRS 46 216 sem"
"*NAT107-1 fysik forel ons",2016-02-24,08:15,2016-02-24,11:00,"Solgaard Geir","KRS 48 114 sem"
"*NAT107-1 fysik gr tors",2016-02-25,08:15,2016-02-25,10:00,"Solgaard Geir","KRS 50 140, KRS 50 142, KRS 50 144, KRS 50 145"
"*NAT107-1 fysik lab",2016-02-25,12:15,2016-02-25,16:00,"Solgaard Geir","KRS J1 007 fys"
"*NAT107-1 fysik forel fre",2016-02-26,08:15,2016-02-26,11:00,"Solgaard Geir","KRS 48 114 sem"
"*NAT107-1 fysik gr fre",2016-02-26,11:15,2016-02-26,13:00,"Solgaard Geir","KRS 50 140, KRS 50 142, KRS 50 144, KRS 50 145"
"-PED147/PED146 for ",2016-02-29,09:15,2016-02-29,11:00,"Gilberts Guy Howard, Gillespie Astrid, Herlofsen Camilla, Rustad Bjørg Solstad","KRS 46 118 aula"
"-PED147 sem D",2016-02-29,12:15,2016-02-29,14:00,"Gilberts Guy Howard","KRS 46 216 sem"
"-PED147 sem C",2016-02-29,12:15,2016-02-29,14:00,"Rustad Bjørg Solstad","KRS 46 215 sem"
"-PED147/PED146 01.03",2016-03-01,08:15,2016-03-01,10:00,"Rustad Bjørg Solstad","KRS 46 118 aula"
"-PED147 sem C",2016-03-01,12:15,2016-03-01,15:00,"Rustad Bjørg Solstad","KRS 46 215 sem"
"-PED147 sem D",2016-03-01,12:15,2016-03-01,15:00,"Gilberts Guy Howard","KRS 46 216 sem"
"*NAT107-1 fysik forel ons",2016-03-02,08:15,2016-03-02,11:00,"Solgaard Geir","KRS 48 114 sem"
"*NAT107-1 fysik gr tors",2016-03-03,08:15,2016-03-03,10:00,"Solgaard Geir","KRS 50 140, KRS 50 142, KRS 50 144, KRS 50 145"
"*NAT107-1 fysik forel tors",2016-03-03,12:15,2016-03-03,14:00,"Solgaard Geir","KRS 48 114 sem"
"*NAT107-1 fysik forel fre",2016-03-04,08:15,2016-03-04,11:00,"Solgaard Geir","KRS 48 114 sem"
"*NAT107-1 fysik gr fre",2016-03-04,11:15,2016-03-04,13:00,"Solgaard Geir","KRS 50 140, KRS 50 142, KRS 50 144, KRS 50 145"
"*NAT107-1 biologi uke 10",2016-03-07,09:15,2016-03-07,15:00,"Korslund Lars","KRS J1 001 biol"
"*NAT107-1 biologi uke 10",2016-03-08,09:15,2016-03-08,12:00,"Korslund Lars","KRS J1 001 biol"
"*NAT107-1 biologi uke 10",2016-03-09,09:15,2016-03-09,15:00,"Korslund Lars","KRS J1 001 biol"
"*NAT107-1 biologi uke 10",2016-03-11,09:15,2016-03-11,15:00,"Korslund Lars","KRS J1 001 biol"
"-PED147/PED146 for ",2016-03-14,09:15,2016-03-14,11:00,"Gilberts Guy Howard, Gillespie Astrid, Herlofsen Camilla, Rustad Bjørg Solstad","KRS 46 118 aula"
"-PED147 sem D",2016-03-14,12:15,2016-03-14,14:00,"Gilberts Guy Howard","KRS 46 216 sem"
"-PED147 sem C",2016-03-14,12:15,2016-03-14,14:00,"Rustad Bjørg Solstad","KRS 46 215 sem"
"-PED147 sem C",2016-03-15,12:15,2016-03-15,15:00,"Rustad Bjørg Solstad","KRS 46 215 sem"
