Subject,Start Date,Start Time,End Date,End Time,Description,Location
"*ERN115/ERN117 forel kjøkken",2016-01-11,11:15,2016-01-11,15:00,"Dalane Mette F.","KRS x Kjøkken bygg I-"
"*ERN117/ERN115 forel kjøkken",2016-01-11,11:15,2016-01-11,15:00,"Dalane Mette F.","KRS x Kjøkken bygg I-"
"*ERN115/ERN117 forel tirs",2016-01-12,08:15,2016-01-12,15:00,"Dalane Mette F.","KRS IU 001 sem"
"*ERN117/ERN115 forel tirs",2016-01-12,08:15,2016-01-12,15:00,"Dalane Mette F.","KRS IU 001 sem"
"*ERN117/ERN120 uke 2",2016-01-12,09:15,2016-01-12,12:00,"Ask Anne Merete Selvik","KRS I1 002 sem"
"*ERN115/ERN117 forel kjøkken",2016-01-12,11:15,2016-01-12,15:00,"Dalane Mette F.","KRS x Kjøkken bygg I-"
"*ERN117/ERN115 forel kjøkken",2016-01-12,11:15,2016-01-12,15:00,"Dalane Mette F.","KRS x Kjøkken bygg I-"
"*ERN115/ERN117 forel ons",2016-01-13,08:15,2016-01-13,11:00,"Dalane Mette F.","KRS 46 210 sem"
"*ERN117/ERN115 forel ons",2016-01-13,08:15,2016-01-13,11:00,"Dalane Mette F.","KRS 46 210 sem"
"*ERN117/ERN120 uke 2",2016-01-13,09:15,2016-01-13,12:00,"Ask Anne Merete Selvik","KRS I1 002 sem"
"*ERN115/ERN117 forel kjøkken",2016-01-13,11:15,2016-01-13,15:00,"Dalane Mette F.","KRS x Kjøkken bygg I-"
"*ERN117/ERN115 forel kjøkken",2016-01-13,11:15,2016-01-13,15:00,"Dalane Mette F.","KRS x Kjøkken bygg I-"
"*ERN115/ERN117 praksis (kl. 08.00 - 15.30)",2016-01-14,08:15,2016-01-14,16:00,"",""
"*ERN117/ERN115 praksis (kl. 08.00 - 15.30)",2016-01-14,08:15,2016-01-14,16:00,"",""
"*ERN115/ERN117 forel kjøkken",2016-01-18,11:15,2016-01-18,15:00,"Dalane Mette F.","KRS x Kjøkken bygg I-"
"*ERN117/ERN115 forel kjøkken",2016-01-18,11:15,2016-01-18,15:00,"Dalane Mette F.","KRS x Kjøkken bygg I-"
"*ERN115/ERN117 forel tirs",2016-01-19,08:15,2016-01-19,15:00,"Dalane Mette F.","KRS IU 001 sem"
"*ERN117/ERN115 forel tirs",2016-01-19,08:15,2016-01-19,15:00,"Dalane Mette F.","KRS IU 001 sem"
"*ERN115/ERN117 forel kjøkken",2016-01-19,11:15,2016-01-19,15:00,"Dalane Mette F.","KRS x Kjøkken bygg I-"
"*ERN117/ERN115 forel kjøkken",2016-01-19,11:15,2016-01-19,15:00,"Dalane Mette F.","KRS x Kjøkken bygg I-"
"*ERN115/ERN117 forel ons",2016-01-20,08:15,2016-01-20,11:00,"Dalane Mette F.","KRS 46 210 sem"
"*ERN117/ERN115 forel ons",2016-01-20,08:15,2016-01-20,11:00,"Dalane Mette F.","KRS 46 210 sem"
"*ERN115/ERN117 forel kjøkken",2016-01-20,11:15,2016-01-20,15:00,"Dalane Mette F.","KRS x Kjøkken bygg I-"
"*ERN117/ERN115 forel kjøkken",2016-01-20,11:15,2016-01-20,15:00,"Dalane Mette F.","KRS x Kjøkken bygg I-"
"*ERN115/ERN117 praksis (kl. 08.00 - 15.30)",2016-01-21,08:15,2016-01-21,16:00,"",""
"*ERN117/ERN115 praksis (kl. 08.00 - 15.30)",2016-01-21,08:15,2016-01-21,16:00,"",""
"*ERN115/ERN117 forel kjøkken",2016-01-25,11:15,2016-01-25,15:00,"Dalane Mette F.","KRS x Kjøkken bygg I-"
