Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-EN-430 for",2016-01-06,09:15,2016-01-06,11:00,"Hasund Ingrid Kristine","KRS F1 001 sem"
"-PED526",2016-01-11,12:15,2016-01-11,14:00,"Garmanslund Per Einar","KRS F1 023 sem"
"-EN-429 for",2016-01-12,09:15,2016-01-12,11:00,"Burwitz-Melzer Eva, Mustad Jan Erik","KRS 46 135 sem"
"-PED526",2016-01-12,13:15,2016-01-12,16:00,"Garmanslund Per Einar","KRS F1 023 sem"
"-EN-430 for",2016-01-13,09:15,2016-01-13,11:00,"Hasund Ingrid Kristine","KRS F1 001 sem"
"-PED526",2016-01-18,12:15,2016-01-18,14:00,"Garmanslund Per Einar","KRS F1 023 sem"
"-EN-429 for",2016-01-19,09:15,2016-01-19,11:00,"Burwitz-Melzer Eva, Mustad Jan Erik","KRS 46 135 sem"
"-PED526",2016-01-19,13:15,2016-01-19,16:00,"Garmanslund Per Einar","KRS F1 023 sem"
"-EN-430 for",2016-01-20,09:15,2016-01-20,11:00,"Hasund Ingrid Kristine","KRS F1 001 sem"
"-PED526",2016-01-25,12:15,2016-01-25,14:00,"Garmanslund Per Einar","KRS F1 023 sem"
"-EN-429 for",2016-01-26,09:15,2016-01-26,11:00,"Burwitz-Melzer Eva, Mustad Jan Erik","KRS 46 135 sem"
"-PED526",2016-01-26,13:15,2016-01-26,16:00,"Garmanslund Per Einar","KRS F1 023 sem"
"-EN-430 for",2016-01-27,09:15,2016-01-27,11:00,"Hasund Ingrid Kristine","KRS F1 001 sem"
"-PED526",2016-02-01,12:15,2016-02-01,14:00,"Garmanslund Per Einar","KRS F1 023 sem"
"-EN-429 for",2016-02-02,09:15,2016-02-02,11:00,"Burwitz-Melzer Eva, Mustad Jan Erik","KRS 46 135 sem"
"-PED526",2016-02-02,13:15,2016-02-02,16:00,"Garmanslund Per Einar","KRS F1 023 sem"
"-EN-430 for",2016-02-03,09:15,2016-02-03,11:00,"Hasund Ingrid Kristine","KRS F1 001 sem"
"-PED526",2016-02-08,12:15,2016-02-08,14:00,"Garmanslund Per Einar","KRS F1 023 sem"
"-EN-429 for",2016-02-09,09:15,2016-02-09,11:00,"Burwitz-Melzer Eva, Mustad Jan Erik","KRS 46 135 sem"
"-PED526",2016-02-09,13:15,2016-02-09,16:00,"Garmanslund Per Einar","KRS F1 023 sem"
"-EN-430 for",2016-02-10,09:15,2016-02-10,11:00,"Hasund Ingrid Kristine","KRS F1 001 sem"
"-PED526",2016-02-15,12:15,2016-02-15,14:00,"Garmanslund Per Einar","KRS F1 023 sem"
"-EN-429 for",2016-02-16,09:15,2016-02-16,11:00,"Burwitz-Melzer Eva, Mustad Jan Erik","KRS 46 135 sem"
"-PED526",2016-02-16,13:15,2016-02-16,16:00,"Garmanslund Per Einar","KRS F1 023 sem"
"-EN-430 for",2016-02-17,09:15,2016-02-17,11:00,"Hasund Ingrid Kristine","KRS F1 001 sem"
"-EN-429 for",2016-03-29,09:15,2016-03-29,11:00,"Burwitz-Melzer Eva, Mustad Jan Erik","KRS 46 135 sem"
"-PED526",2016-03-29,13:15,2016-03-29,16:00,"Garmanslund Per Einar","KRS F1 023 sem"
"-EN-430 for",2016-03-30,09:15,2016-03-30,11:00,"Hasund Ingrid Kristine","KRS F1 001 sem"
"-PED526",2016-04-04,12:15,2016-04-04,14:00,"Garmanslund Per Einar","KRS F1 023 sem"
"-EN-429 for",2016-04-05,09:15,2016-04-05,11:00,"Burwitz-Melzer Eva, Mustad Jan Erik","KRS 46 135 sem"
"-PED526",2016-04-05,13:15,2016-04-05,16:00,"Garmanslund Per Einar","KRS F1 023 sem"
"-EN-430 for",2016-04-06,09:15,2016-04-06,11:00,"Hasund Ingrid Kristine","KRS F1 001 sem"
"-PED526",2016-04-11,12:15,2016-04-11,14:00,"Garmanslund Per Einar","KRS F1 023 sem"
"-EN-429 for",2016-04-12,09:15,2016-04-12,11:00,"Burwitz-Melzer Eva, Mustad Jan Erik","KRS 46 135 sem"
"-PED526",2016-04-12,13:15,2016-04-12,16:00,"Garmanslund Per Einar","KRS F1 023 sem"
"-EN-430 for",2016-04-13,09:15,2016-04-13,11:00,"Hasund Ingrid Kristine","KRS F1 001 sem"
"-PED526",2016-04-18,12:15,2016-04-18,14:00,"Garmanslund Per Einar","KRS F1 023 sem"
"-PED526",2016-04-19,13:15,2016-04-19,16:00,"Garmanslund Per Einar","KRS F1 023 sem"
"-PED526",2016-04-25,12:15,2016-04-25,14:00,"Garmanslund Per Einar","KRS F1 023 sem"
"-PED526",2016-04-26,13:15,2016-04-26,16:00,"Garmanslund Per Einar","KRS F1 023 sem"
