Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-PED526",2016-01-11,12:15,2016-01-11,14:00,"Garmanslund Per Einar","KRS F1 023 sem"
"*Mandagsseminar",2016-01-11,14:15,2016-01-11,16:00,"","KRS 48 115 sem"
"-PED526",2016-01-12,13:15,2016-01-12,16:00,"Garmanslund Per Einar","KRS F1 023 sem"
"*MA-422 sem ons",2016-01-13,08:15,2016-01-13,12:00,"Nilsen Hans Kristian","KRS HK 007 sem"
"*MA-422 sem tors",2016-01-14,10:15,2016-01-14,14:00,"Nilsen Hans Kristian","KRS J2 009 sem"
"-PED526",2016-01-18,12:15,2016-01-18,14:00,"Garmanslund Per Einar","KRS F1 023 sem"
"*Mandagsseminar",2016-01-18,14:15,2016-01-18,16:00,"","KRS 48 115 sem"
"-PED526",2016-01-19,13:15,2016-01-19,16:00,"Garmanslund Per Einar","KRS F1 023 sem"
"*MA-422 sem ons",2016-01-20,08:15,2016-01-20,12:00,"Nilsen Hans Kristian","KRS HK 007 sem"
"*MA-422 sem tors",2016-01-21,10:15,2016-01-21,14:00,"Nilsen Hans Kristian","KRS J2 009 sem"
"-PED526",2016-01-25,12:15,2016-01-25,14:00,"Garmanslund Per Einar","KRS F1 023 sem"
"*Mandagsseminar",2016-01-25,14:15,2016-01-25,16:00,"","KRS 48 115 sem"
"-PED526",2016-01-26,13:15,2016-01-26,16:00,"Garmanslund Per Einar","KRS F1 023 sem"
"*MA-422 sem ons uke 4. 9",2016-01-27,08:15,2016-01-27,12:00,"Nilsen Hans Kristian","KRS H1 023 sem"
"*MA-422 sem tors",2016-01-28,10:15,2016-01-28,14:00,"Nilsen Hans Kristian","KRS J2 009 sem"
"-PED526",2016-02-01,12:15,2016-02-01,14:00,"Garmanslund Per Einar","KRS F1 023 sem"
"*Mandagsseminar",2016-02-01,14:15,2016-02-01,16:00,"","KRS 48 115 sem"
"-PED526",2016-02-02,13:15,2016-02-02,16:00,"Garmanslund Per Einar","KRS F1 023 sem"
"*MA-422 sem ons",2016-02-03,08:15,2016-02-03,12:00,"Nilsen Hans Kristian","KRS HK 007 sem"
"*MA-422 sem tors",2016-02-04,10:15,2016-02-04,14:00,"Nilsen Hans Kristian","KRS J2 009 sem"
"-PED526",2016-02-08,12:15,2016-02-08,14:00,"Garmanslund Per Einar","KRS F1 023 sem"
"*Mandagsseminar",2016-02-08,14:15,2016-02-08,16:00,"","KRS 48 115 sem"
"-PED526",2016-02-09,13:15,2016-02-09,16:00,"Garmanslund Per Einar","KRS F1 023 sem"
"*MA-422 sem ons",2016-02-10,08:15,2016-02-10,12:00,"Nilsen Hans Kristian","KRS HK 007 sem"
"*MA-422 sem tors",2016-02-11,10:15,2016-02-11,14:00,"Nilsen Hans Kristian","KRS J2 009 sem"
"-PED526",2016-02-15,12:15,2016-02-15,14:00,"Garmanslund Per Einar","KRS F1 023 sem"
"*Mandagsseminar",2016-02-15,14:15,2016-02-15,16:00,"","KRS 48 115 sem"
"-PED526",2016-02-16,13:15,2016-02-16,16:00,"Garmanslund Per Einar","KRS F1 023 sem"
"*MA-422 sem ons",2016-02-17,08:15,2016-02-17,12:00,"Nilsen Hans Kristian","KRS HK 007 sem"
"*MA-422 sem tors",2016-02-18,10:15,2016-02-18,14:00,"Nilsen Hans Kristian","KRS J2 009 sem"
"*Mandagsseminar",2016-02-22,14:15,2016-02-22,16:00,"","KRS 48 115 sem"
"*MA-422 sem ons",2016-02-24,08:15,2016-02-24,12:00,"Nilsen Hans Kristian","KRS HK 007 sem"
"*MA-422 sem tors",2016-02-25,10:15,2016-02-25,14:00,"Nilsen Hans Kristian","KRS J2 009 sem"
"*Mandagsseminar",2016-02-29,14:15,2016-02-29,16:00,"","KRS 48 115 sem"
"*MA-422 sem ons uke 4. 9",2016-03-02,08:15,2016-03-02,12:00,"Nilsen Hans Kristian","KRS H1 023 sem"
"*MA-422 sem tors",2016-03-03,10:15,2016-03-03,14:00,"Nilsen Hans Kristian","KRS J2 009 sem"
"*Mandagsseminar",2016-03-07,14:15,2016-03-07,16:00,"","KRS 48 115 sem"
"*MA-422 sem ons",2016-03-09,08:15,2016-03-09,12:00,"Nilsen Hans Kristian","KRS HK 007 sem"
