Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-HI-411",2016-01-11,12:15,2016-01-11,16:00,"Dørum Knut, Sætra Gustav Grunde","KRS F2 006 sem"
"-HI-410",2016-01-12,12:15,2016-01-12,16:00,"Spanos Apostolos","KRS F2 006 sem"
"-HI-411",2016-01-18,12:15,2016-01-18,16:00,"Dørum Knut, Sætra Gustav Grunde","KRS F2 006 sem"
"-HI-410",2016-01-19,12:15,2016-01-19,16:00,"Spanos Apostolos","KRS F2 006 sem"
"-HI-411",2016-01-25,12:15,2016-01-25,16:00,"Dørum Knut, Sætra Gustav Grunde","KRS F2 006 sem"
"-HI-410",2016-01-26,12:15,2016-01-26,16:00,"Spanos Apostolos","KRS F2 006 sem"
"-HI-411",2016-02-01,12:15,2016-02-01,16:00,"Dørum Knut, Sætra Gustav Grunde","KRS F2 006 sem"
"-HI-410",2016-02-02,12:15,2016-02-02,16:00,"Spanos Apostolos","KRS F2 006 sem"
"-HI-410",2016-02-09,12:15,2016-02-09,16:00,"Spanos Apostolos","KRS F2 006 sem"
"-HI-410",2016-02-16,12:15,2016-02-16,16:00,"Spanos Apostolos","KRS F2 006 sem"
"-HI-411",2016-02-22,12:15,2016-02-22,16:00,"Dørum Knut, Sætra Gustav Grunde","KRS F2 006 sem"
"-HI-410",2016-02-23,12:15,2016-02-23,16:00,"Spanos Apostolos","KRS F2 006 sem"
"-HI-411",2016-02-29,12:15,2016-02-29,16:00,"Dørum Knut, Sætra Gustav Grunde","KRS F2 006 sem"
"-HI-410",2016-03-01,12:15,2016-03-01,16:00,"Spanos Apostolos","KRS F2 006 sem"
"-HI-411",2016-03-07,12:15,2016-03-07,16:00,"Dørum Knut, Sætra Gustav Grunde","KRS F2 006 sem"
"-HI-410",2016-03-08,12:15,2016-03-08,16:00,"Spanos Apostolos","KRS F2 006 sem"
"-HI-411",2016-03-14,12:15,2016-03-14,16:00,"Dørum Knut, Sætra Gustav Grunde","KRS F2 006 sem"
"-HI-410",2016-03-15,12:15,2016-03-15,16:00,"Spanos Apostolos","KRS F2 006 sem"
"-HI-410",2016-04-05,12:15,2016-04-05,16:00,"Spanos Apostolos","KRS F2 006 sem"
"-HI-411",2016-04-11,12:15,2016-04-11,16:00,"Dørum Knut, Sætra Gustav Grunde","KRS F2 006 sem"
"-HI-410",2016-04-12,12:15,2016-04-12,16:00,"Spanos Apostolos","KRS F2 006 sem"
"-HI-411",2016-04-18,12:15,2016-04-18,16:00,"Dørum Knut, Sætra Gustav Grunde","KRS F2 006 sem"
"-HI-410",2016-04-19,12:15,2016-04-19,16:00,"Spanos Apostolos","KRS F2 006 sem"
