Subject,Start Date,Start Time,End Date,End Time,Description,Location
".IS-304-1 for*",2016-01-13,08:15,2016-01-13,12:00,"Nilsen Hallgeir","KRS B2 014 sem"
".IS-305-1 for 16/01/13*",2016-01-13,12:15,2016-01-13,14:00,"Busch Peter Andre","KRS B2 001 aud"
".IS-305-1 gr 16/01/13*",2016-01-13,14:15,2016-01-13,16:00,"Busch Peter Andre","KRS HK 032, KRS HK 033, KRS HK 034, KRS HK 038, KRS HK 039, KRS HK 041"
".IS-305-1 for 16/01/14*",2016-01-14,08:15,2016-01-14,10:00,"Busch Peter Andre","KRS B2 001 aud"
".IS-304-1 for*",2016-01-20,08:15,2016-01-20,12:00,"Nilsen Hallgeir","KRS B2 014 sem"
".IS-305-1 for 16/01/20*",2016-01-20,14:15,2016-01-20,16:00,"Busch Peter Andre","KRS B2 001 aud"
".IS-305-1 for 16/01/21*",2016-01-21,08:15,2016-01-21,10:00,"Busch Peter Andre","KRS B2 001 aud"
".IS-304-1 for*",2016-01-27,08:15,2016-01-27,12:00,"Nilsen Hallgeir","KRS B2 014 sem"
".IS-305-1 for 16/01/27 (B3 008)*",2016-01-27,12:15,2016-01-27,14:00,"Busch Peter Andre","KRS B3 008 aud"
".IS-305-1 gr 16/01/27*",2016-01-27,14:15,2016-01-27,16:00,"Busch Peter Andre","KRS HK 032, KRS HK 033, KRS HK 034, KRS HK 038, KRS HK 039, KRS HK 041"
".IS-305-1 for 16/02/04*",2016-02-04,08:15,2016-02-04,10:00,"Busch Peter Andre","KRS B2 001 aud"
".IS-305-1 gr 16/02/04*",2016-02-04,10:15,2016-02-04,12:00,"Busch Peter Andre","KRS HK 032, KRS HK 033, KRS HK 034, KRS HK 038, KRS HK 039, KRS HK 041"
".IS-305-1 for 16/02/11*",2016-02-11,08:15,2016-02-11,10:00,"Busch Peter Andre","KRS B3 008 aud"
".IS-305-1 gr 16/02/11*",2016-02-11,10:15,2016-02-11,12:00,"Busch Peter Andre","KRS HK 032, KRS HK 033, KRS HK 034, KRS HK 038, KRS HK 039, KRS HK 041"
".IS-305-1 for 16/02/15*",2016-02-15,12:15,2016-02-15,14:00,"Busch Peter Andre","KRS B3 008 aud"
".IS-304-1 for*",2016-02-17,08:15,2016-02-17,12:00,"Nilsen Hallgeir","KRS B2 014 sem"
".IS-304-1 for*",2016-02-24,08:15,2016-02-24,12:00,"Nilsen Hallgeir","KRS B2 014 sem"
".IS-305-1 for 16/02/25*",2016-02-25,08:15,2016-02-25,10:00,"Busch Peter Andre","KRS B2 001 aud"
".IS-305-1 for 16/03/08*",2016-03-08,12:15,2016-03-08,16:00,"Busch Peter Andre","KRS B3 001 aud"
".IS-304-1 for*",2016-03-09,08:15,2016-03-09,12:00,"Nilsen Hallgeir","KRS B2 014 sem"
".IS-304-1 for*",2016-04-06,08:15,2016-04-06,12:00,"Nilsen Hallgeir","KRS B2 014 sem"
