Subject,Start Date,Start Time,End Date,End Time,Description,Location
"*ME-419 uke 2 tirs",2016-01-11,09:15,2016-01-11,15:00,"Haugen Tommy, Høie, Magnhild Mjåvatn","KRS B2 006 aud"
"*ME-419 uke 2 tirs",2016-01-12,09:15,2016-01-12,15:00,"Haugen Tommy, Høie, Magnhild Mjåvatn","KRS B2 006 aud"
"*ME-419 uke 2 ons",2016-01-13,09:15,2016-01-13,15:00,"Haugen Tommy, Høie, Magnhild Mjåvatn","KRS I1 066 aud"
"*ME-419 pc-lab",2016-01-14,09:15,2016-01-14,15:00,"Haugen Tommy, Høie, Magnhild Mjåvatn","KRS D3 016 pclab"
"*ME-419 pc-lab",2016-01-15,09:15,2016-01-15,15:00,"Haugen Tommy, Høie, Magnhild Mjåvatn","KRS D3 016 pclab"
"*ME-419 uke 3 man 1",2016-01-18,09:15,2016-01-18,12:00,"Haugen Tommy, Høie, Magnhild Mjåvatn","KRS B2 014 sem"
"*ME-419 uke 3 man 2 NB! Rom",2016-01-18,12:15,2016-01-18,15:00,"Haugen Tommy, Høie, Magnhild Mjåvatn","KRS H1 058 aud"
"*ME-419 uke 3 tirs",2016-01-19,09:15,2016-01-19,15:00,"Haugen Tommy, Høie, Magnhild Mjåvatn","KRS B2 001 aud"
"*ME-419 uke 3 ons",2016-01-20,09:15,2016-01-20,15:00,"Haugen Tommy, Høie, Magnhild Mjåvatn","KRS B2 006 aud"
"*ME-419 pc-lab",2016-01-21,09:15,2016-01-21,15:00,"Haugen Tommy, Høie, Magnhild Mjåvatn","KRS D3 016 pclab"
"*ME-419 seminar",2016-01-21,09:15,2016-01-21,15:00,"Haugen Tommy, Høie, Magnhild Mjåvatn","KRS IU 001 sem"
"*ME-419 pc-lab",2016-01-22,09:15,2016-01-22,15:00,"Haugen Tommy, Høie, Magnhild Mjåvatn","KRS D3 016 pclab"
"*ME-419 seminar",2016-01-22,09:15,2016-01-22,15:00,"Haugen Tommy, Høie, Magnhild Mjåvatn","KRS IU 001 sem"
"*ME-419 uke 6 man",2016-02-08,09:15,2016-02-08,15:00,"Haugen Tommy, Høie, Magnhild Mjåvatn","KRS B1 007 aud"
"*ME-419 uke 6",2016-02-09,09:15,2016-02-09,15:00,"Haugen Tommy, Høie, Magnhild Mjåvatn","KRS I1 066 aud"
"*ME-419 uke 6",2016-02-10,09:15,2016-02-10,15:00,"Haugen Tommy, Høie, Magnhild Mjåvatn","KRS I1 066 aud"
"*ME-419 pc-lab",2016-02-11,09:15,2016-02-11,15:00,"Haugen Tommy, Høie, Magnhild Mjåvatn","KRS D3 016 pclab"
"*ME-419 seminar",2016-02-11,09:15,2016-02-11,15:00,"Haugen Tommy, Høie, Magnhild Mjåvatn","KRS IU 001 sem"
"*ME-419 pc-lab",2016-02-12,09:15,2016-02-12,15:00,"Haugen Tommy, Høie, Magnhild Mjåvatn","KRS D3 016 pclab"
"*ME-419 seminar",2016-02-12,09:15,2016-02-12,15:00,"Haugen Tommy, Høie, Magnhild Mjåvatn","KRS IU 001 sem"
"*ME-419 uke 9",2016-02-29,09:15,2016-02-29,15:00,"Haugen Tommy, Høie, Magnhild Mjåvatn","KRS J1 064 aud"
"*ME-419 uke 9",2016-03-01,09:15,2016-03-01,15:00,"Haugen Tommy, Høie, Magnhild Mjåvatn","KRS J1 064 aud"
"*ME-419  uke 9",2016-03-02,09:15,2016-03-02,13:00,"Haugen Tommy, Høie, Magnhild Mjåvatn","KRS J1 064 aud"
"*ME-419 seminar uke 9 ons NB! Rom",2016-03-02,09:15,2016-03-02,15:00,"Haugen Tommy, Høie, Magnhild Mjåvatn","KRS 48 106 sem"
"*ME-419 pc-lab uke 9",2016-03-02,13:15,2016-03-02,15:00,"Haugen Tommy, Høie, Magnhild Mjåvatn","KRS D3 016 pclab"
"*ME-419 pc-lab",2016-03-03,09:15,2016-03-03,15:00,"Haugen Tommy, Høie, Magnhild Mjåvatn","KRS D3 016 pclab"
"*ME-419 seminar",2016-03-03,09:15,2016-03-03,15:00,"Haugen Tommy, Høie, Magnhild Mjåvatn","KRS IU 001 sem"
"*ME-419 pc-lab",2016-03-04,09:15,2016-03-04,15:00,"Haugen Tommy, Høie, Magnhild Mjåvatn","KRS D3 016 pclab"
"*ME-419 seminar",2016-03-04,09:15,2016-03-04,15:00,"Haugen Tommy, Høie, Magnhild Mjåvatn","KRS IU 001 sem"
