Subject,Start Date,Start Time,End Date,End Time,Description,Location
"'FYS002/Forel/01",2016-01-06,14:15,2016-01-06,16:00,"Gjesteland, Thomas","GRM C2 036 aud"
"'FYS002/forel/02",2016-01-07,14:15,2016-01-07,16:00,"Gjesteland, Thomas","GRM C2 036 aud"
"'ELE100/Forel/01",2016-01-08,09:15,2016-01-08,12:00,"Haglund Magne Arild","GRM C2 036 aud"
"'FYS120/FYS119/Forel/uke 02-11 mandag",2016-01-11,08:15,2016-01-11,10:00,"Hogstad Per Henrik","GRM C2 036 aud"
"'DAT111-G/Forel/01",2016-01-11,12:15,2016-01-11,14:00,"Auby Christian","GRM A2 085 aud"
"'DAT111-G/Øv/01",2016-01-11,14:15,2016-01-11,16:00,"Auby Christian","GRM A2 085 aud"
"'FYS002/Øv/01",2016-01-11,16:15,2016-01-11,18:00,"Gjesteland, Thomas, Studentassistent FYS002","GRM A2 023 sem, GRM A2 025 sem, GRM A2 027 sem"
"'FYS120/FYS119/Forel/uke 02-11 tirsdag",2016-01-12,10:15,2016-01-12,12:00,"Hogstad Per Henrik","GRM C2 036 aud"
"'FYS120/FYS1219/Øv/uke 02-18",2016-01-12,12:15,2016-01-12,14:00,"Hogstad Per Henrik","GRM C2 036 aud, GRM C2 042 aud"
"'ELE112-G/Forel/01",2016-01-12,14:15,2016-01-12,16:00,"Jevne Geir, Larsen Ragnhild Veimo","GRM A3 023 sem"
"'MA-169/Forel/01",2016-01-13,08:15,2016-01-13,12:00,"Brekke Morten","GRM A3 023 sem"
"'ELE112-G/Øving/01",2016-01-13,12:15,2016-01-13,14:00,"Jevne Geir, Larsen Ragnhild Veimo","GRM A3 023 sem"
"'FYS002/Forel/01",2016-01-13,14:15,2016-01-13,16:00,"Gjesteland, Thomas","GRM C2 036 aud"
"'ELE112-G/Lab/01",2016-01-14,08:15,2016-01-14,12:00,"Jevne Geir, Larsen Ragnhild Veimo","GRM A2 152 labELE"
"'MA-169/Øv/01",2016-01-14,12:15,2016-01-14,14:00,"Brekke Morten","GRM A3 020 sem"
"'FYS002/forel/02",2016-01-14,14:15,2016-01-14,16:00,"Gjesteland, Thomas","GRM C2 036 aud"
"'ELE100/Forel/01",2016-01-15,09:15,2016-01-15,12:00,"Haglund Magne Arild","GRM C2 036 aud"
"'ELE100/labøv/grB",2016-01-15,12:15,2016-01-15,16:00,"Haglund Magne Arild, Jevne Geir, Kohle, Sunita, Larsen Ragnhild Veimo","GRM A2 152 labELE"
"'FYS120/FYS119/Forel/uke 02-11 mandag",2016-01-18,08:15,2016-01-18,10:00,"Hogstad Per Henrik","GRM C2 036 aud"
"'DAT111-G/Forel/01",2016-01-18,12:15,2016-01-18,14:00,"Auby Christian","GRM A2 085 aud"
"'DAT111-G/Øv/01",2016-01-18,14:15,2016-01-18,16:00,"Auby Christian","GRM A2 085 aud"
"'FYS002/Øv/01",2016-01-18,16:15,2016-01-18,18:00,"Gjesteland, Thomas, Studentassistent FYS002","GRM A2 023 sem, GRM A2 025 sem, GRM A2 027 sem"
"'FYS120/FYS119/Forel/uke 02-11 tirsdag",2016-01-19,10:15,2016-01-19,12:00,"Hogstad Per Henrik","GRM C2 036 aud"
"'FYS120/FYS1219/Øv/uke 02-18",2016-01-19,12:15,2016-01-19,14:00,"Hogstad Per Henrik","GRM C2 036 aud, GRM C2 042 aud"
"'ELE112-G/Forel/01",2016-01-19,14:15,2016-01-19,16:00,"Jevne Geir, Larsen Ragnhild Veimo","GRM A3 023 sem"
"'MA-169/Forel/01",2016-01-20,08:15,2016-01-20,12:00,"Brekke Morten","GRM A3 023 sem"
"'ELE112-G/Øving/01",2016-01-20,12:15,2016-01-20,14:00,"Jevne Geir, Larsen Ragnhild Veimo","GRM A3 023 sem"
"'FYS002/Forel/01",2016-01-20,14:15,2016-01-20,16:00,"Gjesteland, Thomas","GRM C2 036 aud"
"'ELE112-G/Lab/01",2016-01-21,08:15,2016-01-21,12:00,"Jevne Geir, Larsen Ragnhild Veimo","GRM A2 152 labELE"
"'MA-169/Øv/01",2016-01-21,12:15,2016-01-21,14:00,"Brekke Morten","GRM A3 020 sem"
"'FYS002/forel/02",2016-01-21,14:15,2016-01-21,16:00,"Gjesteland, Thomas","GRM C2 036 aud"
"'ELE100/Forel/01",2016-01-22,09:15,2016-01-22,12:00,"Haglund Magne Arild","GRM C2 036 aud"
"'ELE100/labøv/grB",2016-01-22,12:15,2016-01-22,16:00,"Haglund Magne Arild, Jevne Geir, Kohle, Sunita, Larsen Ragnhild Veimo","GRM A2 152 labELE"
"'FYS120/FYS119/Forel/uke 02-11 mandag",2016-01-25,08:15,2016-01-25,10:00,"Hogstad Per Henrik","GRM C2 036 aud"
"'DAT111-G/Forel/01",2016-01-25,12:15,2016-01-25,14:00,"Auby Christian","GRM A2 085 aud"
"'DAT111-G/Øv/01",2016-01-25,14:15,2016-01-25,16:00,"Auby Christian","GRM A2 085 aud"
"'FYS002/Øv/01",2016-01-25,16:15,2016-01-25,18:00,"Gjesteland, Thomas, Studentassistent FYS002","GRM A2 023 sem, GRM A2 025 sem, GRM A2 027 sem"
"'FYS120/FYS119/Forel/uke 02-11 tirsdag",2016-01-26,10:15,2016-01-26,12:00,"Hogstad Per Henrik","GRM C2 036 aud"
"'FYS120/FYS1219/Øv/uke 02-18",2016-01-26,12:15,2016-01-26,14:00,"Hogstad Per Henrik","GRM C2 036 aud, GRM C2 042 aud"
"'ELE112-G/Forel/01",2016-01-26,14:15,2016-01-26,16:00,"Jevne Geir, Larsen Ragnhild Veimo","GRM A3 023 sem"
"'MA-169/Forel/01",2016-01-27,08:15,2016-01-27,12:00,"Brekke Morten","GRM A3 023 sem"
"'ELE112-G/Øving/01",2016-01-27,12:15,2016-01-27,14:00,"Jevne Geir, Larsen Ragnhild Veimo","GRM A3 023 sem"
"'FYS002/Forel/01",2016-01-27,14:15,2016-01-27,16:00,"Gjesteland, Thomas","GRM C2 036 aud"
"'ELE112-G/Lab/01",2016-01-28,08:15,2016-01-28,12:00,"Jevne Geir, Larsen Ragnhild Veimo","GRM A2 152 labELE"
"'MA-169/Øv/01",2016-01-28,12:15,2016-01-28,14:00,"Brekke Morten","GRM A3 020 sem"
"'FYS002/forel/02",2016-01-28,14:15,2016-01-28,16:00,"Gjesteland, Thomas","GRM C2 036 aud"
"'ELE100/Forel/01",2016-01-29,09:15,2016-01-29,12:00,"Haglund Magne Arild","GRM C2 036 aud"
"'ELE100/labøv/grB",2016-01-29,12:15,2016-01-29,16:00,"Haglund Magne Arild, Jevne Geir, Kohle, Sunita, Larsen Ragnhild Veimo","GRM A2 152 labELE"
"'FYS120/FYS119/Forel/uke 02-11 mandag",2016-02-01,08:15,2016-02-01,10:00,"Hogstad Per Henrik","GRM C2 036 aud"
"'DAT111-G/Forel/01",2016-02-01,12:15,2016-02-01,14:00,"Auby Christian","GRM A2 085 aud"
"'DAT111-G/Øv/01",2016-02-01,14:15,2016-02-01,16:00,"Auby Christian","GRM A2 085 aud"
"'FYS002/Øv/01",2016-02-01,16:15,2016-02-01,18:00,"Gjesteland, Thomas, Studentassistent FYS002","GRM A2 023 sem, GRM A2 025 sem, GRM A2 027 sem"
"'FYS120/FYS119/Forel/uke 02-11 tirsdag",2016-02-02,10:15,2016-02-02,12:00,"Hogstad Per Henrik","GRM C2 036 aud"
"'FYS120/FYS1219/Øv/uke 02-18",2016-02-02,12:15,2016-02-02,14:00,"Hogstad Per Henrik","GRM C2 036 aud, GRM C2 042 aud"
"'ELE112-G/Forel/01",2016-02-02,14:15,2016-02-02,16:00,"Jevne Geir, Larsen Ragnhild Veimo","GRM A3 023 sem"
"'MA-169/Forel/01",2016-02-03,08:15,2016-02-03,12:00,"Brekke Morten","GRM A3 023 sem"
"'ELE112-G/Øving/01",2016-02-03,12:15,2016-02-03,14:00,"Jevne Geir, Larsen Ragnhild Veimo","GRM A3 023 sem"
