Subject,Start Date,Start Time,End Date,End Time,Description,Location
"'ELE205/Forel/01",2016-01-11,09:15,2016-01-11,12:00,"Cenkeramaddi Linga Reddy, Lynghaug Trond-Ivar","GRM A2 025 sem"
"'MA-155/Øv/01 Stat ELEKTRO",2016-01-11,12:15,2016-01-11,14:00,"Studentassistent1 MA-155 øving","GRM A2 025 sem"
"'ELE205/Øv/01",2016-01-11,14:15,2016-01-11,16:00,"Cenkeramaddi Linga Reddy, Lynghaug Trond-Ivar","GRM A2 025 sem"
"'ELE205/labøv/01",2016-01-12,08:15,2016-01-12,12:00,"Cenkeramaddi Linga Reddy, Lynghaug Trond-Ivar","GRM A2 152 labELE"
"'MA-155/Forel/Øv/01/Økonomi - Streaming",2016-01-12,14:15,2016-01-12,17:00,"Heskestad Terje , Walker Pedersen Kristina Maria","GRM A2 046 sem*, GRM A2 047 sem*, GRM A2 123 sem, GRM C2 036 aud, GRM C2 041 aud"
"'ELE213/Forel/01",2016-01-13,08:15,2016-01-13,10:00,"Jiao Lei, Kohle, Sunita","GRM A2 027 sem"
"'MA-155/Forel/01/Stat - Streaming",2016-01-13,10:15,2016-01-13,12:00,"Nyberg Svein O.","GRM C2 036 aud, GRM C2 041 aud"
"'MA-155/Forel/02/Stat - Streaming",2016-01-14,10:15,2016-01-14,12:00,"Nyberg Svein O.","GRM C2 036 aud, GRM C2 041 aud"
"'ELE213/Forel/02",2016-01-14,12:15,2016-01-14,14:00,"Jiao Lei, Kohle, Sunita","GRM A2 027 sem"
"'ELE213/Øv/01",2016-01-14,14:15,2016-01-14,16:00,"Jiao Lei, Kohle, Sunita","GRM A2 027 sem"
"'ELE213/labøv/01",2016-01-15,08:15,2016-01-15,12:00,"Jiao Lei, Kohle, Sunita","GRM A2 152 labELE"
"'ELE205/Forel/02",2016-01-15,12:15,2016-01-15,15:00,"Cenkeramaddi Linga Reddy, Lynghaug Trond-Ivar","GRM A2 023 sem"
"'ELE205/Forel/01",2016-01-18,09:15,2016-01-18,12:00,"Cenkeramaddi Linga Reddy, Lynghaug Trond-Ivar","GRM A2 025 sem"
"'MA-155/Øv/01 Stat ELEKTRO",2016-01-18,12:15,2016-01-18,14:00,"Studentassistent1 MA-155 øving","GRM A2 025 sem"
"'ELE205/Øv/01",2016-01-18,14:15,2016-01-18,16:00,"Cenkeramaddi Linga Reddy, Lynghaug Trond-Ivar","GRM A2 025 sem"
"'ELE205/labøv/01",2016-01-19,08:15,2016-01-19,12:00,"Cenkeramaddi Linga Reddy, Lynghaug Trond-Ivar","GRM A2 152 labELE"
"'MA-155/Forel/Øv/01/Økonomi - Streaming",2016-01-19,14:15,2016-01-19,17:00,"Heskestad Terje , Walker Pedersen Kristina Maria","GRM A2 046 sem*, GRM A2 047 sem*, GRM A2 123 sem, GRM C2 036 aud, GRM C2 041 aud"
"'ELE213/Forel/01",2016-01-20,08:15,2016-01-20,10:00,"Jiao Lei, Kohle, Sunita","GRM A2 027 sem"
"'MA-155/Forel/01/Stat - Streaming",2016-01-20,10:15,2016-01-20,12:00,"Nyberg Svein O.","GRM C2 036 aud, GRM C2 041 aud"
