Subject,Start Date,Start Time,End Date,End Time,Description,Location
"'BYG214/Forel/01",2016-01-06,12:15,2016-01-06,14:00,"Marrable Harald, Taddesse Ephrem","GRM C2 041 aud"
"'BYG214/Øv/01",2016-01-06,14:15,2016-01-06,16:00,"Marrable Harald, Taddesse Ephrem","GRM D2 098 MV"
"'BYG214/Forel/02",2016-01-07,12:15,2016-01-07,14:00,"Marrable Harald, Taddesse Ephrem","GRM C2 041 aud"
"'BYG214/Øv/02",2016-01-07,14:15,2016-01-07,16:00,"Marrable Harald, Taddesse Ephrem","GRM D2 098 MV"
"'BYG213/Forel/02 SD",2016-01-08,08:15,2016-01-08,10:00,"Ding, Songxiong","GRM C2 041 aud"
"'BYG213/Øv/02 SD",2016-01-08,10:15,2016-01-08,12:00,"Ding, Songxiong","GRM A2 027 sem, GRM A2 046 sem*, GRM A2 047 sem*"
"'BYG124-G/Forel/01",2016-01-08,12:15,2016-01-08,14:00,"Ditlefsen, Rita, Liltved, Helge","GRM A3 041 sem"
"'BYG213/Forel/01 BK",2016-01-11,12:15,2016-01-11,14:00,"Kittelsen Bjørn","GRM C2 042 aud"
"'BYG213/Øv/01 BK",2016-01-11,14:15,2016-01-11,16:00,"Kittelsen Bjørn","GRM A2 027 sem, GRM A2 046 sem*, GRM A2 047 sem*"
"'BYG124-G/Lab/01",2016-01-12,08:15,2016-01-12,12:00,"Ditlefsen, Rita, Liltved, Helge","GRM D2 030 lab NAT, GRM D2 098 MV"
"'BYG124-G/Forel/02",2016-01-12,12:15,2016-01-12,14:00,"Ditlefsen, Rita, Liltved, Helge","GRM A3 041 sem"
"'MA-155/Forel/Øv/01/Økonomi - Streaming",2016-01-12,14:15,2016-01-12,17:00,"Heskestad Terje , Walker Pedersen Kristina Maria","GRM A2 046 sem*, GRM A2 047 sem*, GRM A2 123 sem, GRM C2 036 aud, GRM C2 041 aud"
"'MA-155/Forel/01/Stat - Streaming",2016-01-13,10:15,2016-01-13,12:00,"Nyberg Svein O.","GRM C2 036 aud, GRM C2 041 aud"
"'BYG214/Forel/01",2016-01-13,12:15,2016-01-13,14:00,"Marrable Harald, Taddesse Ephrem","GRM C2 041 aud"
"'BYG214/Øv/01",2016-01-13,14:15,2016-01-13,16:00,"Marrable Harald, Taddesse Ephrem","GRM D2 098 MV"
"'MA-155/Forel/02/Stat - Streaming",2016-01-14,10:15,2016-01-14,12:00,"Nyberg Svein O.","GRM C2 036 aud, GRM C2 041 aud"
"'BYG214/Forel/02",2016-01-14,12:15,2016-01-14,14:00,"Marrable Harald, Taddesse Ephrem","GRM C2 041 aud"
"'BYG214/Øv/02",2016-01-14,14:15,2016-01-14,16:00,"Marrable Harald, Taddesse Ephrem","GRM D2 098 MV"
"'BYG213/Forel/02 SD",2016-01-15,08:15,2016-01-15,10:00,"Ding, Songxiong","GRM C2 041 aud"
"'BYG213/Øv/02 SD",2016-01-15,10:15,2016-01-15,12:00,"Ding, Songxiong","GRM A2 027 sem, GRM A2 046 sem*, GRM A2 047 sem*"
"'BYG124-G/Forel/01",2016-01-15,12:15,2016-01-15,14:00,"Ditlefsen, Rita, Liltved, Helge","GRM A3 041 sem"
"'MA-155/Øv/01 Stat BYGG",2016-01-15,14:15,2016-01-15,16:00,"Studentassistent1 MA-155 øving","GRM C4 090 sem*, GRM C4 091 sem*, GRM C4 092 sem"
"'BYG213/Forel/01 BK",2016-01-18,12:15,2016-01-18,14:00,"Kittelsen Bjørn","GRM C2 042 aud"
"'BYG213/Øv/01 BK",2016-01-18,14:15,2016-01-18,16:00,"Kittelsen Bjørn","GRM A2 027 sem, GRM A2 046 sem*, GRM A2 047 sem*"
"'BYG124-G/Lab/01",2016-01-19,08:15,2016-01-19,12:00,"Ditlefsen, Rita, Liltved, Helge","GRM D2 030 lab NAT, GRM D2 098 MV"
"'BYG124-G/Forel/02",2016-01-19,12:15,2016-01-19,14:00,"Ditlefsen, Rita, Liltved, Helge","GRM A3 041 sem"
"'MA-155/Forel/Øv/01/Økonomi - Streaming",2016-01-19,14:15,2016-01-19,17:00,"Heskestad Terje , Walker Pedersen Kristina Maria","GRM A2 046 sem*, GRM A2 047 sem*, GRM A2 123 sem, GRM C2 036 aud, GRM C2 041 aud"
"'MA-155/Forel/01/Stat - Streaming",2016-01-20,10:15,2016-01-20,12:00,"Nyberg Svein O.","GRM C2 036 aud, GRM C2 041 aud"
"'BYG214/Forel/01",2016-01-20,12:15,2016-01-20,14:00,"Marrable Harald, Taddesse Ephrem","GRM C2 041 aud"
"'BYG214/Øv/01",2016-01-20,14:15,2016-01-20,16:00,"Marrable Harald, Taddesse Ephrem","GRM D2 098 MV"
"'MA-155/Forel/02/Stat - Streaming",2016-01-21,10:15,2016-01-21,12:00,"Nyberg Svein O.","GRM C2 036 aud, GRM C2 041 aud"
"'BYG214/Forel/02",2016-01-21,12:15,2016-01-21,14:00,"Marrable Harald, Taddesse Ephrem","GRM C2 041 aud"
"'BYG214/Øv/02",2016-01-21,14:15,2016-01-21,16:00,"Marrable Harald, Taddesse Ephrem","GRM D2 098 MV"
"'BYG213/Forel/02 SD",2016-01-22,08:15,2016-01-22,10:00,"Ding, Songxiong","GRM C2 041 aud"
"'BYG213/Øv/02 SD",2016-01-22,10:15,2016-01-22,12:00,"Ding, Songxiong","GRM A2 027 sem, GRM A2 046 sem*, GRM A2 047 sem*"
"'BYG124-G/Forel/01",2016-01-22,12:15,2016-01-22,14:00,"Ditlefsen, Rita, Liltved, Helge","GRM A3 041 sem"
"'MA-155/Øv/01 Stat BYGG",2016-01-22,14:15,2016-01-22,16:00,"Studentassistent1 MA-155 øving","GRM C4 090 sem*, GRM C4 091 sem*, GRM C4 092 sem"
"'BYG213/Forel/01 BK",2016-01-25,12:15,2016-01-25,14:00,"Kittelsen Bjørn","GRM C2 042 aud"
"'BYG213/Øv/01 BK",2016-01-25,14:15,2016-01-25,16:00,"Kittelsen Bjørn","GRM A2 027 sem, GRM A2 046 sem*, GRM A2 047 sem*"
"'BYG124-G/Lab/01",2016-01-26,08:15,2016-01-26,12:00,"Ditlefsen, Rita, Liltved, Helge","GRM D2 030 lab NAT, GRM D2 098 MV"
"'BYG124-G/Forel/02",2016-01-26,12:15,2016-01-26,14:00,"Ditlefsen, Rita, Liltved, Helge","GRM A3 041 sem"
"'MA-155/Forel/Øv/01/Økonomi - Streaming",2016-01-26,14:15,2016-01-26,17:00,"Heskestad Terje , Walker Pedersen Kristina Maria","GRM A2 046 sem*, GRM A2 047 sem*, GRM A2 123 sem, GRM C2 036 aud, GRM C2 041 aud"
"'MA-155/Forel/01/Stat - Streaming",2016-01-27,10:15,2016-01-27,12:00,"Nyberg Svein O.","GRM C2 036 aud, GRM C2 041 aud"
"'BYG214/Forel/01",2016-01-27,12:15,2016-01-27,14:00,"Marrable Harald, Taddesse Ephrem","GRM C2 041 aud"
"'BYG214/Øv/01",2016-01-27,14:15,2016-01-27,16:00,"Marrable Harald, Taddesse Ephrem","GRM D2 098 MV"
"'MA-155/Forel/02/Stat - Streaming",2016-01-28,10:15,2016-01-28,12:00,"Nyberg Svein O.","GRM C2 036 aud, GRM C2 041 aud"
"'BYG214/Forel/02",2016-01-28,12:15,2016-01-28,14:00,"Marrable Harald, Taddesse Ephrem","GRM C2 041 aud"
"'BYG214/Øv/02",2016-01-28,14:15,2016-01-28,16:00,"Marrable Harald, Taddesse Ephrem","GRM D2 098 MV"
"'BYG213/Forel/02 SD",2016-01-29,08:15,2016-01-29,10:00,"Ding, Songxiong","GRM C2 041 aud"
"'BYG213/Øv/02 SD",2016-01-29,10:15,2016-01-29,12:00,"Ding, Songxiong","GRM A2 027 sem, GRM A2 046 sem*, GRM A2 047 sem*"
"'BYG124-G/Forel/01",2016-01-29,12:15,2016-01-29,14:00,"Ditlefsen, Rita, Liltved, Helge","GRM A3 041 sem"
"'MA-155/Øv/01 Stat BYGG",2016-01-29,14:15,2016-01-29,16:00,"Studentassistent1 MA-155 øving","GRM C4 090 sem*, GRM C4 091 sem*, GRM C4 092 sem"
"'BYG213/Forel/01 BK",2016-02-01,12:15,2016-02-01,14:00,"Kittelsen Bjørn","GRM C2 042 aud"
"'BYG213/Øv/01 BK",2016-02-01,14:15,2016-02-01,16:00,"Kittelsen Bjørn","GRM A2 027 sem, GRM A2 046 sem*, GRM A2 047 sem*"
"'BYG124-G/Lab/01",2016-02-02,08:15,2016-02-02,12:00,"Ditlefsen, Rita, Liltved, Helge","GRM D2 030 lab NAT, GRM D2 098 MV"
"'BYG124-G/Forel/02",2016-02-02,12:15,2016-02-02,14:00,"Ditlefsen, Rita, Liltved, Helge","GRM A3 041 sem"
"'MA-155/Forel/Øv/01/Økonomi - Streaming",2016-02-02,14:15,2016-02-02,17:00,"Heskestad Terje , Walker Pedersen Kristina Maria","GRM A2 046 sem*, GRM A2 047 sem*, GRM A2 123 sem, GRM C2 036 aud, GRM C2 041 aud"
"'MA-155/Forel/01/Stat - Streaming",2016-02-03,10:15,2016-02-03,12:00,"Nyberg Svein O.","GRM C2 036 aud, GRM C2 041 aud"
"'BYG214/Forel/01",2016-02-03,12:15,2016-02-03,14:00,"Marrable Harald, Taddesse Ephrem","GRM C2 041 aud"
"'BYG214/Øv/01",2016-02-03,14:15,2016-02-03,16:00,"Marrable Harald, Taddesse Ephrem","GRM D2 098 MV"
"'MA-155/Forel/02/Stat - Streaming",2016-02-04,10:15,2016-02-04,12:00,"Nyberg Svein O.","GRM C2 036 aud, GRM C2 041 aud"
"'BYG214/Forel/02",2016-02-04,12:15,2016-02-04,14:00,"Marrable Harald, Taddesse Ephrem","GRM C2 041 aud"
"'BYG214/Øv/02",2016-02-04,14:15,2016-02-04,16:00,"Marrable Harald, Taddesse Ephrem","GRM D2 098 MV"
