Subject,Start Date,Start Time,End Date,End Time,Description,Location
"'TFL200/Veiledning/04 ENERGI (RO)",2016-01-08,12:15,2016-01-08,14:00,"O'Born Reyn","GRM A2 025 sem"
"'TFL200/Forel/02 uke 2 TVN Streaming",2016-01-11,14:15,2016-01-11,16:00,"Nilsen Tom V.","GRM C2 036 aud, GRM C2 041 aud"
"'TFL200/Veiledning/04 ENERGI (RO)",2016-01-15,12:15,2016-01-15,14:00,"O'Born Reyn","GRM A2 025 sem"
"'TFL200/Forel/01 uke 2 TVN Streaming",2016-01-15,14:15,2016-01-15,16:00,"Nilsen Tom V.","GRM C2 036 aud, GRM C2 041 aud"
"ENE304/Forel/01 uke 3 Rapportskriving",2016-01-18,08:15,2016-01-18,10:00,"Bergsmark Stein","GRM C2 041 aud"
"'TFL200/Forel/01 uke 3-6. 8 HHG Streaming",2016-01-18,14:15,2016-01-18,16:00,"Grelland, Hans Herlof","GRM C2 036 aud, GRM C2 041 aud"
"'TFL200/Veiledning/04 ENERGI (RO)",2016-01-22,12:15,2016-01-22,14:00,"O'Born Reyn","GRM A2 025 sem"
"'TFL200/Forel/01 uke 3-6 AI Streaming",2016-01-22,14:15,2016-01-22,16:00,"Isaksen Arne","GRM C2 036 aud, GRM C2 041 aud"
"ENE304/Forel/01 uke 3 Rapportskriving",2016-01-24,21:15,2016-01-24,23:00,"Bergsmark Stein","GRM C2 041 aud"
"'TFL200/Forel/01 uke 3-6. 8 HHG Streaming",2016-01-25,14:15,2016-01-25,16:00,"Grelland, Hans Herlof","GRM C2 036 aud, GRM C2 041 aud"
"'TFL200/Veiledning/04 ENERGI (RO)",2016-01-29,12:15,2016-01-29,14:00,"O'Born Reyn","GRM A2 025 sem"
"'TFL200/Forel/01 uke 3-6 AI Streaming",2016-01-29,14:15,2016-01-29,16:00,"Isaksen Arne","GRM C2 036 aud, GRM C2 041 aud"
"ENE304/Forel/01 Veiledning",2016-01-31,21:15,2016-01-31,23:00,"Bergsmark Stein","GRM A2 046 sem*, GRM A2 047 sem*"
