Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-KOM113 NB! Kfr. egen semesterplan",2016-01-04,08:15,2016-01-04,09:00,"Andresen Kenneth, Lindøe Siri Hempel","KRS x D4 007 medierom-"
"-KOM113 NB! Kfr. egen semesterplan",2016-01-11,08:15,2016-01-11,09:00,"Andresen Kenneth, Lindøe Siri Hempel","KRS x D4 007 medierom-"
"-KOM109 for",2016-01-12,10:15,2016-01-12,12:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS B3 001 aud"
"-KOM109 lab gr 1",2016-01-12,12:15,2016-01-12,14:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 2",2016-01-12,14:15,2016-01-12,16:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 3",2016-01-14,09:15,2016-01-14,11:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 4",2016-01-14,12:15,2016-01-14,14:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 5",2016-01-14,14:15,2016-01-14,16:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM113 NB! Kfr. egen semesterplan",2016-01-18,08:15,2016-01-18,09:00,"Andresen Kenneth, Lindøe Siri Hempel","KRS x D4 007 medierom-"
"-KOM109 for",2016-01-19,10:15,2016-01-19,12:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS B3 001 aud"
"-KOM109 lab gr 1",2016-01-19,12:15,2016-01-19,14:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 2",2016-01-19,14:15,2016-01-19,16:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 3",2016-01-21,09:15,2016-01-21,11:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 4",2016-01-21,12:15,2016-01-21,14:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 5",2016-01-21,14:15,2016-01-21,16:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM113 NB! Kfr. egen semesterplan",2016-01-25,08:15,2016-01-25,09:00,"Andresen Kenneth, Lindøe Siri Hempel","KRS x D4 007 medierom-"
"-KOM109 for",2016-01-26,10:15,2016-01-26,12:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS B3 001 aud"
"-KOM109 lab gr 1",2016-01-26,12:15,2016-01-26,14:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 2",2016-01-26,14:15,2016-01-26,16:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 3",2016-01-28,09:15,2016-01-28,11:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 4",2016-01-28,12:15,2016-01-28,14:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 5",2016-01-28,14:15,2016-01-28,16:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM113 NB! Kfr. egen semesterplan",2016-02-01,08:15,2016-02-01,09:00,"Andresen Kenneth, Lindøe Siri Hempel","KRS x D4 007 medierom-"
"-KOM109 for",2016-02-02,10:15,2016-02-02,12:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS B3 001 aud"
"-KOM109 lab gr 1",2016-02-02,12:15,2016-02-02,14:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 2",2016-02-02,14:15,2016-02-02,16:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 3",2016-02-04,09:15,2016-02-04,11:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 4",2016-02-04,12:15,2016-02-04,14:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 5",2016-02-04,14:15,2016-02-04,16:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM113 NB! Kfr. egen semesterplan",2016-02-08,08:15,2016-02-08,09:00,"Andresen Kenneth, Lindøe Siri Hempel","KRS x D4 007 medierom-"
"-KOM109 for",2016-02-09,10:15,2016-02-09,12:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS B3 001 aud"
"-KOM109 lab gr 1",2016-02-09,12:15,2016-02-09,14:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 2",2016-02-09,14:15,2016-02-09,16:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 3",2016-02-11,09:15,2016-02-11,11:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 4",2016-02-11,12:15,2016-02-11,14:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 5",2016-02-11,14:15,2016-02-11,16:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM113 NB! Kfr. egen semesterplan",2016-02-15,08:15,2016-02-15,09:00,"Andresen Kenneth, Lindøe Siri Hempel","KRS x D4 007 medierom-"
"-KOM109 for",2016-02-16,10:15,2016-02-16,12:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS B3 001 aud"
"-KOM109 lab gr 1",2016-02-16,12:15,2016-02-16,14:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 2",2016-02-16,14:15,2016-02-16,16:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 3",2016-02-18,09:15,2016-02-18,11:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 4",2016-02-18,12:15,2016-02-18,14:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 5",2016-02-18,14:15,2016-02-18,16:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM113 NB! Kfr. egen semesterplan",2016-02-22,08:15,2016-02-22,09:00,"Andresen Kenneth, Lindøe Siri Hempel","KRS x D4 007 medierom-"
"-KOM113 NB! Kfr. egen semesterplan",2016-02-29,08:15,2016-02-29,09:00,"Andresen Kenneth, Lindøe Siri Hempel","KRS x D4 007 medierom-"
"-KOM109 for",2016-03-01,10:15,2016-03-01,12:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS B3 001 aud"
"-KOM109 lab gr 1",2016-03-01,12:15,2016-03-01,14:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 2",2016-03-01,14:15,2016-03-01,16:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 3",2016-03-03,09:15,2016-03-03,11:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 4",2016-03-03,12:15,2016-03-03,14:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 5",2016-03-03,14:15,2016-03-03,16:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM113 NB! Kfr. egen semesterplan",2016-03-07,08:15,2016-03-07,09:00,"Andresen Kenneth, Lindøe Siri Hempel","KRS x D4 007 medierom-"
"-KOM109 for",2016-03-08,10:15,2016-03-08,12:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS B3 001 aud"
"-KOM109 lab gr 1",2016-03-08,12:15,2016-03-08,14:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 2",2016-03-08,14:15,2016-03-08,16:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 3",2016-03-10,09:15,2016-03-10,11:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 4",2016-03-10,12:15,2016-03-10,14:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 5",2016-03-10,14:15,2016-03-10,16:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM113 NB! Kfr. egen semesterplan",2016-03-14,08:15,2016-03-14,09:00,"Andresen Kenneth, Lindøe Siri Hempel","KRS x D4 007 medierom-"
"-KOM109 for",2016-03-15,10:15,2016-03-15,12:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS B3 001 aud"
"-KOM109 lab gr 1",2016-03-15,12:15,2016-03-15,14:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 2",2016-03-15,14:15,2016-03-15,16:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 3",2016-03-17,09:15,2016-03-17,11:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 4",2016-03-17,12:15,2016-03-17,14:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 5",2016-03-17,14:15,2016-03-17,16:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM113 NB! Kfr. egen semesterplan",2016-03-28,08:15,2016-03-28,09:00,"Andresen Kenneth, Lindøe Siri Hempel","KRS x D4 007 medierom-"
"-KOM113 NB! Kfr. egen semesterplan",2016-04-04,08:15,2016-04-04,09:00,"Andresen Kenneth, Lindøe Siri Hempel","KRS x D4 007 medierom-"
"-KOM109 for",2016-04-05,10:15,2016-04-05,12:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS B3 001 aud"
"-KOM109 lab gr 1",2016-04-05,12:15,2016-04-05,14:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 2",2016-04-05,14:15,2016-04-05,16:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 3",2016-04-07,09:15,2016-04-07,11:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 4",2016-04-07,12:15,2016-04-07,14:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 5",2016-04-07,14:15,2016-04-07,16:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM113 NB! Kfr. egen semesterplan",2016-04-11,08:15,2016-04-11,09:00,"Andresen Kenneth, Lindøe Siri Hempel","KRS x D4 007 medierom-"
"-KOM109 for",2016-04-12,10:15,2016-04-12,12:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS B3 001 aud"
"-KOM109 lab gr 1",2016-04-12,12:15,2016-04-12,14:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 2",2016-04-12,14:15,2016-04-12,16:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 3",2016-04-14,09:15,2016-04-14,11:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 4",2016-04-14,12:15,2016-04-14,14:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 5",2016-04-14,14:15,2016-04-14,16:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM113 NB! Kfr. egen semesterplan",2016-04-18,08:15,2016-04-18,09:00,"Andresen Kenneth, Lindøe Siri Hempel","KRS x D4 007 medierom-"
"-KOM109 for",2016-04-19,10:15,2016-04-19,12:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS B3 001 aud"
"-KOM109 lab gr 1",2016-04-19,12:15,2016-04-19,14:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 2",2016-04-19,14:15,2016-04-19,16:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 3",2016-04-21,09:15,2016-04-21,11:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 4",2016-04-21,12:15,2016-04-21,14:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 5",2016-04-21,14:15,2016-04-21,16:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM113 NB! Kfr. egen semesterplan",2016-04-25,08:15,2016-04-25,09:00,"Andresen Kenneth, Lindøe Siri Hempel","KRS x D4 007 medierom-"
"-KOM109 for",2016-04-26,10:15,2016-04-26,12:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS B3 001 aud"
"-KOM109 lab gr 1",2016-04-26,12:15,2016-04-26,14:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 2",2016-04-26,14:15,2016-04-26,16:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 3",2016-04-28,09:15,2016-04-28,11:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 4",2016-04-28,12:15,2016-04-28,14:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 5",2016-04-28,14:15,2016-04-28,16:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM113 NB! Kfr. egen semesterplan",2016-05-02,08:15,2016-05-02,09:00,"Andresen Kenneth, Lindøe Siri Hempel","KRS x D4 007 medierom-"
"-KOM109 for",2016-05-03,10:15,2016-05-03,12:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS B3 001 aud"
"-KOM109 lab gr 1",2016-05-03,12:15,2016-05-03,14:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
"-KOM109 lab gr 2",2016-05-03,14:15,2016-05-03,16:00,"Andresen Kenneth, Engebretsen Martin, Hodøl Hans-Olav","KRS F1 021 lab-"
