Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-EN-103 for ons 06.01",2016-01-06,14:15,2016-01-06,16:00,"Eriksen Roy Tommy, Holmesland Oddvar","KRS B1 006 aud"
"-EN-103 for",2016-01-07,13:15,2016-01-07,14:00,"Eriksen Roy Tommy, Holmesland Oddvar","KRS B1 006 aud"
"-EN-146 for",2016-01-11,13:15,2016-01-11,15:00,"Henriksen Arild Høie","KRS B1 018 aud"
"-EN-146 sem C",2016-01-12,10:15,2016-01-12,11:00,"Henriksen Arild Høie","KRS 46 216 sem"
"-EN-103 for",2016-01-12,11:15,2016-01-12,13:00,"Eriksen Roy Tommy, Holmesland Oddvar","KRS B1 006 aud"
"-EN-103 sem C",2016-01-12,14:15,2016-01-12,15:00,"Eriksen Roy Tommy, Holmesland Oddvar","KRS F1 018 sem"
"-EN-146 sem D",2016-01-12,14:15,2016-01-12,15:00,"Henriksen Arild Høie","KRS F2 008 sem"
"-EN-103 sem D",2016-01-12,15:15,2016-01-12,16:00,"Eriksen Roy Tommy, Holmesland Oddvar","KRS F1 018 sem"
"-EN-144 for",2016-01-13,09:15,2016-01-13,11:00,"Armstrong Charles Ivan, Dougherty Stephen","KRS B1 006 aud"
"-EN-144 sem B",2016-01-13,12:15,2016-01-13,13:00,"Armstrong Charles Ivan, Dougherty Stephen","KRS 48 106 sem"
"-EN-146 sem A",2016-01-13,12:15,2016-01-13,13:00,"Henriksen Arild Høie","KRS F2 008 sem"
"-EN-146 sem B",2016-01-13,13:15,2016-01-13,14:00,"Henriksen Arild Høie","KRS F2 008 sem"
"-EN-103 for",2016-01-14,13:15,2016-01-14,14:00,"Eriksen Roy Tommy, Holmesland Oddvar","KRS B1 006 aud"
"-EN-144 sem C",2016-01-14,14:15,2016-01-14,15:00,"Armstrong Charles Ivan, Dougherty Stephen","KRS F2 004 sem"
"-EN-103 sem A",2016-01-14,14:15,2016-01-14,15:00,"Eriksen Roy Tommy, Holmesland Oddvar","KRS F1 031 sem"
"-EN-103 sem B",2016-01-14,15:15,2016-01-14,16:00,"Eriksen Roy Tommy, Holmesland Oddvar","KRS F1 031 sem"
"-EN-144 sem A fre ",2016-01-15,10:15,2016-01-15,11:00,"","KRS 48 106 sem"
"-EN-144 sem D fre ",2016-01-15,11:15,2016-01-15,12:00,"","KRS 48 106 sem"
"-EN-146 for",2016-01-18,13:15,2016-01-18,15:00,"Henriksen Arild Høie","KRS B1 018 aud"
"-EN-146 sem C",2016-01-19,10:15,2016-01-19,11:00,"Henriksen Arild Høie","KRS 46 216 sem"
"-EN-103 for",2016-01-19,11:15,2016-01-19,13:00,"Eriksen Roy Tommy, Holmesland Oddvar","KRS B1 006 aud"
"-EN-103 sem C",2016-01-19,14:15,2016-01-19,15:00,"Eriksen Roy Tommy, Holmesland Oddvar","KRS F1 018 sem"
"-EN-146 sem D",2016-01-19,14:15,2016-01-19,15:00,"Henriksen Arild Høie","KRS F2 008 sem"
"-EN-103 sem D",2016-01-19,15:15,2016-01-19,16:00,"Eriksen Roy Tommy, Holmesland Oddvar","KRS F1 018 sem"
"-EN-144 for",2016-01-20,09:15,2016-01-20,11:00,"Armstrong Charles Ivan, Dougherty Stephen","KRS B1 006 aud"
"-EN-144 sem B",2016-01-20,12:15,2016-01-20,13:00,"Armstrong Charles Ivan, Dougherty Stephen","KRS 48 106 sem"
"-EN-146 sem A",2016-01-20,12:15,2016-01-20,13:00,"Henriksen Arild Høie","KRS F2 008 sem"
"-EN-144 sem A ons",2016-01-20,13:15,2016-01-20,14:00,"Armstrong Charles Ivan, Dougherty Stephen","KRS 48 106 sem"
"-EN-146 sem B",2016-01-20,13:15,2016-01-20,14:00,"Henriksen Arild Høie","KRS F2 008 sem"
"-EN-103 for",2016-01-21,13:15,2016-01-21,14:00,"Eriksen Roy Tommy, Holmesland Oddvar","KRS B1 006 aud"
"-EN-144 sem C",2016-01-21,14:15,2016-01-21,15:00,"Armstrong Charles Ivan, Dougherty Stephen","KRS F2 004 sem"
