Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-NO-146 for",2016-01-06,10:15,2016-01-06,12:00,"","KRS B2 004 aud"
"-NO-146 for",2016-01-07,12:15,2016-01-07,14:00,"","KRS B2 004 aud"
"-NO-146 gr",2016-01-07,14:15,2016-01-07,15:00,"","KRS F1 013, KRS F1 007, KRS F1 008, KRS F1 012, KRS F1 024 aud/gr"
"-NO-146 gr/for",2016-01-07,15:15,2016-01-07,16:00,"","KRS F1 013, KRS F1 007, KRS F1 008, KRS F1 012, KRS F1 024 aud/gr, KRS F1 022 sem"
"-NO-144 for",2016-01-11,11:15,2016-01-11,13:00,"Wiland Sverre","KRS B3 001 aud"
"-NO-144 for",2016-01-12,08:15,2016-01-12,10:00,"Wiland Sverre","KRS B3 001 aud"
"-NO-144 sem A+B uke 2.3 (NB! Tid)",2016-01-12,10:15,2016-01-12,12:00,"Wiland Sverre","KRS 46 215 sem"
"-NO-146 for",2016-01-13,10:15,2016-01-13,12:00,"","KRS B2 004 aud"
"-NO-146 for",2016-01-14,12:15,2016-01-14,14:00,"","KRS B2 004 aud"
"-NO-146 gr",2016-01-14,14:15,2016-01-14,15:00,"","KRS F1 013, KRS F1 007, KRS F1 008, KRS F1 012, KRS F1 024 aud/gr"
"-NO-146 gr/for",2016-01-14,15:15,2016-01-14,16:00,"","KRS F1 013, KRS F1 007, KRS F1 008, KRS F1 012, KRS F1 024 aud/gr, KRS F1 022 sem"
"-NO-144 for",2016-01-18,11:15,2016-01-18,13:00,"Wiland Sverre","KRS B3 001 aud"
"-NO-144 for",2016-01-19,08:15,2016-01-19,10:00,"Wiland Sverre","KRS B3 001 aud"
"-NO-144 sem A+B uke 2.3 (NB! Tid)",2016-01-19,10:15,2016-01-19,12:00,"Wiland Sverre","KRS 46 215 sem"
"-NO-146 for",2016-01-20,10:15,2016-01-20,12:00,"","KRS B2 004 aud"
"-NO-146 for",2016-01-21,12:15,2016-01-21,14:00,"","KRS B2 004 aud"
"-NO-146 gr",2016-01-21,14:15,2016-01-21,15:00,"","KRS F1 013, KRS F1 007, KRS F1 008, KRS F1 012, KRS F1 024 aud/gr"
"-NO-146 gr/for",2016-01-21,15:15,2016-01-21,16:00,"","KRS F1 013, KRS F1 007, KRS F1 008, KRS F1 012, KRS F1 024 aud/gr, KRS F1 022 sem"
"-NO-144 for",2016-01-25,11:15,2016-01-25,13:00,"Wiland Sverre","KRS B3 001 aud"
"-NO-144 for",2016-01-26,08:15,2016-01-26,10:00,"Wiland Sverre","KRS B3 001 aud"
"-NO-144 sem A  ",2016-01-26,11:15,2016-01-26,12:00,"Wiland Sverre","KRS F2 007 sem"
"-NO-144 sem B  ",2016-01-26,12:15,2016-01-26,13:00,"Wiland Sverre","KRS F2 007 sem"
"-NO-146 for",2016-01-27,10:15,2016-01-27,12:00,"","KRS B2 004 aud"
"-Lektorutd. norsk fagdid.2.år 28.01",2016-01-28,09:15,2016-01-28,11:00,"Heivoll Anita Berge","KRS F2 001 sem"
"-NO-146 for",2016-01-28,12:15,2016-01-28,14:00,"","KRS B2 004 aud"
"-NO-146 gr",2016-01-28,14:15,2016-01-28,15:00,"","KRS F1 013, KRS F1 007, KRS F1 008, KRS F1 012, KRS F1 024 aud/gr"
