Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-LIK100 for",2016-01-13,12:15,2016-01-13,14:00,"Einstabland Åsta Louise, Markussen Bjarne","KRS F1 031 sem"
"-LIK101 for",2016-01-14,09:15,2016-01-14,12:00,"Aasebø Turid Skarre","KRS F2 008 sem"
"-LIK102 for",2016-01-14,13:15,2016-01-14,15:00,"Einstabland Åsta Louise","KRS F2 008 sem"
"-LIK100 for",2016-01-20,12:15,2016-01-20,14:00,"Einstabland Åsta Louise, Markussen Bjarne","KRS F1 031 sem"
"-LIK101 for",2016-01-21,09:15,2016-01-21,12:00,"Aasebø Turid Skarre","KRS F2 008 sem"
"-LIK102 for",2016-01-21,13:15,2016-01-21,15:00,"Einstabland Åsta Louise","KRS F2 008 sem"
"-LIK100 for",2016-01-27,12:15,2016-01-27,14:00,"Einstabland Åsta Louise, Markussen Bjarne","KRS F1 031 sem"
"-LIK101 for",2016-01-28,09:15,2016-01-28,12:00,"Aasebø Turid Skarre","KRS F2 008 sem"
"-LIK102 for",2016-01-28,13:15,2016-01-28,15:00,"Einstabland Åsta Louise","KRS F2 008 sem"
"-LIK100 for",2016-02-03,12:15,2016-02-03,14:00,"Einstabland Åsta Louise, Markussen Bjarne","KRS F1 031 sem"
"-LIK101 for",2016-02-04,09:15,2016-02-04,12:00,"Aasebø Turid Skarre","KRS F2 008 sem"
"-LIK102 for",2016-02-04,13:15,2016-02-04,15:00,"Einstabland Åsta Louise","KRS F2 008 sem"
"-LIK100 for",2016-02-10,12:15,2016-02-10,14:00,"Einstabland Åsta Louise, Markussen Bjarne","KRS F1 031 sem"
"-LIK101 for",2016-02-11,09:15,2016-02-11,12:00,"Aasebø Turid Skarre","KRS F2 008 sem"
"-LIK102 for",2016-02-11,13:15,2016-02-11,15:00,"Einstabland Åsta Louise","KRS F2 008 sem"
"-LIK100 for",2016-02-17,12:15,2016-02-17,14:00,"Einstabland Åsta Louise, Markussen Bjarne","KRS F1 031 sem"
"-LIK101 for",2016-02-18,09:15,2016-02-18,12:00,"Aasebø Turid Skarre","KRS F2 008 sem"
"-LIK102 for",2016-02-18,13:15,2016-02-18,15:00,"Einstabland Åsta Louise","KRS F2 008 sem"
"-LIK101 for",2016-02-25,09:15,2016-02-25,12:00,"Aasebø Turid Skarre","KRS F2 008 sem"
"-LIK100 for",2016-03-02,12:15,2016-03-02,14:00,"Einstabland Åsta Louise, Markussen Bjarne","KRS F1 031 sem"
"-LIK101 for",2016-03-03,09:15,2016-03-03,12:00,"Aasebø Turid Skarre","KRS F2 008 sem"
"-LIK102 for",2016-03-03,13:15,2016-03-03,15:00,"Einstabland Åsta Louise","KRS F2 008 sem"
"-LIK100 for",2016-03-09,12:15,2016-03-09,14:00,"Einstabland Åsta Louise, Markussen Bjarne","KRS F1 031 sem"
"-LIK101 for",2016-03-10,09:15,2016-03-10,12:00,"Aasebø Turid Skarre","KRS F2 008 sem"
"-LIK102 for",2016-03-10,13:15,2016-03-10,15:00,"Einstabland Åsta Louise","KRS F2 008 sem"
"-LIK101 for",2016-03-17,09:15,2016-03-17,12:00,"Aasebø Turid Skarre","KRS F2 008 sem"
"-LIK102 for",2016-03-17,13:15,2016-03-17,15:00,"Einstabland Åsta Louise","KRS F2 008 sem"
"-LIK100 for",2016-03-30,12:15,2016-03-30,14:00,"Einstabland Åsta Louise, Markussen Bjarne","KRS F1 031 sem"
"-LIK101 for",2016-03-31,09:15,2016-03-31,12:00,"Aasebø Turid Skarre","KRS F2 008 sem"
"-LIK102 for",2016-03-31,13:15,2016-03-31,15:00,"Einstabland Åsta Louise","KRS F2 008 sem"
"-LIK100 for",2016-04-06,12:15,2016-04-06,14:00,"Einstabland Åsta Louise, Markussen Bjarne","KRS F1 031 sem"
"-LIK101 for",2016-04-07,09:15,2016-04-07,12:00,"Aasebø Turid Skarre","KRS F2 008 sem"
"-LIK102 for",2016-04-07,13:15,2016-04-07,15:00,"Einstabland Åsta Louise","KRS F2 008 sem"
"-LIK100 for",2016-04-13,12:15,2016-04-13,14:00,"Einstabland Åsta Louise, Markussen Bjarne","KRS F1 031 sem"
"-LIK101 for",2016-04-14,09:15,2016-04-14,12:00,"Aasebø Turid Skarre","KRS F2 008 sem"
"-LIK102 for",2016-04-14,13:15,2016-04-14,15:00,"Einstabland Åsta Louise","KRS F2 008 sem"
"-LIK100 for",2016-04-20,12:15,2016-04-20,14:00,"Einstabland Åsta Louise, Markussen Bjarne","KRS F1 031 sem"
"-LIK101 for",2016-04-21,09:15,2016-04-21,12:00,"Aasebø Turid Skarre","KRS F2 008 sem"
"-LIK102 for",2016-04-21,13:15,2016-04-21,15:00,"Einstabland Åsta Louise","KRS F2 008 sem"
"-LIK100 for",2016-04-27,12:15,2016-04-27,14:00,"Einstabland Åsta Louise, Markussen Bjarne","KRS F1 031 sem"
"-LIK102 for",2016-04-28,13:15,2016-04-28,15:00,"Einstabland Åsta Louise","KRS F2 008 sem"
"-LIK100 for",2016-05-04,12:15,2016-05-04,14:00,"Einstabland Åsta Louise, Markussen Bjarne","KRS F1 031 sem"
