Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-LFT201/LFT200 man Se egen plan!",2016-01-18,09:15,2016-01-18,14:00,"Dancus Adriana Margareta","KRS x D4 026-"
"-LFT201/LFT200 man Se egen plan!",2016-01-25,09:15,2016-01-25,14:00,"Dancus Adriana Margareta","KRS x D4 026-"
"-LFT201/LFT200 man Se egen plan!",2016-02-01,09:15,2016-02-01,14:00,"Dancus Adriana Margareta","KRS x D4 026-"
"-LFT201/LFT200 man Se egen plan!",2016-02-08,09:15,2016-02-08,14:00,"Dancus Adriana Margareta","KRS x D4 026-"
"-LFT201/LFT200 man Se egen plan!",2016-02-15,09:15,2016-02-15,14:00,"Dancus Adriana Margareta","KRS x D4 026-"
"-LFT201/LFT200 man Se egen plan!",2016-02-22,09:15,2016-02-22,14:00,"Dancus Adriana Margareta","KRS x D4 026-"
"-LFT201/LFT200 man Se egen plan!",2016-02-29,09:15,2016-02-29,14:00,"Dancus Adriana Margareta","KRS x D4 026-"
"-LFT201/LFT200 man Se egen plan!",2016-03-07,09:15,2016-03-07,14:00,"Dancus Adriana Margareta","KRS x D4 026-"
"-LFT201/LFT200 man Se egen plan!",2016-03-14,09:15,2016-03-14,14:00,"Dancus Adriana Margareta","KRS x D4 026-"
"-LFT201/LFT200 man Se egen plan!",2016-03-21,09:15,2016-03-21,14:00,"Dancus Adriana Margareta","KRS x D4 026-"
"-LFT201/LFT200 man Se egen plan!",2016-03-28,09:15,2016-03-28,14:00,"Dancus Adriana Margareta","KRS x D4 026-"
"-LFT201/LFT200 man Se egen plan!",2016-04-18,09:15,2016-04-18,14:00,"Dancus Adriana Margareta","KRS x D4 026-"
"-LFT201/LFT200 man Se egen plan!",2016-04-25,09:15,2016-04-25,14:00,"Dancus Adriana Margareta","KRS x D4 026-"
"-LFT201/LFT200 man Se egen plan!",2016-05-02,09:15,2016-05-02,14:00,"Dancus Adriana Margareta","KRS x D4 026-"
