Subject,Start Date,Start Time,End Date,End Time,Description,Location
".ORG214-1 for minus uke 13*",2016-01-11,12:15,2016-01-11,14:00,"Hekneby Torbjørn","KRS H1 023 sem"
".ORG214-1 gr minus uke 13*",2016-01-11,14:15,2016-01-11,15:00,"","KRS 50 140, KRS 50 142, KRS 50 144, KRS 50 149, KRS 50 150"
".ORG312/BE-319/MF-301 u 3.4 (46 118)",2016-01-13,17:15,2016-01-13,20:00,"Wald Andreas","KRS 46 118 aula"
".MF-301/ORG312/BE-319 u 2.3.4 (46 118)",2016-01-13,17:15,2016-01-13,20:00,"Wald Andreas","KRS 46 118 aula"
".ORG214-1 for minus uke 13*",2016-01-18,12:15,2016-01-18,14:00,"Hekneby Torbjørn","KRS H1 023 sem"
".ORG214-1 gr minus uke 13*",2016-01-18,14:15,2016-01-18,15:00,"","KRS 50 140, KRS 50 142, KRS 50 144, KRS 50 149, KRS 50 150"
".ORG312/BE-319/MF-301 u 3.4 (46 118)",2016-01-20,17:15,2016-01-20,20:00,"Wald Andreas","KRS 46 118 aula"
".MF-301/ORG312/BE-319 u 2.3.4 (46 118)",2016-01-20,17:15,2016-01-20,20:00,"Wald Andreas","KRS 46 118 aula"
".ORG308-1 for* ",2016-01-21,08:15,2016-01-21,10:00,"Amundsen Ivar, Bergdal Inge, Olsen Torunn S.","KRS I1 066 aud"
".ORG214-1 for minus uke 13*",2016-01-25,12:15,2016-01-25,14:00,"Hekneby Torbjørn","KRS H1 023 sem"
".ORG214-1 gr minus uke 13*",2016-01-25,14:15,2016-01-25,15:00,"","KRS 50 140, KRS 50 142, KRS 50 144, KRS 50 149, KRS 50 150"
".ORG312/BE-319/MF-301 u 3.4 (46 118)",2016-01-27,17:15,2016-01-27,20:00,"Wald Andreas","KRS 46 118 aula"
".MF-301/ORG312/BE-319 u 2.3.4 (46 118)",2016-01-27,17:15,2016-01-27,20:00,"Wald Andreas","KRS 46 118 aula"
".ORG308-1 for* ",2016-01-28,08:15,2016-01-28,10:00,"Amundsen Ivar, Bergdal Inge, Olsen Torunn S.","KRS I1 066 aud"
".ORG214-1 for minus uke 13*",2016-02-01,12:15,2016-02-01,14:00,"Hekneby Torbjørn","KRS H1 023 sem"
".ORG214-1 gr minus uke 13*",2016-02-01,14:15,2016-02-01,15:00,"","KRS 50 140, KRS 50 142, KRS 50 144, KRS 50 149, KRS 50 150"
".ORG312-1 for*",2016-02-03,08:15,2016-02-03,11:00,"Wald Andreas","KRS B2 006 aud"
".ORG308-1 for* ",2016-02-04,08:15,2016-02-04,10:00,"Amundsen Ivar, Bergdal Inge, Olsen Torunn S.","KRS I1 066 aud"
".MF-301-1/ORG-312-1 for*",2016-02-05,12:15,2016-02-05,15:00,"Johannesson Jokull","KRS B2 003 aud"
".ORG214-1 for minus uke 13*",2016-02-08,12:15,2016-02-08,14:00,"Hekneby Torbjørn","KRS H1 023 sem"
".ORG214-1 gr minus uke 13*",2016-02-08,14:15,2016-02-08,15:00,"","KRS 50 140, KRS 50 142, KRS 50 144, KRS 50 149, KRS 50 150"
".ORG312-1 for*",2016-02-10,08:15,2016-02-10,11:00,"Wald Andreas","KRS B2 006 aud"
".ORG308-1 for* ",2016-02-11,08:15,2016-02-11,10:00,"Amundsen Ivar, Bergdal Inge, Olsen Torunn S.","KRS I1 066 aud"
".MF-301-1/ORG-312-1 for*",2016-02-12,12:15,2016-02-12,15:00,"Johannesson Jokull","KRS B2 003 aud"
".ORG214-1 for minus uke 13*",2016-02-15,12:15,2016-02-15,14:00,"Hekneby Torbjørn","KRS H1 023 sem"
".ORG214-1 gr minus uke 13*",2016-02-15,14:15,2016-02-15,15:00,"","KRS 50 140, KRS 50 142, KRS 50 144, KRS 50 149, KRS 50 150"
".ORG312-1 for*",2016-02-17,08:15,2016-02-17,11:00,"Wald Andreas","KRS B2 006 aud"
".ORG308-1 for* ",2016-02-18,08:15,2016-02-18,10:00,"Amundsen Ivar, Bergdal Inge, Olsen Torunn S.","KRS I1 066 aud"
".MF-301-1/ORG-312-1 for*",2016-02-19,12:15,2016-02-19,15:00,"Johannesson Jokull","KRS B2 003 aud"
".ORG214-1 for minus uke 13*",2016-02-22,12:15,2016-02-22,14:00,"Hekneby Torbjørn","KRS H1 023 sem"
".ORG214-1 gr minus uke 13*",2016-02-22,14:15,2016-02-22,15:00,"","KRS 50 140, KRS 50 142, KRS 50 144, KRS 50 149, KRS 50 150"
".ORG312-1 for*",2016-02-24,08:15,2016-02-24,11:00,"Wald Andreas","KRS B2 006 aud"
".ORG308-1 for* ",2016-02-25,08:15,2016-02-25,10:00,"Amundsen Ivar, Bergdal Inge, Olsen Torunn S.","KRS I1 066 aud"
".MF-301-1/ORG-312-1 for*",2016-02-26,12:15,2016-02-26,15:00,"Johannesson Jokull","KRS B2 003 aud"
".ORG214-1 for minus uke 13*",2016-02-29,12:15,2016-02-29,14:00,"Hekneby Torbjørn","KRS H1 023 sem"
".ORG214-1 gr minus uke 13*",2016-02-29,14:15,2016-02-29,15:00,"","KRS 50 140, KRS 50 142, KRS 50 144, KRS 50 149, KRS 50 150"
".ORG312-1 for*",2016-03-02,08:15,2016-03-02,11:00,"Wald Andreas","KRS B2 006 aud"
".ORG308-1 for* ",2016-03-03,08:15,2016-03-03,10:00,"Amundsen Ivar, Bergdal Inge, Olsen Torunn S.","KRS I1 066 aud"
".MF-301-1/ORG-312-1 for*",2016-03-04,12:15,2016-03-04,15:00,"Johannesson Jokull","KRS B2 003 aud"
".ORG214-1 for minus uke 13*",2016-03-07,12:15,2016-03-07,14:00,"Hekneby Torbjørn","KRS H1 023 sem"
".ORG214-1 gr minus uke 13*",2016-03-07,14:15,2016-03-07,15:00,"","KRS 50 140, KRS 50 142, KRS 50 144, KRS 50 149, KRS 50 150"
".ORG312-1 for*",2016-03-09,08:15,2016-03-09,11:00,"Wald Andreas","KRS B2 006 aud"
".ORG308-1 for* ",2016-03-10,08:15,2016-03-10,10:00,"Amundsen Ivar, Bergdal Inge, Olsen Torunn S.","KRS I1 066 aud"
".MF-301-1/ORG-312-1 for*",2016-03-11,12:15,2016-03-11,15:00,"Johannesson Jokull","KRS B2 003 aud"
".ORG214-1 for minus uke 13*",2016-03-14,12:15,2016-03-14,14:00,"Hekneby Torbjørn","KRS H1 023 sem"
".ORG214-1 gr minus uke 13*",2016-03-14,14:15,2016-03-14,15:00,"","KRS 50 140, KRS 50 142, KRS 50 144, KRS 50 149, KRS 50 150"
".ORG308-1 for* ",2016-03-17,08:15,2016-03-17,10:00,"Amundsen Ivar, Bergdal Inge, Olsen Torunn S.","KRS I1 066 aud"
".MF-301-1/ORG-312-1 for*",2016-03-18,12:15,2016-03-18,15:00,"Johannesson Jokull","KRS B2 003 aud"
".ORG308-1 for* ",2016-03-31,08:15,2016-03-31,10:00,"Amundsen Ivar, Bergdal Inge, Olsen Torunn S.","KRS I1 066 aud"
".ORG214-1 for minus uke 13*",2016-04-04,12:15,2016-04-04,14:00,"Hekneby Torbjørn","KRS H1 023 sem"
".ORG214-1 gr minus uke 13*",2016-04-04,14:15,2016-04-04,15:00,"","KRS 50 140, KRS 50 142, KRS 50 144, KRS 50 149, KRS 50 150"
".ORG308-1 for* ",2016-04-07,08:15,2016-04-07,10:00,"Amundsen Ivar, Bergdal Inge, Olsen Torunn S.","KRS I1 066 aud"
".ORG214-1 for minus uke 13*",2016-04-11,12:15,2016-04-11,14:00,"Hekneby Torbjørn","KRS H1 023 sem"
".ORG214-1 gr minus uke 13*",2016-04-11,14:15,2016-04-11,15:00,"","KRS 50 140, KRS 50 142, KRS 50 144, KRS 50 149, KRS 50 150"
".ORG308-1 for* ",2016-04-14,08:15,2016-04-14,10:00,"Amundsen Ivar, Bergdal Inge, Olsen Torunn S.","KRS I1 066 aud"
".ORG214-1 for minus uke 13*",2016-04-18,12:15,2016-04-18,14:00,"Hekneby Torbjørn","KRS H1 023 sem"
".ORG214-1 gr minus uke 13*",2016-04-18,14:15,2016-04-18,15:00,"","KRS 50 140, KRS 50 142, KRS 50 144, KRS 50 149, KRS 50 150"
".ORG308-1 for* ",2016-04-21,08:15,2016-04-21,10:00,"Amundsen Ivar, Bergdal Inge, Olsen Torunn S.","KRS I1 066 aud"
".ORG214-1 for minus uke 13*",2016-04-25,12:15,2016-04-25,14:00,"Hekneby Torbjørn","KRS H1 023 sem"
".ORG214-1 gr minus uke 13*",2016-04-25,14:15,2016-04-25,15:00,"","KRS 50 140, KRS 50 142, KRS 50 144, KRS 50 149, KRS 50 150"
".ORG308-1 for* ",2016-04-28,08:15,2016-04-28,10:00,"Amundsen Ivar, Bergdal Inge, Olsen Torunn S.","KRS I1 066 aud"
".ORG214-1 for minus uke 13*",2016-05-02,12:15,2016-05-02,14:00,"Hekneby Torbjørn","KRS H1 023 sem"
".ORG214-1 gr minus uke 13*",2016-05-02,14:15,2016-05-02,15:00,"","KRS 50 140, KRS 50 142, KRS 50 144, KRS 50 149, KRS 50 150"
