Subject,Start Date,Start Time,End Date,End Time,Description,Location
"HSI411-G 18.01",2016-01-18,11:15,2016-01-18,15:00,"Svendal, Atle","GRM A3 027 sem VER"
"HSI411-G 19.01",2016-01-19,09:15,2016-01-19,12:00,"Garmann-Johnsen, Niels Frederik (copy)","GRM A3 027 sem VER"
"HSI412-G 19.01",2016-01-19,12:15,2016-01-19,16:00,"Dale, Jan Gunnar, Vatnøy, Torunn","GRM A3 027 sem VER"
"HSI411-G 20.01",2016-01-20,09:15,2016-01-20,12:00,"Garmann-Johnsen, Niels Frederik (copy)","GRM A2 046 sem*, GRM A2 047 sem*"
"HSI412-G 20.01 grom",2016-01-20,12:15,2016-01-20,15:00,"Dale, Jan Gunnar, Vatnøy, Torunn","GRM C3 090, GRM C3 092, GRM C3 101"
"HSI412-G 21.01 grom",2016-01-21,09:15,2016-01-21,12:00,"Dale, Jan Gunnar, Vatnøy, Torunn","GRM C3 090, GRM C3 092, GRM C3 101"
"HSI411-G 21.01",2016-01-21,12:15,2016-01-21,15:00,"Svendal, Atle","GRM A3 027 sem VER"
"HSI411-G 22.01",2016-01-22,09:15,2016-01-22,12:00,"Svendal, Atle","GRM A3 027 sem VER"
"HSI412-G 22.01",2016-01-22,13:15,2016-01-22,14:00,"Dale, Jan Gunnar","GRM A3 027 sem VER"
"HSI412-G 07.03",2016-03-07,11:15,2016-03-07,16:00,"Dale, Jan Gunnar, Vatnøy, Torunn","GRM A3 025 sem VER"
"HSI411-G 08.03-1",2016-03-08,09:15,2016-03-08,12:00,"Garmann-Johnsen, Niels Frederik (copy)","GRM A3 025 sem VER"
"HSI411-G 08.03-2",2016-03-08,12:15,2016-03-08,15:00,"Svendal, Atle","GRM A3 025 sem VER"
"HSI411-G 09.03-1",2016-03-09,09:15,2016-03-09,12:00,"Garmann-Johnsen, Niels Frederik (copy)","GRM A3 025 sem VER"
"HSI411-G 09.03-2",2016-03-09,12:15,2016-03-09,15:00,"Svendal, Atle","GRM A3 025 sem VER"
"HSI500-G 09.03 Masterorientering",2016-03-09,15:15,2016-03-09,17:00,"Dale, Jan Gunnar","GRM A3 025 sem VER"
"HSI411-G 10.03",2016-03-10,09:15,2016-03-10,12:00,"Garmann-Johnsen, Niels Frederik (copy)","GRM D3 053 sem"
"HSI412-G 10.03 grom",2016-03-10,12:15,2016-03-10,15:00,"Dale, Jan Gunnar, Vatnøy, Torunn","GRM C3 090, GRM C3 092, GRM C3 101"
"HSI411-G 11.03",2016-03-11,09:15,2016-03-11,13:00,"Garmann-Johnsen, Niels Frederik (copy)","GRM D3 053 sem"
"HSI412-G 11.03",2016-03-11,13:15,2016-03-11,14:00,"Dale, Jan Gunnar","GRM D3 053 sem"
