Subject,Start Date,Start Time,End Date,End Time,Description,Location
"*MA-302 fre",2016-01-08,10:15,2016-01-08,13:00,"Nossum Rolf Tomas","KRS J2 009 sem"
".ORG205/ORG209 for",2016-01-11,09:15,2016-01-11,11:00,"Aas Tor Helge","KRS B1 018 aud"
".ORG205/ORG209 gr",2016-01-11,11:15,2016-01-11,13:00,"","KRS B2 016, KRS B2 017, KRS B2 018, KRS B2 019, KRS B2 021, KRS B2 022, KRS B2 023, KRS B2 024, KRS B2 026, KRS B2 027, KRS B2 028, KRS B2 029, KRS B2 031, KRS B2 032, KRS B2 033, KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024, KRS B3 026, KRS B3 027, KRS B3 028, KRS B3 029"
".SE-105-1 forel",2016-01-12,12:15,2016-01-12,15:00,"Jacobsen Gorm","KRS B1 018 aud"
".SE-105-1 gr",2016-01-12,15:15,2016-01-12,17:00,"Jacobsen Gorm","KRS B2 016, KRS B2 017, KRS B2 018, KRS B2 019, KRS B2 021, KRS B2 022, KRS B2 023, KRS B2 024, KRS B2 026, KRS B2 027, KRS B2 028, KRS B2 029, KRS B2 031, KRS B2 032, KRS B2 033, KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024, KRS B3 026, KRS B3 027, KRS B3 028, KRS B3 029"
".MF-102-1 forel",2016-01-14,09:15,2016-01-14,11:00,"Johannesson Jokull","KRS B1 018 aud"
".MF-102-1 gr (math/econ)",2016-01-14,13:15,2016-01-14,14:00,"Johannesson Jokull","KRS JK 031, KRS JK 032, KRS JK 033, KRS J1 031, KRS J1 032, KRS JK 037"
"*MA-302 fre",2016-01-15,10:15,2016-01-15,13:00,"Nossum Rolf Tomas","KRS J2 009 sem"
".ORG205/ORG209 for",2016-01-18,09:15,2016-01-18,11:00,"Aas Tor Helge","KRS B1 018 aud"
".ORG205/ORG209 gr",2016-01-18,11:15,2016-01-18,13:00,"","KRS B2 016, KRS B2 017, KRS B2 018, KRS B2 019, KRS B2 021, KRS B2 022, KRS B2 023, KRS B2 024, KRS B2 026, KRS B2 027, KRS B2 028, KRS B2 029, KRS B2 031, KRS B2 032, KRS B2 033, KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024, KRS B3 026, KRS B3 027, KRS B3 028, KRS B3 029"
"*MA-302 man",2016-01-18,14:15,2016-01-18,16:00,"Nossum Rolf Tomas","KRS J2 009 sem"
".SE-105-1 forel",2016-01-19,12:15,2016-01-19,15:00,"Jacobsen Gorm","KRS B1 018 aud"
".SE-105-1 gr",2016-01-19,15:15,2016-01-19,17:00,"Jacobsen Gorm","KRS B2 016, KRS B2 017, KRS B2 018, KRS B2 019, KRS B2 021, KRS B2 022, KRS B2 023, KRS B2 024, KRS B2 026, KRS B2 027, KRS B2 028, KRS B2 029, KRS B2 031, KRS B2 032, KRS B2 033, KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024, KRS B3 026, KRS B3 027, KRS B3 028, KRS B3 029"
".MF-102-1 forel",2016-01-21,09:15,2016-01-21,11:00,"Johannesson Jokull","KRS B1 018 aud"
".MF-102-1 gr (math/econ)",2016-01-21,13:15,2016-01-21,14:00,"Johannesson Jokull","KRS JK 031, KRS JK 032, KRS JK 033, KRS J1 031, KRS J1 032, KRS JK 037"
".ORG205/ORG209 for",2016-01-25,09:15,2016-01-25,11:00,"Aas Tor Helge","KRS B1 018 aud"
".ORG205/ORG209 gr",2016-01-25,11:15,2016-01-25,13:00,"","KRS B2 016, KRS B2 017, KRS B2 018, KRS B2 019, KRS B2 021, KRS B2 022, KRS B2 023, KRS B2 024, KRS B2 026, KRS B2 027, KRS B2 028, KRS B2 029, KRS B2 031, KRS B2 032, KRS B2 033, KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024, KRS B3 026, KRS B3 027, KRS B3 028, KRS B3 029"
".SE-105-1 forel 26. jan kl.16:00-19:00",2016-01-26,16:15,2016-01-26,19:00,"Jacobsen Gorm","KRS B1 018 aud"
".MF-102-1 forel",2016-01-28,09:15,2016-01-28,11:00,"Johannesson Jokull","KRS B1 018 aud"
".MF-102-1 gr (math/econ)",2016-01-28,13:15,2016-01-28,14:00,"Johannesson Jokull","KRS JK 031, KRS JK 032, KRS JK 033, KRS J1 031, KRS J1 032, KRS JK 037"
".ORG205/ORG209 for",2016-02-01,09:15,2016-02-01,11:00,"Aas Tor Helge","KRS B1 018 aud"
".ORG205/ORG209 gr",2016-02-01,11:15,2016-02-01,13:00,"","KRS B2 016, KRS B2 017, KRS B2 018, KRS B2 019, KRS B2 021, KRS B2 022, KRS B2 023, KRS B2 024, KRS B2 026, KRS B2 027, KRS B2 028, KRS B2 029, KRS B2 031, KRS B2 032, KRS B2 033, KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024, KRS B3 026, KRS B3 027, KRS B3 028, KRS B3 029"
".SE-105-1 forel",2016-02-02,12:15,2016-02-02,15:00,"Jacobsen Gorm","KRS B1 018 aud"
".SE-105-1 gr",2016-02-02,15:15,2016-02-02,17:00,"Jacobsen Gorm","KRS B2 016, KRS B2 017, KRS B2 018, KRS B2 019, KRS B2 021, KRS B2 022, KRS B2 023, KRS B2 024, KRS B2 026, KRS B2 027, KRS B2 028, KRS B2 029, KRS B2 031, KRS B2 032, KRS B2 033, KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024, KRS B3 026, KRS B3 027, KRS B3 028, KRS B3 029"
".MF-102-1 forel",2016-02-04,09:15,2016-02-04,11:00,"Johannesson Jokull","KRS B1 018 aud"
".MF-102-1 gr (math/econ)",2016-02-04,13:15,2016-02-04,14:00,"Johannesson Jokull","KRS JK 031, KRS JK 032, KRS JK 033, KRS J1 031, KRS J1 032, KRS JK 037"
".ORG205/ORG209 for",2016-02-08,09:15,2016-02-08,11:00,"Aas Tor Helge","KRS B1 018 aud"
