Subject,Start Date,Start Time,End Date,End Time,Description,Location
".BE-210-1 forel",2016-01-08,10:15,2016-01-08,12:00,"Egge Steinar","KRS B1 018 aud"
".BE-210-1 gr",2016-01-08,12:15,2016-01-08,15:00,"Egge Steinar","KRS B2 016, KRS B2 017, KRS B2 018, KRS B2 019, KRS B2 021, KRS B2 022, KRS B2 023, KRS B2 024, KRS B2 026, KRS B2 027, KRS B2 028, KRS B2 029, KRS B2 031, KRS B2 032, KRS B2 033, KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024, KRS B3 026, KRS B3 027, KRS B3 028, KRS B3 029"
".ORG209/ORG205 forel",2016-01-11,09:15,2016-01-11,11:00,"Aas Tor Helge","KRS B1 018 aud"
".ORG209/ORG205 gr",2016-01-11,11:15,2016-01-11,13:00,"","KRS B2 016, KRS B2 017, KRS B2 018, KRS B2 019, KRS B2 021, KRS B2 022, KRS B2 023, KRS B2 024, KRS B2 026, KRS B2 027, KRS B2 028, KRS B2 029, KRS B2 031, KRS B2 032, KRS B2 033, KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024, KRS B3 026, KRS B3 027, KRS B3 028, KRS B3 029"
".ME-108 for tirsd (minus uke 4)",2016-01-12,10:15,2016-01-12,12:00,"Andersen Otto","KRS B1 018 aud"
".MF-102-1 forel",2016-01-14,09:15,2016-01-14,11:00,"Johannesson Jokull","KRS B1 018 aud"
".ME-108 forel torsd (minus uke 18)",2016-01-14,11:15,2016-01-14,13:00,"Andersen Otto","KRS B1 018 aud"
".MF-102-1 gr (math/econ)",2016-01-14,13:15,2016-01-14,14:00,"Johannesson Jokull","KRS JK 031, KRS JK 032, KRS JK 033, KRS J1 031, KRS J1 032, KRS JK 037"
".BE-210-1 forel",2016-01-15,10:15,2016-01-15,12:00,"Egge Steinar","KRS B1 018 aud"
".BE-210-1 gr",2016-01-15,12:15,2016-01-15,15:00,"Egge Steinar","KRS B2 016, KRS B2 017, KRS B2 018, KRS B2 019, KRS B2 021, KRS B2 022, KRS B2 023, KRS B2 024, KRS B2 026, KRS B2 027, KRS B2 028, KRS B2 029, KRS B2 031, KRS B2 032, KRS B2 033, KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024, KRS B3 026, KRS B3 027, KRS B3 028, KRS B3 029"
".ORG209/ORG205 forel",2016-01-18,09:15,2016-01-18,11:00,"Aas Tor Helge","KRS B1 018 aud"
