Subject,Start Date,Start Time,End Date,End Time,Description,Location
"*MA-166 forel man",2016-01-11,10:15,2016-01-11,12:00,"Signahl Mikael Nils","KRS J1 064 aud"
"*MA-166 gr",2016-01-11,12:15,2016-01-11,15:00,"Signahl Mikael Nils","KRS 15 101, KRS 15 102, KRS 15 103, KRS 15 104, KRS 15 105, KRS 15 106, KRS 15 107, KRS 15 108, KRS 15 109, KRS 15 114, KRS 15 115, KRS 15 116"
"*MA-216 forel tirs",2016-01-12,10:15,2016-01-12,12:00,"Abrahamsen Trond Arnold","KRS J1 064 aud"
"*MA-216 gr",2016-01-12,12:15,2016-01-12,14:00,"Abrahamsen Trond Arnold","KRS 15 101, KRS 15 102, KRS 15 103, KRS 15 104, KRS 15 105, KRS 15 106, KRS 15 107, KRS 15 108, KRS 15 109, KRS 15 114"
"*MA-216 forel ons",2016-01-13,10:15,2016-01-13,12:00,"Abrahamsen Trond Arnold","KRS J1 064 aud"
"*MA-166 forel ons",2016-01-13,12:15,2016-01-13,14:00,"Signahl Mikael Nils","KRS J1 064 aud"
"*MA-216 forel tors",2016-01-14,10:15,2016-01-14,12:00,"Abrahamsen Trond Arnold","KRS J1 064 aud"
"*MA-166 forel tors",2016-01-14,12:15,2016-01-14,14:00,"Signahl Mikael Nils","KRS J1 064 aud"
"*MA-166 forel man",2016-01-18,10:15,2016-01-18,12:00,"Signahl Mikael Nils","KRS J1 064 aud"
"*MA-166 gr",2016-01-18,12:15,2016-01-18,15:00,"Signahl Mikael Nils","KRS 15 101, KRS 15 102, KRS 15 103, KRS 15 104, KRS 15 105, KRS 15 106, KRS 15 107, KRS 15 108, KRS 15 109, KRS 15 114, KRS 15 115, KRS 15 116"
"*MA-216 forel tirs",2016-01-19,10:15,2016-01-19,12:00,"Abrahamsen Trond Arnold","KRS J1 064 aud"
"*MA-216 gr",2016-01-19,12:15,2016-01-19,14:00,"Abrahamsen Trond Arnold","KRS 15 101, KRS 15 102, KRS 15 103, KRS 15 104, KRS 15 105, KRS 15 106, KRS 15 107, KRS 15 108, KRS 15 109, KRS 15 114"
"*MA-216 forel ons",2016-01-20,10:15,2016-01-20,12:00,"Abrahamsen Trond Arnold","KRS J1 064 aud"
"*MA-166 forel ons",2016-01-20,12:15,2016-01-20,14:00,"Signahl Mikael Nils","KRS J1 064 aud"
"*MA-216 forel tors",2016-01-21,10:15,2016-01-21,12:00,"Abrahamsen Trond Arnold","KRS J1 064 aud"
"*MA-166 forel tors",2016-01-21,12:15,2016-01-21,14:00,"Signahl Mikael Nils","KRS J1 064 aud"
"*MA-166 forel man",2016-01-25,10:15,2016-01-25,12:00,"Signahl Mikael Nils","KRS J1 064 aud"
"*MA-166 gr",2016-01-25,12:15,2016-01-25,15:00,"Signahl Mikael Nils","KRS 15 101, KRS 15 102, KRS 15 103, KRS 15 104, KRS 15 105, KRS 15 106, KRS 15 107, KRS 15 108, KRS 15 109, KRS 15 114, KRS 15 115, KRS 15 116"
"*MA-216 forel tirs",2016-01-26,10:15,2016-01-26,12:00,"Abrahamsen Trond Arnold","KRS J1 064 aud"
"*MA-216 gr",2016-01-26,12:15,2016-01-26,14:00,"Abrahamsen Trond Arnold","KRS 15 101, KRS 15 102, KRS 15 103, KRS 15 104, KRS 15 105, KRS 15 106, KRS 15 107, KRS 15 108, KRS 15 109, KRS 15 114"
"*MA-216 forel ons",2016-01-27,10:15,2016-01-27,12:00,"Abrahamsen Trond Arnold","KRS J1 064 aud"
"*MA-166 forel ons",2016-01-27,12:15,2016-01-27,14:00,"Signahl Mikael Nils","KRS J1 064 aud"
"*MA-216 forel tors",2016-01-28,10:15,2016-01-28,12:00,"Abrahamsen Trond Arnold","KRS J1 064 aud"
"*MA-166 forel tors",2016-01-28,12:15,2016-01-28,14:00,"Signahl Mikael Nils","KRS J1 064 aud"
"*MA-166 forel man",2016-02-01,10:15,2016-02-01,12:00,"Signahl Mikael Nils","KRS J1 064 aud"
