Subject,Start Date,Start Time,End Date,End Time,Description,Location
"'MAS409/Forel/01",2016-01-06,08:15,2016-01-06,14:00,"Choux, Martin","GRM A2 025 sem"
"'MAS410-G/Forel/01",2016-01-07,08:15,2016-01-07,12:00,"Andersen, Torben Ole","GRM A2 021 sem"
"'MAS410-G/Lab/01",2016-01-07,12:15,2016-01-07,16:00,"Andersen, Torben Ole","GRM A2 021 sem, GRM D2 024 lab M/ELK"
"'MAS411/Forel/Øv/01",2016-01-11,08:15,2016-01-11,14:00,"Hovland Geir","GRM D2 024 lab M/ELK"
"'MAS414/Forel/01",2016-01-12,09:15,2016-01-12,12:00,"Ebbesen, Morten","GRM D3 053 sem"
"'MAS414/Øv/01 ",2016-01-12,12:15,2016-01-12,15:00,"Ebbesen, Morten","GRM D2 024 lab M/ELK"
"'MAS409/Forel/01",2016-01-13,08:15,2016-01-13,14:00,"Choux, Martin","GRM A2 025 sem"
"'MAS410-G/Forel/01",2016-01-14,08:15,2016-01-14,12:00,"Andersen, Torben Ole","GRM A2 021 sem"
"'MAS410-G/Lab/01",2016-01-14,12:15,2016-01-14,16:00,"Andersen, Torben Ole","GRM A2 021 sem, GRM D2 024 lab M/ELK"
"'MAS411/Forel/Øv/01",2016-01-18,08:15,2016-01-18,14:00,"Hovland Geir","GRM D2 024 lab M/ELK"
"'MAS414/Forel/01",2016-01-19,09:15,2016-01-19,12:00,"Ebbesen, Morten","GRM D3 053 sem"
"'MAS414/Øv/01 ",2016-01-19,12:15,2016-01-19,15:00,"Ebbesen, Morten","GRM D2 024 lab M/ELK"
"'MAS409/Forel/01",2016-01-20,08:15,2016-01-20,14:00,"Choux, Martin","GRM A2 025 sem"
"'MAS410-G/Forel/01",2016-01-21,08:15,2016-01-21,12:00,"Andersen, Torben Ole","GRM A2 021 sem"
"'MAS410-G/Lab/01",2016-01-21,12:15,2016-01-21,16:00,"Andersen, Torben Ole","GRM A2 021 sem, GRM D2 024 lab M/ELK"
"'MAS411/Forel/Øv/01",2016-01-25,08:15,2016-01-25,14:00,"Hovland Geir","GRM D2 024 lab M/ELK"
"'MAS414/Forel/01",2016-01-26,09:15,2016-01-26,12:00,"Ebbesen, Morten","GRM D3 053 sem"
"'MAS414/Øv/01 ",2016-01-26,12:15,2016-01-26,15:00,"Ebbesen, Morten","GRM D2 024 lab M/ELK"
"'MAS409/Forel/01",2016-01-27,08:15,2016-01-27,14:00,"Choux, Martin","GRM A2 025 sem"
"'MAS410-G/Forel/01",2016-01-28,08:15,2016-01-28,12:00,"Andersen, Torben Ole","GRM A2 021 sem"
"'MAS410-G/Lab/01",2016-01-28,12:15,2016-01-28,16:00,"Andersen, Torben Ole","GRM A2 021 sem, GRM D2 024 lab M/ELK"
"'MAS411/Forel/Øv/01",2016-02-01,08:15,2016-02-01,14:00,"Hovland Geir","GRM D2 024 lab M/ELK"
"'MAS414/Forel/01",2016-02-02,09:15,2016-02-02,12:00,"Ebbesen, Morten","GRM D3 053 sem"
"'MAS414/Øv/01 ",2016-02-02,12:15,2016-02-02,15:00,"Ebbesen, Morten","GRM D2 024 lab M/ELK"
"'MAS409/Forel/01",2016-02-03,08:15,2016-02-03,14:00,"Choux, Martin","GRM A2 025 sem"
"'MAS410-G/Forel/01",2016-02-04,08:15,2016-02-04,12:00,"Andersen, Torben Ole","GRM A2 021 sem"
"'MAS410-G/Lab/01",2016-02-04,12:15,2016-02-04,16:00,"Andersen, Torben Ole","GRM A2 021 sem, GRM D2 024 lab M/ELK"
"'MAS411/Forel/Øv/01",2016-02-08,08:15,2016-02-08,14:00,"Hovland Geir","GRM D2 024 lab M/ELK"
"'MAS414/Forel/01",2016-02-09,09:15,2016-02-09,12:00,"Ebbesen, Morten","GRM D3 053 sem"
"'MAS414/Øv/01 ",2016-02-09,12:15,2016-02-09,15:00,"Ebbesen, Morten","GRM D2 024 lab M/ELK"
"'MAS409/Forel/01",2016-02-10,08:15,2016-02-10,14:00,"Choux, Martin","GRM A2 025 sem"
"'MAS410-G/Forel/01",2016-02-11,08:15,2016-02-11,12:00,"Andersen, Torben Ole","GRM A2 021 sem"
"'MAS410-G/Lab/01",2016-02-11,12:15,2016-02-11,16:00,"Andersen, Torben Ole","GRM A2 021 sem, GRM D2 024 lab M/ELK"
"'MAS411/Forel/Øv/01",2016-02-15,08:15,2016-02-15,14:00,"Hovland Geir","GRM D2 024 lab M/ELK"
"'MAS414/Forel/01",2016-02-16,09:15,2016-02-16,12:00,"Ebbesen, Morten","GRM D3 053 sem"
"'MAS414/Øv/01 ",2016-02-16,12:15,2016-02-16,15:00,"Ebbesen, Morten","GRM D2 024 lab M/ELK"
"'MAS410-G/Forel/01",2016-02-18,08:15,2016-02-18,12:00,"Andersen, Torben Ole","GRM A2 021 sem"
"'MAS410-G/Lab/01",2016-02-18,12:15,2016-02-18,16:00,"Andersen, Torben Ole","GRM A2 021 sem, GRM D2 024 lab M/ELK"
"'MAS411/Forel/Øv/01",2016-02-22,08:15,2016-02-22,14:00,"Hovland Geir","GRM D2 024 lab M/ELK"
"'MAS414/Øv/01 uke 8-18 kl. 09-12",2016-02-23,09:15,2016-02-23,12:00,"Ebbesen, Morten","GRM D2 024 lab M/ELK"
"'MAS414/Forel/01",2016-02-23,09:15,2016-02-23,12:00,"Ebbesen, Morten","GRM D3 053 sem"
"'MAS414/Øv/01 ",2016-02-23,12:15,2016-02-23,15:00,"Ebbesen, Morten","GRM D2 024 lab M/ELK"
"'MAS410-G/Forel/01",2016-02-25,08:15,2016-02-25,12:00,"Andersen, Torben Ole","GRM A2 021 sem"
"'MAS410-G/Lab/01",2016-02-25,12:15,2016-02-25,16:00,"Andersen, Torben Ole","GRM A2 021 sem, GRM D2 024 lab M/ELK"
"'MAS411/Forel/Øv/01",2016-02-29,08:15,2016-02-29,14:00,"Hovland Geir","GRM D2 024 lab M/ELK"
"'MAS414/Øv/01 uke 8-18 kl. 09-12",2016-03-01,09:15,2016-03-01,12:00,"Ebbesen, Morten","GRM D2 024 lab M/ELK"
"'MAS414/Forel/01",2016-03-01,09:15,2016-03-01,12:00,"Ebbesen, Morten","GRM D3 053 sem"
"'MAS414/Øv/01 ",2016-03-01,12:15,2016-03-01,15:00,"Ebbesen, Morten","GRM D2 024 lab M/ELK"
"'MAS409/Forel/01",2016-03-02,08:15,2016-03-02,14:00,"Choux, Martin","GRM A2 025 sem"
"'MAS411/Forel/Øv/01",2016-03-07,08:15,2016-03-07,14:00,"Hovland Geir","GRM D2 024 lab M/ELK"
"'MAS414/Øv/01 uke 8-18 kl. 09-12",2016-03-08,09:15,2016-03-08,12:00,"Ebbesen, Morten","GRM D2 024 lab M/ELK"
"'MAS414/Forel/01",2016-03-08,09:15,2016-03-08,12:00,"Ebbesen, Morten","GRM D3 053 sem"
"'MAS414/Øv/01 ",2016-03-08,12:15,2016-03-08,15:00,"Ebbesen, Morten","GRM D2 024 lab M/ELK"
"'MAS409/Forel/01",2016-03-09,08:15,2016-03-09,14:00,"Choux, Martin","GRM A2 025 sem"
"'MAS411/Forel/Øv/01",2016-03-14,08:15,2016-03-14,14:00,"Hovland Geir","GRM D2 024 lab M/ELK"
"'MAS414/Øv/01 uke 8-18 kl. 09-12",2016-03-15,09:15,2016-03-15,12:00,"Ebbesen, Morten","GRM D2 024 lab M/ELK"
"'MAS414/Forel/01",2016-03-15,09:15,2016-03-15,12:00,"Ebbesen, Morten","GRM D3 053 sem"
"'MAS414/Øv/01 ",2016-03-15,12:15,2016-03-15,15:00,"Ebbesen, Morten","GRM D2 024 lab M/ELK"
"'MAS409/Forel/01",2016-03-16,08:15,2016-03-16,14:00,"Choux, Martin","GRM A2 025 sem"
"'MAS414/Øv/01 uke 8-18 kl. 09-12",2016-03-29,09:15,2016-03-29,12:00,"Ebbesen, Morten","GRM D2 024 lab M/ELK"
"'MAS414/Forel/01",2016-03-29,09:15,2016-03-29,12:00,"Ebbesen, Morten","GRM D3 053 sem"
"'MAS414/Øv/01 ",2016-03-29,12:15,2016-03-29,15:00,"Ebbesen, Morten","GRM D2 024 lab M/ELK"
"'MAS409/Forel/01",2016-03-30,08:15,2016-03-30,14:00,"Choux, Martin","GRM A2 025 sem"
"'MAS411/Forel/Øv/01",2016-04-04,08:15,2016-04-04,14:00,"Hovland Geir","GRM D2 024 lab M/ELK"
"'MAS414/Øv/01 uke 8-18 kl. 09-12",2016-04-05,09:15,2016-04-05,12:00,"Ebbesen, Morten","GRM D2 024 lab M/ELK"
"'MAS414/Forel/01",2016-04-05,09:15,2016-04-05,12:00,"Ebbesen, Morten","GRM D3 053 sem"
"'MAS414/Øv/01 ",2016-04-05,12:15,2016-04-05,15:00,"Ebbesen, Morten","GRM D2 024 lab M/ELK"
"'MAS409/Forel/01",2016-04-06,08:15,2016-04-06,14:00,"Choux, Martin","GRM A2 025 sem"
"'MAS411/Forel/Øv/01",2016-04-11,08:15,2016-04-11,14:00,"Hovland Geir","GRM D2 024 lab M/ELK"
"'MAS414/Øv/01 uke 8-18 kl. 09-12",2016-04-12,09:15,2016-04-12,12:00,"Ebbesen, Morten","GRM D2 024 lab M/ELK"
"'MAS414/Forel/01",2016-04-12,09:15,2016-04-12,12:00,"Ebbesen, Morten","GRM D3 053 sem"
"'MAS414/Øv/01 ",2016-04-12,12:15,2016-04-12,15:00,"Ebbesen, Morten","GRM D2 024 lab M/ELK"
"'MAS409/Forel/01",2016-04-13,08:15,2016-04-13,14:00,"Choux, Martin","GRM A2 025 sem"
"'MAS411/Forel/Øv/01",2016-04-18,08:15,2016-04-18,14:00,"Hovland Geir","GRM D2 024 lab M/ELK"
"'MAS414/Øv/01 uke 8-18 kl. 09-12",2016-04-19,09:15,2016-04-19,12:00,"Ebbesen, Morten","GRM D2 024 lab M/ELK"
"'MAS414/Forel/01",2016-04-19,09:15,2016-04-19,12:00,"Ebbesen, Morten","GRM D3 053 sem"
"'MAS414/Øv/01 ",2016-04-19,12:15,2016-04-19,15:00,"Ebbesen, Morten","GRM D2 024 lab M/ELK"
"'MAS409/Forel/01",2016-04-20,08:15,2016-04-20,14:00,"Choux, Martin","GRM A2 025 sem"
"'MAS411/Forel/Øv/01",2016-04-25,08:15,2016-04-25,14:00,"Hovland Geir","GRM D2 024 lab M/ELK"
"'MAS414/Øv/01 uke 8-18 kl. 09-12",2016-04-26,09:15,2016-04-26,12:00,"Ebbesen, Morten","GRM D2 024 lab M/ELK"
"'MAS414/Forel/01",2016-04-26,09:15,2016-04-26,12:00,"Ebbesen, Morten","GRM D3 053 sem"
"'MAS414/Øv/01 ",2016-04-26,12:15,2016-04-26,15:00,"Ebbesen, Morten","GRM D2 024 lab M/ELK"
"'MAS411/Forel/Øv/01",2016-05-02,08:15,2016-05-02,14:00,"Hovland Geir","GRM D2 024 lab M/ELK"
"'MAS414/Øv/01 uke 8-18 kl. 09-12",2016-05-03,09:15,2016-05-03,12:00,"Ebbesen, Morten","GRM D2 024 lab M/ELK"
"'MAS414/Forel/01",2016-05-03,09:15,2016-05-03,12:00,"Ebbesen, Morten","GRM D3 053 sem"
"'MAS414/Øv/01 ",2016-05-03,12:15,2016-05-03,15:00,"Ebbesen, Morten","GRM D2 024 lab M/ELK"
