Subject,Start Date,Start Time,End Date,End Time,Description,Location
"'DAT219/Forel/02 uke 1-3",2016-01-06,12:15,2016-01-06,14:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Lab/02",2016-01-06,14:15,2016-01-06,16:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Lab/01",2016-01-12,09:15,2016-01-12,10:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Forel/01",2016-01-12,10:15,2016-01-12,12:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*, GRM C2 040 aud"
"'DAT219/Forel/02 uke 1-3",2016-01-13,12:15,2016-01-13,14:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Lab/02",2016-01-13,14:15,2016-01-13,16:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'MM-401/Lab/01 uke 2-7. 11-20",2016-01-14,10:15,2016-01-14,16:00,"Flaten Edvin (tl), Konnestad Morgan, Nordengen Jostein","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Lab/01",2016-01-19,09:15,2016-01-19,10:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Forel/01",2016-01-19,10:15,2016-01-19,12:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*, GRM C2 040 aud"
"'DAT219/Forel/02 uke 1-3",2016-01-20,12:15,2016-01-20,14:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Lab/02",2016-01-20,14:15,2016-01-20,16:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'MM-401/Lab/01 uke 2-7. 11-20",2016-01-21,10:15,2016-01-21,16:00,"Flaten Edvin (tl), Konnestad Morgan, Nordengen Jostein","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Lab/01",2016-01-26,09:15,2016-01-26,10:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Forel/01",2016-01-26,10:15,2016-01-26,12:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*, GRM C2 040 aud"
"'DAT219/Forel/02 uke 4-18",2016-01-27,12:15,2016-01-27,14:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*, GRM C2 042 aud"
"'DAT219/Lab/02",2016-01-27,14:15,2016-01-27,16:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'MM-401/Lab/01 uke 2-7. 11-20",2016-01-28,10:15,2016-01-28,16:00,"Flaten Edvin (tl), Konnestad Morgan, Nordengen Jostein","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Lab/01",2016-02-02,09:15,2016-02-02,10:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Forel/01",2016-02-02,10:15,2016-02-02,12:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*, GRM C2 040 aud"
"'DAT219/Forel/02 uke 4-18",2016-02-03,12:15,2016-02-03,14:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*, GRM C2 042 aud"
"'DAT219/Lab/02",2016-02-03,14:15,2016-02-03,16:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'MM-401/Lab/01 uke 2-7. 11-20",2016-02-04,10:15,2016-02-04,16:00,"Flaten Edvin (tl), Konnestad Morgan, Nordengen Jostein","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Workshop 08.02 ",2016-02-08,09:15,2016-02-08,12:00,"Auby Christian","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Lab/01",2016-02-09,09:15,2016-02-09,10:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Forel/01",2016-02-09,10:15,2016-02-09,12:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*, GRM C2 040 aud"
"'DAT219/Forel/02 uke 4-18",2016-02-10,12:15,2016-02-10,14:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*, GRM C2 042 aud"
"'DAT219/Lab/02",2016-02-10,14:15,2016-02-10,16:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'MM-401/Lab/01 uke 2-7. 11-20",2016-02-11,10:15,2016-02-11,16:00,"Flaten Edvin (tl), Konnestad Morgan, Nordengen Jostein","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Workshop 15.02",2016-02-15,09:15,2016-02-15,12:00,"Auby Christian","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Lab/01",2016-02-16,09:15,2016-02-16,10:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Forel/01",2016-02-16,10:15,2016-02-16,12:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*, GRM C2 040 aud"
"'DAT219/Forel/02 uke 4-18",2016-02-17,12:15,2016-02-17,14:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*, GRM C2 042 aud"
"'DAT219/Lab/02",2016-02-17,14:15,2016-02-17,16:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'MM-401/Lab/01 uke 2-7. 11-20",2016-02-18,10:15,2016-02-18,16:00,"Flaten Edvin (tl), Konnestad Morgan, Nordengen Jostein","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Workshop 22.02",2016-02-22,09:15,2016-02-22,12:00,"Auby Christian","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Lab/01",2016-02-23,09:15,2016-02-23,10:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Forel/01",2016-02-23,10:15,2016-02-23,12:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*, GRM C2 040 aud"
"'DAT219/Forel/02 uke 4-18",2016-02-24,12:15,2016-02-24,14:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*, GRM C2 042 aud"
"'DAT219/Lab/02",2016-02-24,14:15,2016-02-24,16:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'MM-401/Lab/01 uke 8-10",2016-02-25,12:15,2016-02-25,16:00,"Flaten Edvin (tl), Konnestad Morgan, Nordengen Jostein","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Lab/01",2016-03-01,09:15,2016-03-01,10:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Forel/01",2016-03-01,10:15,2016-03-01,12:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*, GRM C2 040 aud"
"'DAT219/Forel/02 uke 4-18",2016-03-02,12:15,2016-03-02,14:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*, GRM C2 042 aud"
"'DAT219/Lab/02",2016-03-02,14:15,2016-03-02,16:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'MM-401/Lab/01 uke 8-10",2016-03-03,12:15,2016-03-03,16:00,"Flaten Edvin (tl), Konnestad Morgan, Nordengen Jostein","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Lab/01",2016-03-08,09:15,2016-03-08,10:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Forel/01",2016-03-08,10:15,2016-03-08,12:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*, GRM C2 040 aud"
"'DAT219/Forel/02 uke 4-18",2016-03-09,12:15,2016-03-09,14:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*, GRM C2 042 aud"
"'DAT219/Lab/02",2016-03-09,14:15,2016-03-09,16:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'MM-401/Lab/01 uke 10 kl. 10-12",2016-03-10,10:15,2016-03-10,12:00,"Flaten Edvin (tl), Konnestad Morgan, Nordengen Jostein","GRM A2 027 sem"
"'MM-401/Lab/01 uke 8-10",2016-03-10,12:15,2016-03-10,16:00,"Flaten Edvin (tl), Konnestad Morgan, Nordengen Jostein","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Lab/01",2016-03-15,09:15,2016-03-15,10:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Forel/01",2016-03-15,10:15,2016-03-15,12:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*, GRM C2 040 aud"
"'DAT219/Forel/02 uke 4-18",2016-03-16,12:15,2016-03-16,14:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*, GRM C2 042 aud"
"'DAT219/Lab/02",2016-03-16,14:15,2016-03-16,16:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'MM-401/Lab/01 uke 2-7. 11-20",2016-03-17,10:15,2016-03-17,16:00,"Flaten Edvin (tl), Konnestad Morgan, Nordengen Jostein","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Lab/01",2016-03-29,09:15,2016-03-29,10:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Forel/01",2016-03-29,10:15,2016-03-29,12:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*, GRM C2 040 aud"
"'DAT219/Forel/02 uke 4-18",2016-03-30,12:15,2016-03-30,14:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*, GRM C2 042 aud"
"'DAT219/Lab/02",2016-03-30,14:15,2016-03-30,16:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'MM-401/Lab/01 uke 2-7. 11-20",2016-03-31,10:15,2016-03-31,16:00,"Flaten Edvin (tl), Konnestad Morgan, Nordengen Jostein","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Lab/01",2016-04-05,09:15,2016-04-05,10:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Forel/01",2016-04-05,10:15,2016-04-05,12:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*, GRM C2 040 aud"
"'DAT219/Forel/02 uke 4-18",2016-04-06,12:15,2016-04-06,14:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*, GRM C2 042 aud"
"'DAT219/Lab/02",2016-04-06,14:15,2016-04-06,16:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'MM-401/Lab/01 uke 2-7. 11-20",2016-04-07,10:15,2016-04-07,16:00,"Flaten Edvin (tl), Konnestad Morgan, Nordengen Jostein","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Lab/01",2016-04-12,09:15,2016-04-12,10:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Forel/01",2016-04-12,10:15,2016-04-12,12:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*, GRM C2 040 aud"
"'DAT219/Forel/02 uke 4-18",2016-04-13,12:15,2016-04-13,14:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*, GRM C2 042 aud"
"'DAT219/Lab/02",2016-04-13,14:15,2016-04-13,16:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'MM-401/Lab/01 uke 2-7. 11-20",2016-04-14,10:15,2016-04-14,16:00,"Flaten Edvin (tl), Konnestad Morgan, Nordengen Jostein","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Lab/01",2016-04-19,09:15,2016-04-19,10:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Forel/01",2016-04-19,10:15,2016-04-19,12:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*, GRM C2 040 aud"
"'DAT219/Forel/02 uke 4-18",2016-04-20,12:15,2016-04-20,14:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*, GRM C2 042 aud"
"'DAT219/Lab/02",2016-04-20,14:15,2016-04-20,16:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'MM-401/Lab/01 uke 2-7. 11-20",2016-04-21,10:15,2016-04-21,16:00,"Flaten Edvin (tl), Konnestad Morgan, Nordengen Jostein","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Lab/01",2016-04-26,09:15,2016-04-26,10:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Forel/01",2016-04-26,10:15,2016-04-26,12:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*, GRM C2 040 aud"
"'DAT219/Forel/02 uke 4-18",2016-04-27,12:15,2016-04-27,14:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*, GRM C2 042 aud"
"'DAT219/Lab/02",2016-04-27,14:15,2016-04-27,16:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'MM-401/Lab/01 uke 2-7. 11-20",2016-04-28,10:15,2016-04-28,16:00,"Flaten Edvin (tl), Konnestad Morgan, Nordengen Jostein","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Lab/01",2016-05-03,09:15,2016-05-03,10:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'DAT219/Forel/01",2016-05-03,10:15,2016-05-03,12:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*, GRM C2 040 aud"
"'DAT219/Forel/02 uke 4-18",2016-05-04,12:15,2016-05-04,14:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*, GRM C2 042 aud"
"'DAT219/Lab/02",2016-05-04,14:15,2016-05-04,16:00,"Auby Christian, Brinch Sigurd","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'MM-401/Lab/01 uke 2-7. 11-20",2016-05-05,10:15,2016-05-05,16:00,"Flaten Edvin (tl), Konnestad Morgan, Nordengen Jostein","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'MM-401/Lab/01 uke 2-7. 11-20",2016-05-12,10:15,2016-05-12,16:00,"Flaten Edvin (tl), Konnestad Morgan, Nordengen Jostein","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
"'MM-401/Lab/01 uke 2-7. 11-20",2016-05-19,10:15,2016-05-19,16:00,"Flaten Edvin (tl), Konnestad Morgan, Nordengen Jostein","GRM A3 021 pclab M/D*, GRM A3 022 pclab M/D*"
