Subject,Start Date,Start Time,End Date,End Time,Description,Location
"MU-401 ons",2016-01-13,09:15,2016-01-13,15:00,"Hofseth Bendik, Nordgård Daniel","KRS 48 007 B sem"
"MU-402 tors",2016-01-14,09:15,2016-01-14,15:00,"Hofseth Bendik, Nordgård Daniel","KRS 46 134 sem"
"MU-401 ons",2016-01-20,09:15,2016-01-20,15:00,"Hofseth Bendik, Nordgård Daniel","KRS 48 007 B sem"
"MU-402 tors",2016-01-21,09:15,2016-01-21,15:00,"Hofseth Bendik, Nordgård Daniel","KRS 46 134 sem"
"MU-401 ons",2016-01-27,09:15,2016-01-27,15:00,"Hofseth Bendik, Nordgård Daniel","KRS 48 007 B sem"
"MU-402 tors",2016-01-28,09:15,2016-01-28,15:00,"Hofseth Bendik, Nordgård Daniel","KRS 46 134 sem"
"MU-401 ons",2016-02-03,09:15,2016-02-03,15:00,"Hofseth Bendik, Nordgård Daniel","KRS 48 007 B sem"
"MU-402 tors",2016-02-04,09:15,2016-02-04,15:00,"Hofseth Bendik, Nordgård Daniel","KRS 46 134 sem"
"MU-401 ons",2016-02-10,09:15,2016-02-10,15:00,"Hofseth Bendik, Nordgård Daniel","KRS 48 007 B sem"
"MU-402 tors",2016-02-11,09:15,2016-02-11,15:00,"Hofseth Bendik, Nordgård Daniel","KRS 46 134 sem"
"MU-401 ons",2016-02-17,09:15,2016-02-17,15:00,"Hofseth Bendik, Nordgård Daniel","KRS 48 007 B sem"
"MU-402 tors",2016-02-18,09:15,2016-02-18,15:00,"Hofseth Bendik, Nordgård Daniel","KRS 46 134 sem"
"MU-401 ons",2016-02-24,09:15,2016-02-24,15:00,"Hofseth Bendik, Nordgård Daniel","KRS 48 007 B sem"
"MU-402 tors",2016-02-25,09:15,2016-02-25,15:00,"Hofseth Bendik, Nordgård Daniel","KRS 46 134 sem"
"MU-401 ons",2016-03-02,09:15,2016-03-02,15:00,"Hofseth Bendik, Nordgård Daniel","KRS 48 007 B sem"
"MU-402 tors",2016-03-03,09:15,2016-03-03,15:00,"Hofseth Bendik, Nordgård Daniel","KRS 46 134 sem"
"MU-401 ons",2016-03-09,09:15,2016-03-09,15:00,"Hofseth Bendik, Nordgård Daniel","KRS 48 007 B sem"
"MU-402 tors",2016-03-10,09:15,2016-03-10,15:00,"Hofseth Bendik, Nordgård Daniel","KRS 46 134 sem"
"MU-401 ons",2016-03-16,09:15,2016-03-16,15:00,"Hofseth Bendik, Nordgård Daniel","KRS 48 007 B sem"
"MU-402 tors",2016-03-17,09:15,2016-03-17,15:00,"Hofseth Bendik, Nordgård Daniel","KRS 46 134 sem"
"MU-401 ons",2016-03-30,09:15,2016-03-30,15:00,"Hofseth Bendik, Nordgård Daniel","KRS 48 007 B sem"
"MU-402 tors",2016-03-31,09:15,2016-03-31,15:00,"Hofseth Bendik, Nordgård Daniel","KRS 46 134 sem"
"MU-401 ons",2016-04-06,09:15,2016-04-06,15:00,"Hofseth Bendik, Nordgård Daniel","KRS 48 007 B sem"
"MU-402 tors",2016-04-07,09:15,2016-04-07,15:00,"Hofseth Bendik, Nordgård Daniel","KRS 46 134 sem"
"MU-401 ons",2016-04-13,09:15,2016-04-13,15:00,"Hofseth Bendik, Nordgård Daniel","KRS 48 007 B sem"
"MU-402 tors",2016-04-14,09:15,2016-04-14,15:00,"Hofseth Bendik, Nordgård Daniel","KRS 46 134 sem"
"MU-401 ons",2016-04-20,09:15,2016-04-20,15:00,"Hofseth Bendik, Nordgård Daniel","KRS 48 007 B sem"
"MU-402 tors",2016-04-21,09:15,2016-04-21,15:00,"Hofseth Bendik, Nordgård Daniel","KRS 46 134 sem"
"MU-401 ons",2016-04-27,09:15,2016-04-27,15:00,"Hofseth Bendik, Nordgård Daniel","KRS 48 007 B sem"
"MU-402 tors",2016-04-28,09:15,2016-04-28,15:00,"Hofseth Bendik, Nordgård Daniel","KRS 46 134 sem"
"MU-401 ons",2016-05-04,09:15,2016-05-04,15:00,"Hofseth Bendik, Nordgård Daniel","KRS 48 007 B sem"
