Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-NO-500 uke 1-7",2016-01-07,13:15,2016-01-07,15:00,"Vukovska Boriana","KRS F2 006 sem"
"-NO-404 for",2016-01-12,13:15,2016-01-12,15:00,"Markussen Bjarne","KRS F2 007 sem"
"-NO-404 sem",2016-01-12,15:15,2016-01-12,16:00,"Markussen Bjarne","KRS F2 007 sem"
"-NO-500 uke 1-7",2016-01-14,13:15,2016-01-14,15:00,"Vukovska Boriana","KRS F2 006 sem"
"-NO-404 for",2016-01-19,13:15,2016-01-19,15:00,"Markussen Bjarne","KRS F2 007 sem"
"-NO-404 sem",2016-01-19,15:15,2016-01-19,16:00,"Markussen Bjarne","KRS F2 007 sem"
"-NO-500 uke 1-7",2016-01-21,13:15,2016-01-21,15:00,"Vukovska Boriana","KRS F2 006 sem"
"-NO-404 for",2016-01-26,13:15,2016-01-26,15:00,"Markussen Bjarne","KRS F2 007 sem"
"-NO-404 sem",2016-01-26,15:15,2016-01-26,16:00,"Markussen Bjarne","KRS F2 007 sem"
"-NO-500 uke 1-7",2016-01-28,13:15,2016-01-28,15:00,"Vukovska Boriana","KRS F2 006 sem"
"-NO-404 for",2016-02-02,13:15,2016-02-02,15:00,"Markussen Bjarne","KRS F2 007 sem"
"-NO-404 sem",2016-02-02,15:15,2016-02-02,16:00,"Markussen Bjarne","KRS F2 007 sem"
"-NO-500 uke 1-7",2016-02-04,13:15,2016-02-04,15:00,"Vukovska Boriana","KRS F2 006 sem"
"-NO-404 for",2016-02-09,13:15,2016-02-09,15:00,"Markussen Bjarne","KRS F2 007 sem"
"-NO-404 sem",2016-02-09,15:15,2016-02-09,16:00,"Markussen Bjarne","KRS F2 007 sem"
"-NO-500 uke 1-7",2016-02-11,13:15,2016-02-11,15:00,"Vukovska Boriana","KRS F2 006 sem"
"-NO-404 for",2016-02-16,13:15,2016-02-16,15:00,"Markussen Bjarne","KRS F2 007 sem"
"-NO-404 sem",2016-02-16,15:15,2016-02-16,16:00,"Markussen Bjarne","KRS F2 007 sem"
"-NO-500 uke 1-7",2016-02-18,13:15,2016-02-18,15:00,"Vukovska Boriana","KRS F2 006 sem"
"-NO-404 for",2016-02-23,13:15,2016-02-23,15:00,"Markussen Bjarne","KRS F2 007 sem"
"-NO-404 sem",2016-02-23,15:15,2016-02-23,16:00,"Markussen Bjarne","KRS F2 007 sem"
"-NO-500 uke 8",2016-02-25,12:15,2016-02-25,16:00,"Vukovska Boriana","KRS F2 008 sem"
"-NO-404 for",2016-03-01,13:15,2016-03-01,15:00,"Markussen Bjarne","KRS F2 007 sem"
"-NO-404 sem",2016-03-01,15:15,2016-03-01,16:00,"Markussen Bjarne","KRS F2 007 sem"
"-NO-404 for",2016-03-08,13:15,2016-03-08,15:00,"Markussen Bjarne","KRS F2 007 sem"
"-NO-404 sem",2016-03-08,15:15,2016-03-08,16:00,"Markussen Bjarne","KRS F2 007 sem"
"-NO-404 for",2016-03-15,13:15,2016-03-15,15:00,"Markussen Bjarne","KRS F2 007 sem"
"-NO-404 sem",2016-03-15,15:15,2016-03-15,16:00,"Markussen Bjarne","KRS F2 007 sem"
"-NO-404 for",2016-03-29,13:15,2016-03-29,15:00,"Markussen Bjarne","KRS F2 007 sem"
"-NO-404 sem",2016-03-29,15:15,2016-03-29,16:00,"Markussen Bjarne","KRS F2 007 sem"
"-NO-404 for",2016-04-05,13:15,2016-04-05,15:00,"Markussen Bjarne","KRS F2 007 sem"
"-NO-404 sem",2016-04-05,15:15,2016-04-05,16:00,"Markussen Bjarne","KRS F2 007 sem"
"-NO-404 for",2016-04-12,13:15,2016-04-12,15:00,"Markussen Bjarne","KRS F2 007 sem"
"-NO-404 sem",2016-04-12,15:15,2016-04-12,16:00,"Markussen Bjarne","KRS F2 007 sem"
"-NO-404 for",2016-04-19,13:15,2016-04-19,15:00,"Markussen Bjarne","KRS F2 007 sem"
"-NO-404 sem",2016-04-19,15:15,2016-04-19,16:00,"Markussen Bjarne","KRS F2 007 sem"
"-NO-404 for",2016-04-26,13:15,2016-04-26,15:00,"Markussen Bjarne","KRS F2 007 sem"
"-NO-404 sem",2016-04-26,15:15,2016-04-26,16:00,"Markussen Bjarne","KRS F2 007 sem"
"-NO-404 for",2016-05-03,13:15,2016-05-03,15:00,"Markussen Bjarne","KRS F2 007 sem"
"-NO-404 sem",2016-05-03,15:15,2016-05-03,16:00,"Markussen Bjarne","KRS F2 007 sem"
