Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-NO-142 for uke 3",2016-01-21,12:15,2016-01-21,19:00,"Olsen Torild , Slettan Svein, Vukovska Boriana","KRS B2 001 aud"
"-NO-142 for",2016-01-22,09:15,2016-01-22,16:00,"Olsen Torild , Slettan Svein, Vukovska Boriana","KRS D3 018 sem"
"-NO-142 for uke 7.14.17",2016-02-18,12:15,2016-02-18,19:00,"Olsen Torild , Slettan Svein, Vukovska Boriana","KRS 51 134 sem"
"-NO-142 for",2016-02-19,09:15,2016-02-19,16:00,"Olsen Torild , Slettan Svein, Vukovska Boriana","KRS D3 018 sem"
"-NO-142 for uke 9",2016-03-03,12:15,2016-03-03,19:00,"Olsen Torild , Slettan Svein, Vukovska Boriana","KRS D3 018 sem"
"-NO-142 for",2016-03-04,09:15,2016-03-04,16:00,"Olsen Torild , Slettan Svein, Vukovska Boriana","KRS D3 018 sem"
"-NO-142 for uke 7.14.17",2016-04-07,12:15,2016-04-07,19:00,"Olsen Torild , Slettan Svein, Vukovska Boriana","KRS 51 134 sem"
"-NO-142 for",2016-04-08,09:15,2016-04-08,16:00,"Olsen Torild , Slettan Svein, Vukovska Boriana","KRS D3 018 sem"
"-NO-142 for uke 7.14.17",2016-04-28,12:15,2016-04-28,19:00,"Olsen Torild , Slettan Svein, Vukovska Boriana","KRS 51 134 sem"
"-NO-142 for",2016-04-29,09:15,2016-04-29,16:00,"Olsen Torild , Slettan Svein, Vukovska Boriana","KRS D3 018 sem"
