Subject,Start Date,Start Time,End Date,End Time,Description,Location
".BE-208-1 forel/sem",2016-01-12,09:15,2016-01-12,12:00,"Bårdsen Stine Rye","KRS 51 134 sem"
".MF-202-1 forel (12:15-15:00) D3 018/D3 054 STREAM",2016-01-13,12:15,2016-01-13,15:00,"Lind Emma","KRS D3 054 sem, KRS D3 018 sem"
".OP-303-1 fred uke 2",2016-01-15,10:15,2016-01-15,15:00,"Bårdsen Stine Rye","KRS D3 054 sem"
".BE-208-1 forel/sem",2016-01-19,09:15,2016-01-19,12:00,"Bårdsen Stine Rye","KRS 51 134 sem"
".MF-202-1 gr",2016-01-20,10:15,2016-01-20,12:00,"Lind Emma","KRS 50 110, KRS 50 114a, KRS 50 114b, KRS 50 115a, KRS 50 115b, KRS 50 115c, KRS 50 115e, KRS 50 115f, KRS 50 116a, KRS 51 101, KRS 51 102, KRS 51 103, KRS 50 114c, KRS 50 116b"
".MF-202-1 forel (B1 007 12:15-15:00)",2016-01-20,12:15,2016-01-20,15:00,"Lind Emma","KRS B3 007 aud"
".BE-208-1 forel/sem",2016-01-26,09:15,2016-01-26,12:00,"Bårdsen Stine Rye","KRS 51 134 sem"
".MF-202-1 gr",2016-01-27,10:15,2016-01-27,12:00,"Lind Emma","KRS 50 110, KRS 50 114a, KRS 50 114b, KRS 50 115a, KRS 50 115b, KRS 50 115c, KRS 50 115e, KRS 50 115f, KRS 50 116a, KRS 51 101, KRS 51 102, KRS 51 103, KRS 50 114c, KRS 50 116b"
".MF-202-1 forel (B1 001 12:15-15:00)",2016-01-27,12:15,2016-01-27,15:00,"Lind Emma","KRS B1 001 aud"
".BE-208-1 forel/sem",2016-02-02,09:15,2016-02-02,12:00,"Bårdsen Stine Rye","KRS 51 134 sem"
".MF-202-1 gr",2016-02-03,10:15,2016-02-03,12:00,"Lind Emma","KRS 50 110, KRS 50 114a, KRS 50 114b, KRS 50 115a, KRS 50 115b, KRS 50 115c, KRS 50 115e, KRS 50 115f, KRS 50 116a, KRS 51 101, KRS 51 102, KRS 51 103, KRS 50 114c, KRS 50 116b"
".MF-202-1 forel (B1 007 12:15-15:00)",2016-02-03,12:15,2016-02-03,15:00,"Lind Emma","KRS B1 007 aud"
".BE-208-1 forel/sem",2016-02-09,09:15,2016-02-09,12:00,"Bårdsen Stine Rye","KRS 51 134 sem"
".MF-202-1 gr",2016-02-10,10:15,2016-02-10,12:00,"Lind Emma","KRS 50 110, KRS 50 114a, KRS 50 114b, KRS 50 115a, KRS 50 115b, KRS 50 115c, KRS 50 115e, KRS 50 115f, KRS 50 116a, KRS 51 101, KRS 51 102, KRS 51 103, KRS 50 114c, KRS 50 116b"
".MF-202-1 forel (12:15-15:00) D3 018/D3 054 STREAM",2016-02-10,12:15,2016-02-10,15:00,"Lind Emma","KRS D3 054 sem, KRS D3 018 sem"
".BE-208-1 lab uke 7",2016-02-16,09:15,2016-02-16,12:00,"Bårdsen Stine Rye","KRS D3 017 pclab"
".BE-208-1 forel/sem",2016-03-08,09:15,2016-03-08,12:00,"Bårdsen Stine Rye","KRS 51 134 sem"
".MF-202-1 gr",2016-03-09,10:15,2016-03-09,12:00,"Lind Emma","KRS 50 110, KRS 50 114a, KRS 50 114b, KRS 50 115a, KRS 50 115b, KRS 50 115c, KRS 50 115e, KRS 50 115f, KRS 50 116a, KRS 51 101, KRS 51 102, KRS 51 103, KRS 50 114c, KRS 50 116b"
".MF-202-1 forel (B1 007 12:15-15:00)",2016-03-09,12:15,2016-03-09,15:00,"Lind Emma","KRS B1 007 aud"
".BE-208-1 forel/sem",2016-03-15,09:15,2016-03-15,12:00,"Bårdsen Stine Rye","KRS 51 134 sem"
".MF-202-1 gr",2016-03-16,10:15,2016-03-16,12:00,"Lind Emma","KRS 50 110, KRS 50 114a, KRS 50 114b, KRS 50 115a, KRS 50 115b, KRS 50 115c, KRS 50 115e, KRS 50 115f, KRS 50 116a, KRS 51 101, KRS 51 102, KRS 51 103, KRS 50 114c, KRS 50 116b"
".BE-208-1 forel/sem",2016-03-29,09:15,2016-03-29,12:00,"Bårdsen Stine Rye","KRS 51 134 sem"
".MF-202-1 gr",2016-03-30,10:15,2016-03-30,12:00,"Lind Emma","KRS 50 110, KRS 50 114a, KRS 50 114b, KRS 50 115a, KRS 50 115b, KRS 50 115c, KRS 50 115e, KRS 50 115f, KRS 50 116a, KRS 51 101, KRS 51 102, KRS 51 103, KRS 50 114c, KRS 50 116b"
".MF-202-1 forel (B1 007 12:15-15:00)",2016-03-30,12:15,2016-03-30,15:00,"Lind Emma","KRS B3 007 aud"
".BE-208-1 forel/sem",2016-04-05,09:15,2016-04-05,12:00,"Bårdsen Stine Rye","KRS 51 134 sem"
".MF-202-1 gr",2016-04-06,10:15,2016-04-06,12:00,"Lind Emma","KRS 50 110, KRS 50 114a, KRS 50 114b, KRS 50 115a, KRS 50 115b, KRS 50 115c, KRS 50 115e, KRS 50 115f, KRS 50 116a, KRS 51 101, KRS 51 102, KRS 51 103, KRS 50 114c, KRS 50 116b"
".MF-202-1 forel (B1 007 12:15-15:00)",2016-04-06,12:15,2016-04-06,15:00,"Lind Emma","KRS B3 007 aud"
".BE-208-1 forel/sem",2016-04-12,09:15,2016-04-12,12:00,"Bårdsen Stine Rye","KRS 51 134 sem"
".MF-202-1 gr",2016-04-13,10:15,2016-04-13,12:00,"Lind Emma","KRS 50 110, KRS 50 114a, KRS 50 114b, KRS 50 115a, KRS 50 115b, KRS 50 115c, KRS 50 115e, KRS 50 115f, KRS 50 116a, KRS 51 101, KRS 51 102, KRS 51 103, KRS 50 114c, KRS 50 116b"
".MF-202-1 forel (B1 007 12:15-15:00)",2016-04-13,12:15,2016-04-13,15:00,"Lind Emma","KRS B3 007 aud"
".BE-208-1 forel/sem",2016-04-19,09:15,2016-04-19,12:00,"Bårdsen Stine Rye","KRS 51 134 sem"
".MF-202-1 gr",2016-04-20,10:15,2016-04-20,12:00,"Lind Emma","KRS 50 110, KRS 50 114a, KRS 50 114b, KRS 50 115a, KRS 50 115b, KRS 50 115c, KRS 50 115e, KRS 50 115f, KRS 50 116a, KRS 51 101, KRS 51 102, KRS 51 103, KRS 50 114c, KRS 50 116b"
".MF-202-1 forel (B1 007 12:15-15:00)",2016-04-20,12:15,2016-04-20,15:00,"Lind Emma","KRS B3 007 aud"
".MF-202-1 gr",2016-04-27,10:15,2016-04-27,12:00,"Lind Emma","KRS 50 110, KRS 50 114a, KRS 50 114b, KRS 50 115a, KRS 50 115b, KRS 50 115c, KRS 50 115e, KRS 50 115f, KRS 50 116a, KRS 51 101, KRS 51 102, KRS 51 103, KRS 50 114c, KRS 50 116b"
".MF-202-1 forel (B1 007 12:15-15:00)",2016-04-27,12:15,2016-04-27,15:00,"Lind Emma","KRS B3 007 aud"
".OP-303-1 mand uke 18 (Aud. Kunnskapsparken)",2016-05-02,10:15,2016-05-02,15:00,"Bårdsen Stine Rye","KRS x Sørlandsauditorium Kunnskapsparken"
".MF-202-1 gr",2016-05-04,10:15,2016-05-04,12:00,"Lind Emma","KRS 50 110, KRS 50 114a, KRS 50 114b, KRS 50 115a, KRS 50 115b, KRS 50 115c, KRS 50 115e, KRS 50 115f, KRS 50 116a, KRS 51 101, KRS 51 102, KRS 51 103, KRS 50 114c, KRS 50 116b"
".MF-202-1 forel (B1 007 12:15-15:00)",2016-05-04,12:15,2016-05-04,15:00,"Lind Emma","KRS B3 007 aud"
