Subject,Start Date,Start Time,End Date,End Time,Description,Location
"PSY908-G 19.01",2016-01-19,09:15,2016-01-19,14:00,"Thorød, Anne Brita","GRM C3 094"
"PSY908-G 20.01",2016-01-20,09:15,2016-01-20,14:00,"Thorød, Anne Brita","GRM C3 094"
"PSY908-G 09.02",2016-02-09,09:15,2016-02-09,14:00,"Thorød, Anne Brita","GRM C3 094"
"PSY908-G 10.02",2016-02-10,09:15,2016-02-10,14:00,"Thorød, Anne Brita","GRM C3 094"
"PSY908-G 11.02",2016-02-11,09:15,2016-02-11,14:00,"Thorød, Anne Brita","GRM C3 094"
"B/16/03/01 PSY908-G",2016-03-01,12:15,2016-03-01,14:00,"","KRS 51 134 sem"
"PSY908-G 02.03",2016-03-02,09:15,2016-03-02,14:00,"Thorød, Anne Brita","GRM C3 094"
"PSY908-G 03.03",2016-03-03,09:15,2016-03-03,14:00,"Thorød, Anne Brita","GRM C3 094"
"PSY908-G 29.03",2016-03-29,09:15,2016-03-29,14:00,"Thorød, Anne Brita","GRM C3 094"
"PSY908-G 30.03",2016-03-30,09:15,2016-03-30,14:00,"Thorød, Anne Brita","GRM C3 094"
