Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-ERN109",2016-01-04,09:15,2016-01-04,12:00,"Røed Margrethe","KRS 46 211 sem"
"-EN-108/EN-109",2016-01-04,09:15,2016-01-04,13:00,"Hangeland Hilde, Hannaas Inger Lise, Hasund Ingrid Kristine","KRS 48 113 sem"
"-EN-109/EN-108",2016-01-04,09:15,2016-01-04,13:00,"Hangeland Hilde, Hannaas Inger Lise, Hasund Ingrid Kristine","KRS 48 113 sem"
"-NO-118/NO-119",2016-01-04,13:15,2016-01-04,17:00,"Flaten Tom, Johannessen Oddbjørn","KRS 48 113 sem"
"-NO-119/NO-118",2016-01-04,13:15,2016-01-04,17:00,"Flaten Tom, Johannessen Oddbjørn","KRS 48 113 sem"
"-HI-108/109",2016-01-05,09:15,2016-01-05,13:00,"Justvik Nils Martinius, Sødal Terje","KRS 48 114 sem"
"-HI-109/108",2016-01-05,09:15,2016-01-05,13:00,"Justvik Nils Martinius, Sødal Terje","KRS 48 114 sem"
"-SV-109",2016-01-05,13:15,2016-01-05,17:00,"Skjølberg Katja","KRS D3 054 sem"
"-SE-102/SE-103",2016-01-05,17:15,2016-01-05,21:00,"Thorsen Gunnar","KRS B2 006 aud"
"-SE-103/SE-102",2016-01-05,17:15,2016-01-05,21:00,"Thorsen Gunnar","KRS B2 006 aud"
"-NAT101/NAT102",2016-01-06,08:15,2016-01-06,12:00,"Lien Anne","KRS 48 113 sem"
"-NAT102/NAT101",2016-01-06,08:15,2016-01-06,12:00,"Lien Anne","KRS 48 113 sem"
"-FR-107",2016-01-06,09:15,2016-01-06,13:00,"Lomheim Francine Girard","KRS 46 134 sem"
"-SPA100",2016-01-06,09:15,2016-01-06,13:00,"Drange Eli-Marie Danbolt","KRS 46 135 sem"
"-MA-113/MA-112",2016-01-06,12:15,2016-01-06,16:00,"Madsen John","KRS 48 113 sem"
"-MA-112/MA-113",2016-01-06,12:15,2016-01-06,16:00,"Madsen John","KRS 48 113 sem"
"-KR-111/KR-112",2016-01-08,09:15,2016-01-08,13:00,"Tallaksen Inger Margrethe","KRS 46 308 sem"
"-KR-112/KR-111",2016-01-08,09:15,2016-01-08,13:00,"Tallaksen Inger Margrethe","KRS 46 308 sem"
"-NO-118/NO-119",2016-02-22,13:15,2016-02-22,17:00,"Flaten Tom, Johannessen Oddbjørn","KRS 48 113 sem"
"-NO-119/NO-118",2016-02-22,13:15,2016-02-22,17:00,"Flaten Tom, Johannessen Oddbjørn","KRS 48 113 sem"
"-HI-108/109",2016-02-23,09:15,2016-02-23,13:00,"Justvik Nils Martinius, Sødal Terje","KRS 48 114 sem"
"-HI-109/108",2016-02-23,09:15,2016-02-23,13:00,"Justvik Nils Martinius, Sødal Terje","KRS 48 114 sem"
"-NAT101/NAT102",2016-02-24,08:15,2016-02-24,12:00,"Lien Anne","KRS 48 113 sem"
"-NAT102/NAT101",2016-02-24,08:15,2016-02-24,12:00,"Lien Anne","KRS 48 113 sem"
"-MA-113/MA-112",2016-02-24,12:15,2016-02-24,16:00,"Madsen John","KRS 48 113 sem"
"-MA-112/MA-113",2016-02-24,12:15,2016-02-24,16:00,"Madsen John","KRS 48 113 sem"
