Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-PED327 for tirs uke 1",2016-01-05,17:15,2016-01-05,21:00,"Egeland Frank, Stousland Hanne, Wille Torstein","KRS F1 023 sem"
"-PED327 for ons",2016-01-06,09:15,2016-01-06,15:00,"Egeland Frank, Stousland Hanne, Wille Torstein","KRS F1 023 sem"
"-PED327 gr tirs uke 3.9.13",2016-01-19,17:15,2016-01-19,21:00,"Egeland Frank, Stousland Hanne, Wille Torstein","KRS F2 007 sem, KRS F2 008 sem, KRS F2 006 sem"
"-PED327 for ons",2016-01-20,09:15,2016-01-20,15:00,"Egeland Frank, Stousland Hanne, Wille Torstein","KRS F1 023 sem"
"-PED327 gr tirs uke 3.9.13",2016-03-01,17:15,2016-03-01,21:00,"Egeland Frank, Stousland Hanne, Wille Torstein","KRS F2 007 sem, KRS F2 008 sem, KRS F2 006 sem"
"-PED327 for ons",2016-03-02,09:15,2016-03-02,15:00,"Egeland Frank, Stousland Hanne, Wille Torstein","KRS F1 023 sem"
"-PED327 gr tirs uke 3.9.13",2016-03-29,17:15,2016-03-29,21:00,"Egeland Frank, Stousland Hanne, Wille Torstein","KRS F2 007 sem, KRS F2 008 sem, KRS F2 006 sem"
"-PED327 for ons",2016-03-30,09:15,2016-03-30,15:00,"Egeland Frank, Stousland Hanne, Wille Torstein","KRS F1 023 sem"
"-PED327 for/lab tirs uke 17",2016-04-26,17:15,2016-04-26,21:00,"Egeland Frank, Stousland Hanne, Wille Torstein","KRS F1 023 sem, KRS D3 017 pclab"
"-PED327 for ons",2016-04-27,09:15,2016-04-27,15:00,"Egeland Frank, Stousland Hanne, Wille Torstein","KRS F1 023 sem"
