Subject,Start Date,Start Time,End Date,End Time,Description,Location
"PSY420-G 12.01",2016-01-12,09:15,2016-01-12,15:00,"Høie, Magnhild Mjåvatn","GRM F 203 sem"
"PSY420-G 13.01-1",2016-01-13,09:15,2016-01-13,12:00,"Høie, Magnhild Mjåvatn","GRM F 203 sem"
"PSY420-G 13.01-2",2016-01-13,12:15,2016-01-13,14:00,"Høie, Magnhild Mjåvatn","GRM A3 020 sem"
"PSY420-G 13.01 grom",2016-01-13,14:15,2016-01-13,16:00,"Høie, Magnhild Mjåvatn","GRM A2 041, GRM A2 071, GRM A2 083, GRM A2 140, GRM A3 020 sem"
"PSY420-G 14.01 (Rom 51 131 i Krs)",2016-01-14,09:15,2016-01-14,15:00,"Høie, Magnhild Mjåvatn",""
"PSY420-G 08.02 grom",2016-02-08,08:15,2016-02-08,16:00,"Høie, Magnhild Mjåvatn","GRM A2 041, GRM A2 071, GRM A2 083, GRM A2 140"
"PSY420-G 09.02",2016-02-09,09:15,2016-02-09,15:00,"Høie, Magnhild Mjåvatn","GRM A2 135 aud"
"PSY420-G 10.02",2016-02-10,09:15,2016-02-10,14:00,"Høie, Magnhild Mjåvatn","GRM A2 023 sem"
"PSY420-G 10.02 grom",2016-02-10,14:15,2016-02-10,16:00,"Høie, Magnhild Mjåvatn","GRM A2 023 sem, GRM A2 041, GRM A2 071, GRM A2 083, GRM A2 140"
"PSY420-G 11.02",2016-02-11,09:15,2016-02-11,15:00,"Høie, Magnhild Mjåvatn","GRM A3 023 sem"
"PSY420-G 07.03 grom",2016-03-07,08:15,2016-03-07,16:00,"Høie, Magnhild Mjåvatn","GRM F 229, GRM F 230, GRM F 225, GRM F 231"
"PSY420-G 08.03-1",2016-03-08,09:15,2016-03-08,12:00,"Høie, Magnhild Mjåvatn","GRM A3 023 sem"
"PSY420-G 08.03-2",2016-03-08,12:15,2016-03-08,15:00,"Høie, Magnhild Mjåvatn","GRM A3 027 sem VER"
"PSY420-G 09.03",2016-03-09,09:15,2016-03-09,14:00,"Høie, Magnhild Mjåvatn","GRM F 202 sem"
"PSY420-G 09.03 grom",2016-03-09,14:15,2016-03-09,16:00,"Høie, Magnhild Mjåvatn","GRM F 229, GRM F 230, GRM F 225, GRM F 231, GRM F 202 sem"
"PSY420-G 10.03",2016-03-10,09:15,2016-03-10,15:00,"Høie, Magnhild Mjåvatn","GRM A3 023 sem"
"PSY420-G 05.04 ",2016-04-05,09:15,2016-04-05,15:00,"Høie, Magnhild Mjåvatn","GRM x FOU-aud (Jon Lilletunsvei 3)*"
"PSY420-G 06.04",2016-04-06,09:15,2016-04-06,15:00,"Høie, Magnhild Mjåvatn","GRM A2 023 sem"
