Subject,Start Date,Start Time,End Date,End Time,Description,Location
"PSY407-G 11.01",2016-01-11,09:15,2016-01-11,12:00,"Larsen, Inger Beate","GRM D3 053 sem"
"PSY407-G 11.01 grom",2016-01-11,12:15,2016-01-11,15:00,"Bøe, Tore Dag, Lindvig Ruud, Gunnhild","GRM A2 051, GRM A2 052, GRM A2 053, GRM A2 058, GRM A2 141, GRM D3 053 sem"
"PSY407-G 12.01 grom",2016-01-12,09:15,2016-01-12,12:00,"Bøe, Tore Dag, Lindvig Ruud, Gunnhild","GRM A2 051, GRM A2 052, GRM A2 053, GRM A2 058, GRM A2 141, GRM A3 027 sem VER"
"PSY407-G 12.01",2016-01-12,12:15,2016-01-12,15:00,"Topor, Alain","GRM A3 027 sem VER"
"PSY407-G 13.01",2016-01-13,09:15,2016-01-13,12:00,"Larsen, Inger Beate","GRM F 202 sem"
"PSY407-G 13.01 grom",2016-01-13,12:15,2016-01-13,15:00,"Bøe, Tore Dag, Lindvig Ruud, Gunnhild","GRM F 229, GRM F 230, GRM F 225, GRM F 226, GRM F 231, GRM F 202 sem"
"PSY407-G 08.02",2016-02-08,09:15,2016-02-08,12:00,"Grelland, Hans Herlof","GRM F 204 sem"
"PSY407-G 08.02 grom",2016-02-08,12:15,2016-02-08,15:00,"Bøe, Tore Dag, Lindvig Ruud, Gunnhild","GRM F 229, GRM F 230, GRM F 225, GRM F 226, GRM F 231, GRM F 204 sem"
"PSY407-G 09.02",2016-02-09,09:15,2016-02-09,12:00,"Larsen, Inger Beate","GRM A2 021 sem"
"PSY407-G 09.02 grom",2016-02-09,12:15,2016-02-09,15:00,"Bøe, Tore Dag, Lindvig Ruud, Gunnhild","GRM A2 021 sem, GRM A2 051, GRM A2 052, GRM A2 053, GRM A2 058, GRM A2 141"
"PSY407-G 12.02",2016-02-12,09:15,2016-02-12,14:00,"Benestad, Esben Esther Pirelli","GRM C3 072 aud"
"PSY407-G 07.03",2016-03-07,09:15,2016-03-07,14:00,"","GRM F 204 sem"
"PSY407-G 08.03",2016-03-08,09:15,2016-03-08,12:00,"Lindvig Ruud, Gunnhild","GRM A2 085 aud"
"PSY407-G 08.03 grom",2016-03-08,12:15,2016-03-08,15:00,"Bøe, Tore Dag, Lindvig Ruud, Gunnhild","GRM A2 051, GRM A2 052, GRM A2 053, GRM A2 058, GRM A2 085 aud, GRM A2 141"
"PSY407-G 09.03",2016-03-09,09:15,2016-03-09,12:00,"Nærbøe, Jens","GRM A2 085 aud"
"PSY407-G 09.03 grom",2016-03-09,12:15,2016-03-09,15:00,"Bøe, Tore Dag, Lindvig Ruud, Gunnhild","GRM A2 051, GRM A2 052, GRM A2 053, GRM A2 058, GRM A2 085 aud, GRM A2 141"
"PSY407-G 04.04",2016-04-04,09:15,2016-04-04,12:00,"Bøe, Tore Dag","GRM F 204 sem"
"PSY407-G 04.04 grom",2016-04-04,12:15,2016-04-04,15:00,"Bøe, Tore Dag","GRM F 229, GRM F 230, GRM F 225, GRM F 226, GRM F 231, GRM F 204 sem"
"PSY407-G 05.04 sammen med psy 420",2016-04-05,09:15,2016-04-05,14:00,"Høie, Magnhild Mjåvatn","GRM x FOU-aud (Jon Lilletunsvei 3)*"
"PSY407-G 06.04",2016-04-06,09:15,2016-04-06,15:00,"Bøe, Tore Dag","GRM A2 085 aud"
