Subject,Start Date,Start Time,End Date,End Time,Description,Location
".BE-420-1 forel onsd 14:15-17:00 (B2 003)",2016-01-06,14:15,2016-01-06,17:00,"","KRS B2 003 aud"
".ORG449-1 forel (Sentrum 09:15-12:00)",2016-01-07,09:15,2016-01-07,12:00,"Wald Andreas","KRS x Tordenskjoldsgate 68 (200) Eilert Sundt-"
".ORG449-1 gr",2016-01-07,13:15,2016-01-07,16:00,"Wald Andreas","KRS 15 101, KRS 15 102, KRS 15 103, KRS 15 104, KRS 15 105, KRS 15 106, KRS 15 107, KRS 15 108, KRS 15 109, KRS 15 114, KRS 15 115, KRS 15 116, KRS 15 117, KRS 15 118, KRS 15 119"
".BE-420-1 forel mand uke 2-6 (B1 001)",2016-01-11,13:15,2016-01-11,16:00,"","KRS B1 001 aud"
".ORG449-1 forel (46-118 14:15-17:00)",2016-01-12,14:15,2016-01-12,17:00,"Wald Andreas","KRS 46 118 aula"
".BE-420-1 forel onsd 14:15-17:00 (B2 003)",2016-01-13,14:15,2016-01-13,17:00,"","KRS B2 003 aud"
".ORG449-1 forel (Sentrum 09:15-12:00)",2016-01-14,09:15,2016-01-14,12:00,"Wald Andreas","KRS x Tordenskjoldsgate 68 (200) Eilert Sundt-"
".ORG449-1 gr",2016-01-14,13:15,2016-01-14,16:00,"Wald Andreas","KRS 15 101, KRS 15 102, KRS 15 103, KRS 15 104, KRS 15 105, KRS 15 106, KRS 15 107, KRS 15 108, KRS 15 109, KRS 15 114, KRS 15 115, KRS 15 116, KRS 15 117, KRS 15 118, KRS 15 119"
".BE-420-1 forel mand uke 2-6 (B1 001)",2016-01-18,13:15,2016-01-18,16:00,"","KRS B1 001 aud"
".ORG449-1 forel (46-118 14:15-17:00)",2016-01-19,14:15,2016-01-19,17:00,"Wald Andreas","KRS 46 118 aula"
".BE-420-1 forel onsd 14:15-17:00 (B2 003)",2016-01-20,14:15,2016-01-20,17:00,"","KRS B2 003 aud"
".ORG449-1 forel (Sentrum 09:15-12:00)",2016-01-21,09:15,2016-01-21,12:00,"Wald Andreas","KRS x Tordenskjoldsgate 68 (200) Eilert Sundt-"
".ORG449-1 gr",2016-01-21,13:15,2016-01-21,16:00,"Wald Andreas","KRS 15 101, KRS 15 102, KRS 15 103, KRS 15 104, KRS 15 105, KRS 15 106, KRS 15 107, KRS 15 108, KRS 15 109, KRS 15 114, KRS 15 115, KRS 15 116, KRS 15 117, KRS 15 118, KRS 15 119"
".BE-420-1 forel mand uke 2-6 (B1 001)",2016-01-25,13:15,2016-01-25,16:00,"","KRS B1 001 aud"
".ORG449-1 forel (46-118 14:15-17:00)",2016-01-26,14:15,2016-01-26,17:00,"Wald Andreas","KRS 46 118 aula"
".BE-420-1 forel onsd 14:15-17:00 (B2 003)",2016-01-27,14:15,2016-01-27,17:00,"","KRS B2 003 aud"
".ORG449-1 forel (Sentrum 09:15-12:00)",2016-01-28,09:15,2016-01-28,12:00,"Wald Andreas","KRS x Tordenskjoldsgate 68 (200) Eilert Sundt-"
".ORG449-1 gr",2016-01-28,13:15,2016-01-28,16:00,"Wald Andreas","KRS 15 101, KRS 15 102, KRS 15 103, KRS 15 104, KRS 15 105, KRS 15 106, KRS 15 107, KRS 15 108, KRS 15 109, KRS 15 114, KRS 15 115, KRS 15 116, KRS 15 117, KRS 15 118, KRS 15 119"
".BE-420-1 forel mand uke 2-6 (B1 001)",2016-02-01,13:15,2016-02-01,16:00,"","KRS B1 001 aud"
".ORG449-1 forel (46-118 14:15-17:00)",2016-02-02,14:15,2016-02-02,17:00,"Wald Andreas","KRS 46 118 aula"
".BE-420-1 forel onsd 14:15-17:00 (B2 003)",2016-02-03,14:15,2016-02-03,17:00,"","KRS B2 003 aud"
".ORG449-1 forel (Sentrum 09:15-12:00)",2016-02-04,09:15,2016-02-04,12:00,"Wald Andreas","KRS x Tordenskjoldsgate 68 (200) Eilert Sundt-"
".ORG449-1 gr",2016-02-04,13:15,2016-02-04,16:00,"Wald Andreas","KRS 15 101, KRS 15 102, KRS 15 103, KRS 15 104, KRS 15 105, KRS 15 106, KRS 15 107, KRS 15 108, KRS 15 109, KRS 15 114, KRS 15 115, KRS 15 116, KRS 15 117, KRS 15 118, KRS 15 119"
".BE-420-1 forel mand uke 2-6 (B1 001)",2016-02-08,13:15,2016-02-08,16:00,"","KRS B1 001 aud"
".ORG449-1 forel (46-118 14:15-17:00)",2016-02-09,14:15,2016-02-09,17:00,"Wald Andreas","KRS 46 118 aula"
".BE-420-1 forel onsd 14:15-17:00 (B2 003)",2016-02-10,14:15,2016-02-10,17:00,"","KRS B2 003 aud"
".ORG449-1 forel (Sentrum 09:15-12:00)",2016-02-11,09:15,2016-02-11,12:00,"Wald Andreas","KRS x Tordenskjoldsgate 68 (200) Eilert Sundt-"
".ORG449-1 gr",2016-02-11,13:15,2016-02-11,16:00,"Wald Andreas","KRS 15 101, KRS 15 102, KRS 15 103, KRS 15 104, KRS 15 105, KRS 15 106, KRS 15 107, KRS 15 108, KRS 15 109, KRS 15 114, KRS 15 115, KRS 15 116, KRS 15 117, KRS 15 118, KRS 15 119"
".BE-420-1 forel mand uke 7-8 (B1 007)",2016-02-15,13:15,2016-02-15,16:00,"","KRS B1 007 aud"
".ORG449-1 forel (46-118 14:15-17:00)",2016-02-16,14:15,2016-02-16,17:00,"Wald Andreas","KRS 46 118 aula"
".BE-420-1 forel onsd 14:15-17:00 (B2 003)",2016-02-17,14:15,2016-02-17,17:00,"","KRS B2 003 aud"
".ORG449-1 forel Friday wk 7 (46 118 11:15-14:00)",2016-02-19,11:15,2016-02-19,14:00,"Wald Andreas","KRS 46 118 aula"
".ORG449-1 gr Friday wk 7 14:15-17:00",2016-02-19,14:15,2016-02-19,17:00,"Wald Andreas","KRS 15 101, KRS 15 102, KRS 15 103, KRS 15 104, KRS 15 105, KRS 15 106, KRS 15 107, KRS 15 108, KRS 15 109, KRS 15 114, KRS 15 115, KRS 15 116, KRS 15 117, KRS 15 118, KRS 15 119"
".BE-420-1 forel mand uke 7-8 (B1 007)",2016-02-22,13:15,2016-02-22,16:00,"","KRS B1 007 aud"
".ORG449-1 forel (46-118 14:15-17:00)",2016-02-23,14:15,2016-02-23,17:00,"Wald Andreas","KRS 46 118 aula"
".BE-420-1 forel onsd 14:15-17:00 (B2 003)",2016-02-24,14:15,2016-02-24,17:00,"","KRS B2 003 aud"
".ORG449-1 forel Thursday wk 8 (46 118 09:15-12:00)",2016-02-25,09:15,2016-02-25,12:00,"Wald Andreas","KRS 46 118 aula"
".ORG449-1 gr",2016-02-25,13:15,2016-02-25,16:00,"Wald Andreas","KRS 15 101, KRS 15 102, KRS 15 103, KRS 15 104, KRS 15 105, KRS 15 106, KRS 15 107, KRS 15 108, KRS 15 109, KRS 15 114, KRS 15 115, KRS 15 116, KRS 15 117, KRS 15 118, KRS 15 119"
".BE-418-1 forel",2016-03-14,13:15,2016-03-14,16:00,"Heskestad Terje ","KRS B2 003 aud"
".BE-414-1 forel",2016-03-30,09:15,2016-03-30,12:00,"Beisland Leif Atle","KRS B1 001 aud"
".BE-418-1 forel",2016-03-30,13:15,2016-03-30,16:00,"Heskestad Terje ","KRS B1 007 aud"
".BE-414-1 forel",2016-04-01,09:15,2016-04-01,12:00,"Beisland Leif Atle","KRS B1 007 aud"
".BE-414-1 gr",2016-04-01,12:15,2016-04-01,14:00,"Beisland Leif Atle","KRS 15 101, KRS 15 102, KRS 15 103, KRS 15 104, KRS 15 105, KRS 15 106, KRS 15 107, KRS 15 108, KRS 15 109, KRS 15 114, KRS 15 115, KRS 15 116, KRS 15 117, KRS 15 118, KRS 15 119"
".BE-418-1 forel",2016-04-04,13:15,2016-04-04,16:00,"Heskestad Terje ","KRS B2 003 aud"
".BE-414-1 forel",2016-04-06,09:15,2016-04-06,12:00,"Beisland Leif Atle","KRS B1 001 aud"
".BE-418-1 forel",2016-04-06,13:15,2016-04-06,16:00,"Heskestad Terje ","KRS B1 007 aud"
".BE-414-1 forel",2016-04-08,09:15,2016-04-08,12:00,"Beisland Leif Atle","KRS B1 007 aud"
".BE-414-1 gr",2016-04-08,12:15,2016-04-08,14:00,"Beisland Leif Atle","KRS 15 101, KRS 15 102, KRS 15 103, KRS 15 104, KRS 15 105, KRS 15 106, KRS 15 107, KRS 15 108, KRS 15 109, KRS 15 114, KRS 15 115, KRS 15 116, KRS 15 117, KRS 15 118, KRS 15 119"
".BE-418-1 forel",2016-04-11,13:15,2016-04-11,16:00,"Heskestad Terje ","KRS B2 003 aud"
".BE-414-1 forel",2016-04-13,09:15,2016-04-13,12:00,"Beisland Leif Atle","KRS B1 001 aud"
".BE-418-1 forel",2016-04-13,13:15,2016-04-13,16:00,"Heskestad Terje ","KRS B1 007 aud"
".BE-414-1 forel",2016-04-15,09:15,2016-04-15,12:00,"Beisland Leif Atle","KRS B1 007 aud"
".BE-414-1 gr",2016-04-15,12:15,2016-04-15,14:00,"Beisland Leif Atle","KRS 15 101, KRS 15 102, KRS 15 103, KRS 15 104, KRS 15 105, KRS 15 106, KRS 15 107, KRS 15 108, KRS 15 109, KRS 15 114, KRS 15 115, KRS 15 116, KRS 15 117, KRS 15 118, KRS 15 119"
".BE-418-1 forel",2016-04-18,13:15,2016-04-18,16:00,"Heskestad Terje ","KRS B2 003 aud"
".BE-414-1 forel",2016-04-19,08:15,2016-04-19,11:00,"Beisland Leif Atle","KRS B1 006 aud"
".BE-418-1 forel",2016-04-20,13:15,2016-04-20,16:00,"Heskestad Terje ","KRS B1 007 aud"
".BE-414-1 forel",2016-04-22,09:15,2016-04-22,12:00,"Beisland Leif Atle","KRS B1 007 aud"
".BE-414-1 gr",2016-04-22,12:15,2016-04-22,14:00,"Beisland Leif Atle","KRS 15 101, KRS 15 102, KRS 15 103, KRS 15 104, KRS 15 105, KRS 15 106, KRS 15 107, KRS 15 108, KRS 15 109, KRS 15 114, KRS 15 115, KRS 15 116, KRS 15 117, KRS 15 118, KRS 15 119"
".BE-418-1 forel",2016-04-25,13:15,2016-04-25,16:00,"Heskestad Terje ","KRS B2 003 aud"
".BE-414-1 forel",2016-04-26,08:15,2016-04-26,11:00,"Beisland Leif Atle","KRS B1 006 aud"
".BE-418-1 forel",2016-04-27,13:15,2016-04-27,16:00,"Heskestad Terje ","KRS B1 007 aud"
".BE-414-1 forel",2016-04-29,09:15,2016-04-29,12:00,"Beisland Leif Atle","KRS B1 007 aud"
".BE-414-1 gr",2016-04-29,12:15,2016-04-29,14:00,"Beisland Leif Atle","KRS 15 101, KRS 15 102, KRS 15 103, KRS 15 104, KRS 15 105, KRS 15 106, KRS 15 107, KRS 15 108, KRS 15 109, KRS 15 114, KRS 15 115, KRS 15 116, KRS 15 117, KRS 15 118, KRS 15 119"
".BE-418-1 forel",2016-05-02,13:15,2016-05-02,16:00,"Heskestad Terje ","KRS B2 003 aud"
".BE-414-1 forel",2016-05-04,09:15,2016-05-04,12:00,"Beisland Leif Atle","KRS B1 001 aud"
".BE-418-1 forel",2016-05-04,13:15,2016-05-04,16:00,"Heskestad Terje ","KRS B1 007 aud"
".BE-414-1 forel",2016-05-06,09:15,2016-05-06,12:00,"Beisland Leif Atle","KRS B1 007 aud"
".BE-414-1 gr",2016-05-06,12:15,2016-05-06,14:00,"Beisland Leif Atle","KRS 15 101, KRS 15 102, KRS 15 103, KRS 15 104, KRS 15 105, KRS 15 106, KRS 15 107, KRS 15 108, KRS 15 109, KRS 15 114, KRS 15 115, KRS 15 116, KRS 15 117, KRS 15 118, KRS 15 119"
