Subject,Start Date,Start Time,End Date,End Time,Description,Location
".JUR202-1/16/01/06 for*",2016-01-06,08:15,2016-01-06,12:00,"Bahus Marianne","KRS H1 058 aud"
".JUR202-1 arb.gr* (u 1.2.3)*",2016-01-07,10:15,2016-01-07,14:00,"Bahus Marianne","KRS 48 007 A sem, KRS 50 115d sem, KRS 50 138 sem"
".JUR202-1/16/01/13 for*",2016-01-13,09:15,2016-01-13,13:00,"Bahus Marianne","KRS H1 058 aud"
".JUR202-1 arb.gr* (u 1.2.3)*",2016-01-14,10:15,2016-01-14,14:00,"Bahus Marianne","KRS 48 007 A sem, KRS 50 115d sem, KRS 50 138 sem"
".JUR202-1/16/01/20 for*",2016-01-20,09:15,2016-01-20,13:00,"Bahus Marianne","KRS H1 058 aud"
".JUR202-1 arb.gr* (u 1.2.3)*",2016-01-21,10:15,2016-01-21,14:00,"Bahus Marianne","KRS 48 007 A sem, KRS 50 115d sem, KRS 50 138 sem"
".JUR202-1/16/01/28 for*",2016-01-28,09:15,2016-01-28,13:00,"Bahus Marianne","KRS H1 058 aud"
".JUR202-1 arb.gr* (u 4)*",2016-01-29,10:15,2016-01-29,14:00,"Bahus Marianne","KRS 48 007 A sem, KRS 50 115d sem, KRS 50 138 sem"
".JUR202-1/16/02/03 for*",2016-02-03,09:15,2016-02-03,13:00,"Bahus Marianne","KRS H1 058 aud"
".JUR202-1 arb.gr torsdag 4.2 (B1 007)",2016-02-04,10:15,2016-02-04,14:00,"Bahus Marianne","KRS B1 007 aud"
".JUR202-1/16/02/05 stor.gr*",2016-02-05,10:15,2016-02-05,16:00,"Bahus Marianne","KRS HK 007 sem"
".JUR202-1/16/02/11 for*",2016-02-11,09:15,2016-02-11,13:00,"Bahus Marianne","KRS H1 058 aud"
".JUR202-1/16/02/12 for*",2016-02-12,09:15,2016-02-12,13:00,"Bahus Marianne","KRS H1 058 aud"
".JUR105-1/16/02/22 for*",2016-02-22,09:15,2016-02-22,12:00,"Nielsen Kari Lunøe, Strandberg Magne","KRS H1 058 aud"
".JUR105-1/16/02/23 for*",2016-02-23,09:15,2016-02-23,12:00,"Nielsen Kari Lunøe, Strandberg Magne","KRS H1 058 aud"
".JUR105-1/16/02/24 for* ",2016-02-24,09:15,2016-02-24,12:00,"Nielsen Kari Lunøe, Strandberg Magne","KRS H1 058 aud"
".JUR105-1/16/03/02 for S Tjomsland* ",2016-03-02,10:15,2016-03-02,12:00,"","KRS H1 058 aud"
".JUR105-1 arb.gr* (9.10.13)*",2016-03-03,09:15,2016-03-03,13:00,"Nielsen Kari Lunøe","KRS 48 007 A sem, KRS 50 115d sem, KRS 50 138 sem"
".JUR105-1/16/03/09 for* ",2016-03-09,09:15,2016-03-09,12:00,"Nielsen Kari Lunøe, Strandberg Magne","KRS H1 058 aud"
".JUR105-1/16/03/09 stor.gr.1*",2016-03-09,13:15,2016-03-09,15:00,"Nielsen Kari Lunøe, Strandberg Magne","KRS B3 007 aud"
".JUR105-1/16/03/09 stor.gr.2*",2016-03-09,15:15,2016-03-09,17:00,"Nielsen Kari Lunøe, Strandberg Magne","KRS B3 007 aud"
".JUR105-1 arb.gr* (9.10.13)*",2016-03-10,09:15,2016-03-10,13:00,"Nielsen Kari Lunøe","KRS 48 007 A sem, KRS 50 115d sem, KRS 50 138 sem"
".JUR105-1/16/03/16 for*",2016-03-17,09:15,2016-03-17,11:00,"Nielsen Kari Lunøe, Strandberg Magne","KRS H1 058 aud"
".JUR105-1 arb.gr* (11)*",2016-03-17,12:15,2016-03-17,16:00,"Nielsen Kari Lunøe","KRS 48 007 A sem, KRS 50 115d sem, KRS 50 138 sem"
".JUR105-1/16/03/18 stor.gr.1* ",2016-03-18,10:15,2016-03-18,12:00,"Nielsen Kari Lunøe, Strandberg Magne","KRS B2 006 aud"
".JUR105-1/16/03/18 stor.gr.2* ",2016-03-18,12:15,2016-03-18,14:00,"Nielsen Kari Lunøe, Strandberg Magne","KRS B2 006 aud"
".JUR105-1/16/03/30 for*",2016-03-30,09:15,2016-03-30,14:00,"Nielsen Kari Lunøe, Strandberg Magne","KRS H1 058 aud"
".JUR105-1 arb.gr* (9.10.13)*",2016-03-31,09:15,2016-03-31,13:00,"Nielsen Kari Lunøe","KRS 48 007 A sem, KRS 50 115d sem, KRS 50 138 sem"
".JUR104-1/16/04/20 for*",2016-04-20,09:15,2016-04-20,12:00,"Nielsen Kari Lunøe","KRS H1 058 aud"
".JUR104-1 arb.gr*(16.17)*",2016-04-21,09:15,2016-04-21,13:00,"Nielsen Kari Lunøe","KRS 48 007 A sem, KRS 50 115d sem, KRS 50 138 sem"
".JUR104-1/16/04/27 for*",2016-04-27,09:15,2016-04-27,12:00,"Nielsen Kari Lunøe","KRS H1 058 aud"
".JUR104-1 arb.gr*(16.17)*",2016-04-28,09:15,2016-04-28,13:00,"Nielsen Kari Lunøe","KRS 48 007 A sem, KRS 50 115d sem, KRS 50 138 sem"
".JUR104-1/16/05/04 for*",2016-05-04,09:15,2016-05-04,12:00,"Nielsen Kari Lunøe","KRS H1 058 aud"
".JUR104-1/16/05/04 stor.gr.1*",2016-05-06,09:15,2016-05-06,11:00,"Nielsen Kari Lunøe","KRS B2 001 aud"
".JUR104-1/16/05/04 stor.gr.2*",2016-05-06,11:15,2016-05-06,13:00,"Nielsen Kari Lunøe","KRS B2 001 aud"
".JUR104-1/16/05/11 for*",2016-05-11,09:15,2016-05-11,12:00,"Nielsen Kari Lunøe","KRS H1 058 aud"
".JUR104-1 arb.gr*(19) 2xaud* ",2016-05-12,09:15,2016-05-12,13:00,"Nielsen Kari Lunøe","KRS B2 006 aud, KRS H1 058 aud, KRS F1 024 aud/gr"
".JUR104-1/16/05/18 for*",2016-05-18,09:15,2016-05-18,12:00,"Nielsen Kari Lunøe","KRS H1 058 aud"
