Subject,Start Date,Start Time,End Date,End Time,Description,Location
".JUR110-1/16/01/08 for 1*",2016-01-08,10:15,2016-01-08,12:00,"Nesland Erik M.","KRS B2 006 aud"
".JUR110-1/16/01/08 for 2*",2016-01-08,13:15,2016-01-08,15:00,"Nesland Erik M.","KRS B2 006 aud"
".JUR110-1 arb.gr* (u 2.4)*",2016-01-11,09:15,2016-01-11,13:00,"","KRS 48 007 A sem, KRS 50 115d sem, KRS 50 138 sem"
".JUR110-1/16/01/15 for 1*",2016-01-15,10:15,2016-01-15,12:00,"Nesland Erik M.","KRS B2 006 aud"
".JUR110-1/16/01/15 for 2*",2016-01-15,13:15,2016-01-15,15:00,"Nesland Erik M.","KRS B2 006 aud"
".JUR110-1/16/01/18 for 1*",2016-01-18,10:15,2016-01-18,12:00,"Nesland Erik M.","KRS B2 002 aud"
".JUR110-1/16/01/18 for 2*",2016-01-18,13:15,2016-01-18,15:00,"Nesland Erik M.","KRS B2 002 aud"
".JUR110-1 arb.gr* (u 3)*",2016-01-19,09:15,2016-01-19,13:00,"","KRS 48 007 A sem, KRS 50 115d sem, KRS 50 138 sem"
".JUR110-1/16/01/21 stor.gr.1*",2016-01-21,09:15,2016-01-21,11:00,"","KRS B2 006 aud"
".JUR110-1/16/01/21 stor.gr.2*",2016-01-21,11:15,2016-01-21,13:00,"","KRS B2 006 aud"
".JUR110-1 arb.gr* (u 2.4)*",2016-01-25,09:15,2016-01-25,13:00,"","KRS 48 007 A sem, KRS 50 115d sem, KRS 50 138 sem"
".JUR110-1/16/01/29 for 1*",2016-01-29,10:15,2016-01-29,12:00,"Nesland Erik M.","KRS B2 006 aud"
".JUR110-1/16/01/29 for 2*",2016-01-29,13:15,2016-01-29,15:00,"Nesland Erik M.","KRS B2 006 aud"
".JUR110-1/16/01/01 for 1*",2016-02-01,10:15,2016-02-01,12:00,"Nesland Erik M.","KRS B2 006 aud"
".JUR110-1/16/01/01 for 2*",2016-02-01,13:15,2016-02-01,15:00,"Nesland Erik M.","KRS B2 006 aud"
".JUR110-1 arb.gr* (u 5)*",2016-02-05,09:15,2016-02-05,13:00,"","KRS 48 007 A sem, KRS 50 115d sem, KRS 50 138 sem"
".JUR110-1/16/02/12 stor.gr.1*",2016-02-12,09:15,2016-02-12,11:00,"","KRS B2 006 aud"
".JUR110-1/16/02/12 stor.gr.2*",2016-02-12,11:15,2016-02-12,13:00,"","KRS B2 006 aud"
".JUR203-1/16/02/23 for* ",2016-02-23,10:15,2016-02-23,12:00,"Nesland Erik M.","KRS B2 001 aud"
".JUR203-1 arb.gr* (u 8.10.13)*",2016-02-24,09:15,2016-02-24,13:00,"Nesland Erik M.","KRS 48 007 A sem, KRS 50 115d sem, KRS 50 138 sem"
".JUR203-1/16/03/01 for* ",2016-03-01,10:15,2016-03-01,14:00,"Nesland Erik M.","KRS B2 001 aud"
".JUR203-1/16/03/02 for* ",2016-03-02,10:15,2016-03-02,14:00,"Nesland Erik M.","KRS I1 066 aud"
".JUR203-1 arb.gr* (u 8.10.13)*",2016-03-04,09:15,2016-03-04,13:00,"Nesland Erik M.","KRS 48 007 A sem, KRS 50 115d sem, KRS 50 138 sem"
".JUR203-1/16/03/08 for*",2016-03-08,10:15,2016-03-08,14:00,"Nesland Erik M.","KRS H1 058 aud"
