Subject,Start Date,Start Time,End Date,End Time,Description,Location
".TFL119-1/TFL102 for*",2016-01-12,15:15,2016-01-12,18:00,"Moe Carl-Erik","KRS F1 022 sem"
".IS-208-1 for*",2016-01-13,09:15,2016-01-13,11:00,"Garmann-Johnsen Niels Frederik","KRS D3 054 sem"
".TFL119-1 gr 16/01/13*",2016-01-13,14:15,2016-01-13,16:00,"Moe Carl-Erik","KRS 47 101, KRS 47 116, KRS 47 102, KRS 47 103, KRS 47 104, KRS 47 107, KRS 47 108, KRS 47 109, KRS 47 110, KRS 47 117, KRS 47 120, KRS 47 121, KRS 47 122"
".IS-113-1/IS-417-1 for 8 t partallsuker",2016-01-15,08:15,2016-01-15,16:00,"Sæbø Øystein","KRS HU 062 sem"
".IS-208-1 for*",2016-01-20,09:15,2016-01-20,11:00,"Garmann-Johnsen Niels Frederik","KRS D3 054 sem"
".IS-208-1 lab*",2016-01-20,11:15,2016-01-20,14:00,"Garmann-Johnsen Niels Frederik","KRS D3 014 pclab"
".TFL119-1 gr 16/01/13*",2016-01-20,14:15,2016-01-20,16:00,"Moe Carl-Erik","KRS 47 101, KRS 47 116, KRS 47 102, KRS 47 103, KRS 47 104, KRS 47 107, KRS 47 108, KRS 47 109, KRS 47 110, KRS 47 117, KRS 47 120, KRS 47 121, KRS 47 122"
".IS-113-1/IS-417-1 for 8 t oddetallsuker",2016-01-22,08:15,2016-01-22,16:00,"Sæbø Øystein","KRS HU 062 sem"
".TFL119-1/TFL102 for*",2016-01-26,15:15,2016-01-26,18:00,"Moe Carl-Erik","KRS F1 022 sem"
".IS-208-1 for*",2016-01-27,09:15,2016-01-27,11:00,"Garmann-Johnsen Niels Frederik","KRS D3 054 sem"
".TFL119-1 gr 16/01/13*",2016-01-27,14:15,2016-01-27,16:00,"Moe Carl-Erik","KRS 47 101, KRS 47 116, KRS 47 102, KRS 47 103, KRS 47 104, KRS 47 107, KRS 47 108, KRS 47 109, KRS 47 110, KRS 47 117, KRS 47 120, KRS 47 121, KRS 47 122"
".IS-113-1/IS-417-1 for 8 t partallsuker",2016-01-29,08:15,2016-01-29,16:00,"Sæbø Øystein","KRS HU 062 sem"
".IS-208-1 for*",2016-02-03,09:15,2016-02-03,11:00,"Garmann-Johnsen Niels Frederik","KRS D3 054 sem"
".IS-208-1 lab*",2016-02-03,11:15,2016-02-03,14:00,"Garmann-Johnsen Niels Frederik","KRS D3 014 pclab"
