Subject,Start Date,Start Time,End Date,End Time,Description,Location
".SE-100/SE-110 forel uke 1 (B2 003)",2016-01-06,09:15,2016-01-06,12:00,"Jacobsen Gorm","KRS B2 003 aud"
".SE-100/SE-110 gr",2016-01-06,12:15,2016-01-06,14:00,"Jacobsen Gorm","KRS 50 110, KRS 50 114a, KRS 50 114b, KRS 50 115a, KRS 50 115b, KRS 50 115c, KRS 50 115e, KRS 50 115f, KRS 50 116a, KRS 50 116c, KRS 50 116d, KRS 50 116e, KRS 50 136, KRS 50 114c, KRS 50 116b, KRS 50 116f"
".SE-100/SE-110 forel uke 2 (B3 007 08:15-11:00)",2016-01-13,08:15,2016-01-13,11:00,"Jacobsen Gorm","KRS B3 007 aud"
".SE-100/SE-110 gr",2016-01-13,12:15,2016-01-13,14:00,"Jacobsen Gorm","KRS 50 110, KRS 50 114a, KRS 50 114b, KRS 50 115a, KRS 50 115b, KRS 50 115c, KRS 50 115e, KRS 50 115f, KRS 50 116a, KRS 50 116c, KRS 50 116d, KRS 50 116e, KRS 50 136, KRS 50 114c, KRS 50 116b, KRS 50 116f"
".JU-200-1 forel",2016-01-14,14:15,2016-01-14,17:00,"Stangeland Rune","KRS B3 008 aud"
".SE-210-1 forel (minus uke 13)",2016-01-18,12:15,2016-01-18,14:00,"Torjesen Stina","KRS HU 023 sem"
".SE-100/SE-110  forel uke 3.6.7 - OPPSTART 10:15 (B3 007)",2016-01-20,10:15,2016-01-20,12:00,"Jacobsen Gorm","KRS B3 007 aud"
".SE-100/SE-110 gr",2016-01-20,12:15,2016-01-20,14:00,"Jacobsen Gorm","KRS 50 110, KRS 50 114a, KRS 50 114b, KRS 50 115a, KRS 50 115b, KRS 50 115c, KRS 50 115e, KRS 50 115f, KRS 50 116a, KRS 50 116c, KRS 50 116d, KRS 50 116e, KRS 50 136, KRS 50 114c, KRS 50 116b, KRS 50 116f"
".JU-200-1 forel",2016-01-21,14:15,2016-01-21,17:00,"Stangeland Rune","KRS B3 008 aud"
".SE-210-1 forel (minus uke 13)",2016-01-25,12:15,2016-01-25,14:00,"Torjesen Stina","KRS HU 023 sem"
".SE-100/SE-110 forel uke 4.5.16 (B1 001)",2016-01-27,09:15,2016-01-27,12:00,"Jacobsen Gorm","KRS B1 001 aud"
".SE-100/SE-110 gr",2016-01-27,12:15,2016-01-27,14:00,"Jacobsen Gorm","KRS 50 110, KRS 50 114a, KRS 50 114b, KRS 50 115a, KRS 50 115b, KRS 50 115c, KRS 50 115e, KRS 50 115f, KRS 50 116a, KRS 50 116c, KRS 50 116d, KRS 50 116e, KRS 50 136, KRS 50 114c, KRS 50 116b, KRS 50 116f"
".JU-200-1 forel",2016-01-28,14:15,2016-01-28,17:00,"Stangeland Rune","KRS B3 008 aud"
".SE-210-1 forel (minus uke 13)",2016-02-01,12:15,2016-02-01,14:00,"Torjesen Stina","KRS HU 023 sem"
".SE-100/SE-110 forel uke 4.5.16 (B1 001)",2016-02-03,09:15,2016-02-03,12:00,"Jacobsen Gorm","KRS B1 001 aud"
".SE-100/SE-110 gr",2016-02-03,12:15,2016-02-03,14:00,"Jacobsen Gorm","KRS 50 110, KRS 50 114a, KRS 50 114b, KRS 50 115a, KRS 50 115b, KRS 50 115c, KRS 50 115e, KRS 50 115f, KRS 50 116a, KRS 50 116c, KRS 50 116d, KRS 50 116e, KRS 50 136, KRS 50 114c, KRS 50 116b, KRS 50 116f"
