Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-SPA106",2016-01-07,09:15,2016-01-07,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA109",2016-01-08,09:15,2016-01-08,12:00,"","KRS F2 007 sem"
"-SPA106",2016-01-11,09:15,2016-01-11,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA109",2016-01-13,11:15,2016-01-13,14:00,"","KRS F2 007 sem"
"-SPA106",2016-01-14,09:15,2016-01-14,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA109",2016-01-15,09:15,2016-01-15,12:00,"","KRS F2 007 sem"
"-SPA106",2016-01-18,09:15,2016-01-18,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA109",2016-01-20,11:15,2016-01-20,14:00,"","KRS F2 007 sem"
"-SPA106",2016-01-21,09:15,2016-01-21,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA109",2016-01-22,09:15,2016-01-22,12:00,"","KRS F2 007 sem"
"-SPA106",2016-01-25,09:15,2016-01-25,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA109",2016-01-27,11:15,2016-01-27,14:00,"","KRS F2 007 sem"
"-SPA106",2016-01-28,09:15,2016-01-28,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA109",2016-01-29,09:15,2016-01-29,12:00,"","KRS F2 007 sem"
"-SPA106",2016-02-01,09:15,2016-02-01,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA109",2016-02-03,11:15,2016-02-03,14:00,"","KRS F2 007 sem"
"-SPA106",2016-02-04,09:15,2016-02-04,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA109",2016-02-05,09:15,2016-02-05,12:00,"","KRS F2 007 sem"
"-SPA106",2016-02-08,09:15,2016-02-08,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA109",2016-02-10,11:15,2016-02-10,14:00,"","KRS F2 007 sem"
"-SPA106",2016-02-11,09:15,2016-02-11,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA109",2016-02-12,09:15,2016-02-12,12:00,"","KRS F2 007 sem"
"-SPA106",2016-02-15,09:15,2016-02-15,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA109",2016-02-17,11:15,2016-02-17,14:00,"","KRS F2 007 sem"
"-SPA106",2016-02-18,09:15,2016-02-18,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA109",2016-02-19,09:15,2016-02-19,12:00,"","KRS F2 007 sem"
"-SPA106",2016-02-22,09:15,2016-02-22,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA109",2016-02-24,11:15,2016-02-24,14:00,"","KRS F2 007 sem"
"-SPA106",2016-02-25,09:15,2016-02-25,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA109",2016-02-26,09:15,2016-02-26,12:00,"","KRS F2 007 sem"
"-SPA106",2016-03-14,09:15,2016-03-14,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA106",2016-03-17,09:15,2016-03-17,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA109",2016-03-18,09:15,2016-03-18,12:00,"","KRS F2 007 sem"
"-SPA109",2016-03-30,11:15,2016-03-30,14:00,"","KRS F2 007 sem"
"-SPA106",2016-03-31,09:15,2016-03-31,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA109",2016-04-01,09:15,2016-04-01,12:00,"","KRS F2 007 sem"
"-SPA106",2016-04-04,09:15,2016-04-04,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA109",2016-04-06,11:15,2016-04-06,14:00,"","KRS F2 007 sem"
"-SPA106",2016-04-07,09:15,2016-04-07,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA109",2016-04-08,09:15,2016-04-08,12:00,"","KRS F2 007 sem"
"-SPA106",2016-04-11,09:15,2016-04-11,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA109",2016-04-13,11:15,2016-04-13,14:00,"","KRS F2 007 sem"
"-SPA106",2016-04-14,09:15,2016-04-14,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA109",2016-04-15,09:15,2016-04-15,12:00,"","KRS F2 007 sem"
"-SPA106",2016-04-18,09:15,2016-04-18,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA109",2016-04-20,11:15,2016-04-20,14:00,"","KRS F2 007 sem"
"-SPA106",2016-04-21,09:15,2016-04-21,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA109",2016-04-22,09:15,2016-04-22,12:00,"","KRS F2 007 sem"
"-SPA106",2016-04-25,09:15,2016-04-25,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA109",2016-04-27,11:15,2016-04-27,14:00,"","KRS F2 007 sem"
"-SPA106",2016-04-28,09:15,2016-04-28,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA109",2016-04-29,09:15,2016-04-29,12:00,"","KRS F2 007 sem"
"-SPA106",2016-05-02,09:15,2016-05-02,12:00,"Drange Eli-Marie Danbolt","KRS F2 007 sem"
"-SPA109",2016-05-04,11:15,2016-05-04,14:00,"","KRS F2 007 sem"
"-SPA109",2016-05-06,09:15,2016-05-06,12:00,"","KRS F2 007 sem"
