Subject,Start Date,Start Time,End Date,End Time,Description,Location
".TFL102-1 gr*",2016-01-11,14:15,2016-01-11,16:00,"Moe Carl-Erik","KRS 47 101, KRS 47 116, KRS 47 102, KRS 47 103, KRS 47 104, KRS 47 107, KRS 47 108, KRS 47 109, KRS 47 110, KRS 47 117, KRS 47 120, KRS 47 121, KRS 47 122"
".TFL102-1/TLF119 for*",2016-01-12,15:15,2016-01-12,18:00,"Moe Carl-Erik","KRS F1 022 sem"
".SV-301-1 sem",2016-01-13,09:15,2016-01-13,16:00,"Lysgård Hans Kjetil","KRS 46 308 sem"
".SE-210-1 for minus uke 13*",2016-01-18,12:15,2016-01-18,14:00,"Torjesen Stina","KRS HU 023 sem"
".TFL102-1 gr*",2016-01-18,14:15,2016-01-18,16:00,"Moe Carl-Erik","KRS 47 101, KRS 47 116, KRS 47 102, KRS 47 103, KRS 47 104, KRS 47 107, KRS 47 108, KRS 47 109, KRS 47 110, KRS 47 117, KRS 47 120, KRS 47 121, KRS 47 122"
".TFL102-1/TLF119 for*",2016-01-19,15:15,2016-01-19,18:00,"Moe Carl-Erik","KRS F1 022 sem"
".SV-301-1 sem",2016-01-20,09:15,2016-01-20,16:00,"Lysgård Hans Kjetil","KRS 46 308 sem"
".SE-210-1 for minus uke 13*",2016-01-25,12:15,2016-01-25,14:00,"Torjesen Stina","KRS HU 023 sem"
".TFL102-1 gr*",2016-01-25,14:15,2016-01-25,16:00,"Moe Carl-Erik","KRS 47 101, KRS 47 116, KRS 47 102, KRS 47 103, KRS 47 104, KRS 47 107, KRS 47 108, KRS 47 109, KRS 47 110, KRS 47 117, KRS 47 120, KRS 47 121, KRS 47 122"
".TFL102-1/TLF119 for*",2016-01-26,15:15,2016-01-26,18:00,"Moe Carl-Erik","KRS F1 022 sem"
".SV-301-1 sem",2016-01-27,09:15,2016-01-27,16:00,"Lysgård Hans Kjetil","KRS 46 308 sem"
".SE-210-1 for minus uke 13*",2016-02-01,12:15,2016-02-01,14:00,"Torjesen Stina","KRS HU 023 sem"
".TFL102-1 gr*",2016-02-01,14:15,2016-02-01,16:00,"Moe Carl-Erik","KRS 47 101, KRS 47 116, KRS 47 102, KRS 47 103, KRS 47 104, KRS 47 107, KRS 47 108, KRS 47 109, KRS 47 110, KRS 47 117, KRS 47 120, KRS 47 121, KRS 47 122"
".TFL102-1/TLF119 for*",2016-02-02,15:15,2016-02-02,18:00,"Moe Carl-Erik","KRS F1 022 sem"
".SE-210-1 for minus uke 13*",2016-02-08,12:15,2016-02-08,14:00,"Torjesen Stina","KRS HU 023 sem"
".TFL102-1 gr*",2016-02-08,14:15,2016-02-08,16:00,"Moe Carl-Erik","KRS 47 101, KRS 47 116, KRS 47 102, KRS 47 103, KRS 47 104, KRS 47 107, KRS 47 108, KRS 47 109, KRS 47 110, KRS 47 117, KRS 47 120, KRS 47 121, KRS 47 122"
".TFL102-1/TLF119 for*",2016-02-09,15:15,2016-02-09,18:00,"Moe Carl-Erik","KRS F1 022 sem"
".SV-301-1 sem",2016-02-10,09:15,2016-02-10,16:00,"Lysgård Hans Kjetil","KRS 46 308 sem"
".SE-210-1 for minus uke 13*",2016-02-15,12:15,2016-02-15,14:00,"Torjesen Stina","KRS HU 023 sem"
".TFL102-1 gr*",2016-02-15,14:15,2016-02-15,16:00,"Moe Carl-Erik","KRS 47 101, KRS 47 116, KRS 47 102, KRS 47 103, KRS 47 104, KRS 47 107, KRS 47 108, KRS 47 109, KRS 47 110, KRS 47 117, KRS 47 120, KRS 47 121, KRS 47 122"
".TFL102-1/TLF119 for*",2016-02-16,15:15,2016-02-16,18:00,"Moe Carl-Erik","KRS F1 022 sem"
".TFL102-1 gr*",2016-02-22,14:15,2016-02-22,16:00,"Moe Carl-Erik","KRS 47 101, KRS 47 116, KRS 47 102, KRS 47 103, KRS 47 104, KRS 47 107, KRS 47 108, KRS 47 109, KRS 47 110, KRS 47 117, KRS 47 120, KRS 47 121, KRS 47 122"
".TFL102-1/TLF119 for*",2016-02-23,15:15,2016-02-23,18:00,"Moe Carl-Erik","KRS F1 022 sem"
".SE-210-1 for minus uke 13*",2016-02-29,12:15,2016-02-29,14:00,"Torjesen Stina","KRS HU 023 sem"
".TFL102-1 gr*",2016-02-29,14:15,2016-02-29,16:00,"Moe Carl-Erik","KRS 47 101, KRS 47 116, KRS 47 102, KRS 47 103, KRS 47 104, KRS 47 107, KRS 47 108, KRS 47 109, KRS 47 110, KRS 47 117, KRS 47 120, KRS 47 121, KRS 47 122"
".TFL102-1/TLF119 for*",2016-03-01,15:15,2016-03-01,18:00,"Moe Carl-Erik","KRS F1 022 sem"
".TFL102-1 gr*",2016-03-07,14:15,2016-03-07,16:00,"Moe Carl-Erik","KRS 47 101, KRS 47 116, KRS 47 102, KRS 47 103, KRS 47 104, KRS 47 107, KRS 47 108, KRS 47 109, KRS 47 110, KRS 47 117, KRS 47 120, KRS 47 121, KRS 47 122"
".TFL102-1/TLF119 for*",2016-03-08,15:15,2016-03-08,18:00,"Moe Carl-Erik","KRS F1 022 sem"
".SV-301-1 sem",2016-03-09,09:15,2016-03-09,16:00,"Lysgård Hans Kjetil","KRS 46 308 sem"
".SE-210-1 for minus uke 13*",2016-03-14,12:15,2016-03-14,14:00,"Torjesen Stina","KRS HU 023 sem"
".TFL102-1 gr*",2016-03-14,14:15,2016-03-14,16:00,"Moe Carl-Erik","KRS 47 101, KRS 47 116, KRS 47 102, KRS 47 103, KRS 47 104, KRS 47 107, KRS 47 108, KRS 47 109, KRS 47 110, KRS 47 117, KRS 47 120, KRS 47 121, KRS 47 122"
".TFL102-1/TLF119 for*",2016-03-15,15:15,2016-03-15,18:00,"Moe Carl-Erik","KRS F1 022 sem"
".TFL102-1 gr*",2016-03-28,14:15,2016-03-28,16:00,"Moe Carl-Erik","KRS 47 101, KRS 47 116, KRS 47 102, KRS 47 103, KRS 47 104, KRS 47 107, KRS 47 108, KRS 47 109, KRS 47 110, KRS 47 117, KRS 47 120, KRS 47 121, KRS 47 122"
".TFL102-1/TLF119 for*",2016-03-29,15:15,2016-03-29,18:00,"Moe Carl-Erik","KRS F1 022 sem"
".SE-210-1 for minus uke 13*",2016-04-04,12:15,2016-04-04,14:00,"Torjesen Stina","KRS HU 023 sem"
".TFL102-1 gr*",2016-04-04,14:15,2016-04-04,16:00,"Moe Carl-Erik","KRS 47 101, KRS 47 116, KRS 47 102, KRS 47 103, KRS 47 104, KRS 47 107, KRS 47 108, KRS 47 109, KRS 47 110, KRS 47 117, KRS 47 120, KRS 47 121, KRS 47 122"
".TFL102-1/TLF119 for*",2016-04-05,15:15,2016-04-05,18:00,"Moe Carl-Erik","KRS F1 022 sem"
".SE-210-1 for minus uke 13*",2016-04-11,12:15,2016-04-11,14:00,"Torjesen Stina","KRS HU 023 sem"
".TFL102-1 gr*",2016-04-11,14:15,2016-04-11,16:00,"Moe Carl-Erik","KRS 47 101, KRS 47 116, KRS 47 102, KRS 47 103, KRS 47 104, KRS 47 107, KRS 47 108, KRS 47 109, KRS 47 110, KRS 47 117, KRS 47 120, KRS 47 121, KRS 47 122"
".TFL102-1/TLF119 for*",2016-04-12,15:15,2016-04-12,18:00,"Moe Carl-Erik","KRS F1 022 sem"
".SE-210-1 for minus uke 13*",2016-04-18,12:15,2016-04-18,14:00,"Torjesen Stina","KRS HU 023 sem"
".TFL102-1 gr*",2016-04-18,14:15,2016-04-18,16:00,"Moe Carl-Erik","KRS 47 101, KRS 47 116, KRS 47 102, KRS 47 103, KRS 47 104, KRS 47 107, KRS 47 108, KRS 47 109, KRS 47 110, KRS 47 117, KRS 47 120, KRS 47 121, KRS 47 122"
".TFL102-1/TLF119 for*",2016-04-19,15:15,2016-04-19,18:00,"Moe Carl-Erik","KRS F1 022 sem"
".SV-301-1 sem",2016-04-20,09:15,2016-04-20,16:00,"Lysgård Hans Kjetil","KRS 46 308 sem"
".TFL102-1 gr*",2016-04-25,14:15,2016-04-25,16:00,"Moe Carl-Erik","KRS 47 101, KRS 47 116, KRS 47 102, KRS 47 103, KRS 47 104, KRS 47 107, KRS 47 108, KRS 47 109, KRS 47 110, KRS 47 117, KRS 47 120, KRS 47 121, KRS 47 122"
".TFL102-1/TLF119 for*",2016-04-26,15:15,2016-04-26,18:00,"Moe Carl-Erik","KRS F1 022 sem"
".TFL102-1 gr*",2016-05-02,14:15,2016-05-02,16:00,"Moe Carl-Erik","KRS 47 101, KRS 47 116, KRS 47 102, KRS 47 103, KRS 47 104, KRS 47 107, KRS 47 108, KRS 47 109, KRS 47 110, KRS 47 117, KRS 47 120, KRS 47 121, KRS 47 122"
".TFL102-1/TLF119 for*",2016-05-03,15:15,2016-05-03,18:00,"Moe Carl-Erik","KRS F1 022 sem"
