Subject,Start Date,Start Time,End Date,End Time,Description,Location
"SEX401-G 18.01",2016-01-18,10:15,2016-01-18,17:00,"Almås, Elsa, Benestad, Esben Esther Pirelli, Pristed, Rikke","GRM C4 090 sem*, GRM C4 091 sem*"
"SEX401-G 19.01",2016-01-19,09:15,2016-01-19,17:00,"Almås, Elsa, Benestad, Esben Esther Pirelli, Pristed, Rikke","GRM A2 021 sem"
"SEX401-G 20.01",2016-01-20,09:15,2016-01-20,18:00,"Almås, Elsa, Benestad, Esben Esther Pirelli, Pristed, Rikke","GRM F 204 sem"
"SEX401-G 21.01",2016-01-21,09:15,2016-01-21,18:00,"Almås, Elsa, Benestad, Esben Esther Pirelli, Pristed, Rikke","GRM D3 053 sem"
"SEX401-G 22.01",2016-01-22,09:15,2016-01-22,13:00,"Almås, Elsa, Benestad, Esben Esther Pirelli, Pristed, Rikke","GRM D3 053 sem"
"SEX401-G 14.03",2016-03-14,10:15,2016-03-14,16:00,"Almås, Elsa, Benestad, Esben Esther Pirelli, Pristed, Rikke","GRM A3 027 sem VER"
"SEX401-G 15.03",2016-03-15,09:15,2016-03-15,18:00,"Almås, Elsa, Benestad, Esben Esther Pirelli, Pristed, Rikke","GRM A3 027 sem VER"
"SEX401-G 16.03",2016-03-16,09:15,2016-03-16,17:00,"Almås, Elsa, Benestad, Esben Esther Pirelli, Pristed, Rikke","GRM A3 027 sem VER"
"SEX401-G 17.03",2016-03-17,09:15,2016-03-17,17:00,"Almås, Elsa, Benestad, Esben Esther Pirelli, Pristed, Rikke","GRM A3 027 sem VER"
"SEX401-G 18.03",2016-03-18,09:15,2016-03-18,13:00,"Almås, Elsa, Benestad, Esben Esther Pirelli, Pristed, Rikke","GRM A3 027 sem VER"
"SEX401-G 30.05",2016-05-30,09:15,2016-05-30,15:00,"Almås, Elsa, Benestad, Esben Esther Pirelli, Pristed, Rikke","GRM A3 027 sem VER"
"SEX401-G 31.05",2016-05-31,09:15,2016-05-31,16:00,"Almås, Elsa, Benestad, Esben Esther Pirelli, Pristed, Rikke","GRM A3 027 sem VER"
"SEX401-G 01.06",2016-06-01,09:15,2016-06-01,18:00,"Almås, Elsa, Benestad, Esben Esther Pirelli, Pristed, Rikke","GRM A3 027 sem VER"
"SEX401-G 02.06",2016-06-02,09:15,2016-06-02,16:00,"Almås, Elsa, Benestad, Esben Esther Pirelli, Pristed, Rikke","GRM A3 025 sem VER"
"SEX401-G 03.06",2016-06-03,10:15,2016-06-03,13:00,"Almås, Elsa, Benestad, Esben Esther Pirelli, Pristed, Rikke","GRM A3 027 sem VER"
