Subject,Start Date,Start Time,End Date,End Time,Description,Location
".ME-417-1 forel/sem",2016-01-18,09:15,2016-01-18,12:00,"Blekesaune Morten","KRS H1 022 sem"
".SV-402-1 forel uke 3.9.11 09-12",2016-01-19,09:15,2016-01-19,12:00,"Sagatun Solveig, Støkken Anne Marie","KRS HU 022 sem"
".SV-402-1 forel uke 3.9.11 (13:15--16:00)",2016-01-19,13:15,2016-01-19,16:00,"Sagatun Solveig, Støkken Anne Marie","KRS HU 022 sem"
".SO-406-1 forel uke 3",2016-01-20,09:15,2016-01-20,12:00,"Sagatun Solveig","KRS HU 023 sem"
".ME-417-1 forel/sem",2016-01-25,09:15,2016-01-25,12:00,"Blekesaune Morten","KRS H1 022 sem"
".SV-402-1 forel uke 4",2016-01-26,09:15,2016-01-26,12:00,"Sagatun Solveig, Støkken Anne Marie","KRS HU 022 sem"
".SO-406-1/PSY905-G forel uke 4 ons 1",2016-01-27,09:15,2016-01-27,12:00,"Sagatun Solveig","KRS HU 023 sem"
".SO-406-1/PSY905-G forel uke 4 ons 2",2016-01-27,13:15,2016-01-27,16:00,"Sagatun Solveig","KRS HU 023 sem"
".SO-406-1/PSY905-G forel uke 4 tors 1",2016-01-28,09:15,2016-01-28,12:00,"Sagatun Solveig","KRS HU 023 sem"
".SO-406-1 forel uke 4 ",2016-01-28,13:15,2016-01-28,16:00,"Sagatun Solveig","KRS HU 023 sem"
".ME-417-1 forel/sem",2016-02-01,09:15,2016-02-01,12:00,"Blekesaune Morten","KRS H1 022 sem"
".ME-417-1 lab*",2016-02-01,13:15,2016-02-01,16:00,"Blekesaune Morten","KRS H1 024 pclab"
".SV-402-1 forel uke 5.6.7",2016-02-02,09:15,2016-02-02,12:00,"Sagatun Solveig, Støkken Anne Marie","KRS HU 022 sem"
".SO-406-1 forel uke 5 ",2016-02-03,09:15,2016-02-03,12:00,"Sagatun Solveig","KRS HU 023 sem"
".SO-406-1 forel uke 5 ",2016-02-03,13:15,2016-02-03,16:00,"Sagatun Solveig","KRS HU 023 sem"
".ME-417-1 forel/sem",2016-02-08,09:15,2016-02-08,12:00,"Blekesaune Morten","KRS H1 022 sem"
".SV-402-1 forel uke 5.6.7",2016-02-09,09:15,2016-02-09,12:00,"Sagatun Solveig, Støkken Anne Marie","KRS HU 022 sem"
".SV-402-1 forel uke 6 ettermiddag",2016-02-09,13:15,2016-02-09,16:00,"Sagatun Solveig, Støkken Anne Marie","KRS HU 022 sem"
".SO-406-1 forel uke 6 ",2016-02-10,09:15,2016-02-10,12:00,"Sagatun Solveig","KRS HU 023 sem"
".SO-406-1 forel uke 6 ",2016-02-10,13:15,2016-02-10,16:00,"Sagatun Solveig","KRS HU 023 sem"
".ME-417-1 forel/sem",2016-02-15,09:15,2016-02-15,12:00,"Blekesaune Morten","KRS H1 022 sem"
".ME-417-1 lab*",2016-02-15,13:15,2016-02-15,16:00,"Blekesaune Morten","KRS H1 024 pclab"
".SO-406-1/PSY905-G forel uke 7 tirs",2016-02-16,09:15,2016-02-16,12:00,"Sagatun Solveig","KRS HU 023 sem"
".SV-402-1 forel uke 5.6.7",2016-02-16,09:15,2016-02-16,12:00,"Sagatun Solveig, Støkken Anne Marie","KRS HU 022 sem"
".SO-406-1/PSY905-G forel uke 7 ons ",2016-02-17,09:15,2016-02-17,12:00,"Sagatun Solveig","KRS HU 023 sem"
".SO-406-1 forel uke 7 ",2016-02-17,13:15,2016-02-17,16:00,"Sagatun Solveig","KRS HU 023 sem"
".ME-417-1 forel/sem",2016-02-29,09:15,2016-02-29,12:00,"Blekesaune Morten","KRS H1 022 sem"
".ME-417-1 lab*",2016-02-29,13:15,2016-02-29,16:00,"Blekesaune Morten","KRS H1 024 pclab"
".SV-402-1 forel uke 3.9.11 09-12",2016-03-01,09:15,2016-03-01,12:00,"Sagatun Solveig, Støkken Anne Marie","KRS HU 022 sem"
".SV-402-1 forel uke 3.9.11 (13:15--16:00)",2016-03-01,13:15,2016-03-01,16:00,"Sagatun Solveig, Støkken Anne Marie","KRS HU 022 sem"
".ME-417-1 forel/sem",2016-03-07,09:15,2016-03-07,12:00,"Blekesaune Morten","KRS H1 022 sem"
".ME-417-1 forel/sem",2016-03-14,09:15,2016-03-14,12:00,"Blekesaune Morten","KRS H1 022 sem"
".ME-417-1 lab*",2016-03-14,13:15,2016-03-14,16:00,"Blekesaune Morten","KRS H1 024 pclab"
".SV-402-1 forel uke 3.9.11 09-12",2016-03-15,09:15,2016-03-15,12:00,"Sagatun Solveig, Støkken Anne Marie","KRS HU 022 sem"
".SV-402-1 forel uke 3.9.11 (13:15--16:00)",2016-03-15,13:15,2016-03-15,16:00,"Sagatun Solveig, Støkken Anne Marie","KRS HU 022 sem"
