Subject,Start Date,Start Time,End Date,End Time,Description,Location
".SV-134-1 forel torsd",2016-01-07,12:15,2016-01-07,15:00,"Skarpenes Ove","KRS B2 003 aud"
".SV-134-1 gr torsd",2016-01-07,15:15,2016-01-07,17:00,"Skarpenes Ove","KRS 47 101, KRS 47 116, KRS 47 102, KRS 47 103, KRS 47 104, KRS 47 105, KRS 47 107, KRS 47 108, KRS 47 109, KRS 47 110, KRS 47 117, KRS 47 120, KRS 47 121, KRS 47 122"
".SV-211-1 forel uke 1-51 (B3 008)",2016-01-08,09:15,2016-01-08,13:00,"Ryen Anne","KRS B3 008 aud"
".SV-211-1 gr",2016-01-08,14:15,2016-01-08,16:00,"Ryen Anne","KRS IK 023, KRS IK 028, KRS IU 057, KRS IU 059, KRS I1 054, KRS I1 056, KRS IU 056, KRS IU 054"
".SV-134-1 forel tirsd",2016-01-12,12:15,2016-01-12,15:00,"Skarpenes Ove","KRS B3 007 aud"
".SV-134-1 gr tirsd",2016-01-12,15:15,2016-01-12,17:00,"Skarpenes Ove","KRS 47 101, KRS 47 116, KRS 47 102, KRS 47 103, KRS 47 104, KRS 47 105, KRS 47 107, KRS 47 108, KRS 47 109, KRS 47 110, KRS 47 117, KRS 47 120, KRS 47 121, KRS 47 122"
".SV-210-1 forel uke 2-5 ons",2016-01-13,11:15,2016-01-13,14:00,"Halvorsen Anne, Kvamme Ingunn, Olsen Torunn S.","KRS B2 003 aud"
".SV-210-1 gr uke 2-5 onsd",2016-01-13,14:15,2016-01-13,16:00,"Halvorsen Anne, Kvamme Ingunn, Olsen Torunn S.","KRS 50 137a, KRS 50 137b, KRS 50 140, KRS 50 141, KRS 50 142, KRS 50 144, KRS 50 145, KRS 50 148, KRS 50 149, KRS 50 150"
".SV-134-1 forel torsd",2016-01-14,12:15,2016-01-14,15:00,"Skarpenes Ove","KRS B2 003 aud"
".SV-134-1 gr torsd",2016-01-14,15:15,2016-01-14,17:00,"Skarpenes Ove","KRS 47 101, KRS 47 116, KRS 47 102, KRS 47 103, KRS 47 104, KRS 47 105, KRS 47 107, KRS 47 108, KRS 47 109, KRS 47 110, KRS 47 117, KRS 47 120, KRS 47 121, KRS 47 122"
".SV-211-1 forel uke 1-51 (B3 008)",2016-01-15,09:15,2016-01-15,13:00,"Ryen Anne","KRS B3 008 aud"
".SV-211-1 gr",2016-01-15,14:15,2016-01-15,16:00,"Ryen Anne","KRS IK 023, KRS IK 028, KRS IU 057, KRS IU 059, KRS I1 054, KRS I1 056, KRS IU 056, KRS IU 054"
".SV-134-1 forel tirsd",2016-01-19,12:15,2016-01-19,15:00,"Skarpenes Ove","KRS B3 007 aud"
".SV-134-1 gr tirsd",2016-01-19,15:15,2016-01-19,17:00,"Skarpenes Ove","KRS 47 101, KRS 47 116, KRS 47 102, KRS 47 103, KRS 47 104, KRS 47 105, KRS 47 107, KRS 47 108, KRS 47 109, KRS 47 110, KRS 47 117, KRS 47 120, KRS 47 121, KRS 47 122"
".SV-210-1 forel uke 2-5 ons",2016-01-20,11:15,2016-01-20,14:00,"Halvorsen Anne, Kvamme Ingunn, Olsen Torunn S.","KRS B2 003 aud"
".SV-210-1 gr uke 2-5 onsd",2016-01-20,14:15,2016-01-20,16:00,"Halvorsen Anne, Kvamme Ingunn, Olsen Torunn S.","KRS 50 137a, KRS 50 137b, KRS 50 140, KRS 50 141, KRS 50 142, KRS 50 144, KRS 50 145, KRS 50 148, KRS 50 149, KRS 50 150"
".SV-134-1 forel torsd",2016-01-21,12:15,2016-01-21,15:00,"Skarpenes Ove","KRS B2 003 aud"
".SV-134-1 gr torsd",2016-01-21,15:15,2016-01-21,17:00,"Skarpenes Ove","KRS 47 101, KRS 47 116, KRS 47 102, KRS 47 103, KRS 47 104, KRS 47 105, KRS 47 107, KRS 47 108, KRS 47 109, KRS 47 110, KRS 47 117, KRS 47 120, KRS 47 121, KRS 47 122"
".SV-211-1 forel uke 1-51 (B3 008)",2016-01-22,09:15,2016-01-22,13:00,"Ryen Anne","KRS B3 008 aud"
".SV-211-1 gr",2016-01-22,14:15,2016-01-22,16:00,"Ryen Anne","KRS IK 023, KRS IK 028, KRS IU 057, KRS IU 059, KRS I1 054, KRS I1 056, KRS IU 056, KRS IU 054"
".SV-134-1 forel tirsd",2016-01-26,12:15,2016-01-26,15:00,"Skarpenes Ove","KRS B3 007 aud"
".SV-134-1 gr tirsd",2016-01-26,15:15,2016-01-26,17:00,"Skarpenes Ove","KRS 47 101, KRS 47 116, KRS 47 102, KRS 47 103, KRS 47 104, KRS 47 105, KRS 47 107, KRS 47 108, KRS 47 109, KRS 47 110, KRS 47 117, KRS 47 120, KRS 47 121, KRS 47 122"
".SV-210-1 forel uke 2-5 ons",2016-01-27,11:15,2016-01-27,14:00,"Halvorsen Anne, Kvamme Ingunn, Olsen Torunn S.","KRS B2 003 aud"
".SV-210-1 gr uke 2-5 onsd",2016-01-27,14:15,2016-01-27,16:00,"Halvorsen Anne, Kvamme Ingunn, Olsen Torunn S.","KRS 50 137a, KRS 50 137b, KRS 50 140, KRS 50 141, KRS 50 142, KRS 50 144, KRS 50 145, KRS 50 148, KRS 50 149, KRS 50 150"
".SV-134-1 forel torsd",2016-01-28,12:15,2016-01-28,15:00,"Skarpenes Ove","KRS B2 003 aud"
".SV-134-1 gr torsd",2016-01-28,15:15,2016-01-28,17:00,"Skarpenes Ove","KRS 47 101, KRS 47 116, KRS 47 102, KRS 47 103, KRS 47 104, KRS 47 105, KRS 47 107, KRS 47 108, KRS 47 109, KRS 47 110, KRS 47 117, KRS 47 120, KRS 47 121, KRS 47 122"
".SV-211-1 forel uke 1-51 (B3 008)",2016-01-29,09:15,2016-01-29,13:00,"Ryen Anne","KRS B3 008 aud"
".SV-211-1 gr",2016-01-29,14:15,2016-01-29,16:00,"Ryen Anne","KRS IK 023, KRS IK 028, KRS IU 057, KRS IU 059, KRS I1 054, KRS I1 056, KRS IU 056, KRS IU 054"
".SV-134-1 forel tirsd",2016-02-02,12:15,2016-02-02,15:00,"Skarpenes Ove","KRS B3 007 aud"
".SV-134-1 gr tirsd",2016-02-02,15:15,2016-02-02,17:00,"Skarpenes Ove","KRS 47 101, KRS 47 116, KRS 47 102, KRS 47 103, KRS 47 104, KRS 47 105, KRS 47 107, KRS 47 108, KRS 47 109, KRS 47 110, KRS 47 117, KRS 47 120, KRS 47 121, KRS 47 122"
".SV-210-1 forel uke 2-5 ons",2016-02-03,11:15,2016-02-03,14:00,"Halvorsen Anne, Kvamme Ingunn, Olsen Torunn S.","KRS B2 003 aud"
".SV-210-1 gr uke 2-5 onsd",2016-02-03,14:15,2016-02-03,16:00,"Halvorsen Anne, Kvamme Ingunn, Olsen Torunn S.","KRS 50 137a, KRS 50 137b, KRS 50 140, KRS 50 141, KRS 50 142, KRS 50 144, KRS 50 145, KRS 50 148, KRS 50 149, KRS 50 150"
".SV-134-1 forel torsd",2016-02-04,12:15,2016-02-04,15:00,"Skarpenes Ove","KRS B2 003 aud"
".SV-134-1 gr torsd",2016-02-04,15:15,2016-02-04,17:00,"Skarpenes Ove","KRS 47 101, KRS 47 116, KRS 47 102, KRS 47 103, KRS 47 104, KRS 47 105, KRS 47 107, KRS 47 108, KRS 47 109, KRS 47 110, KRS 47 117, KRS 47 120, KRS 47 121, KRS 47 122"
".SV-211-1 forel uke 1-51 (B3 008)",2016-02-05,09:15,2016-02-05,13:00,"Ryen Anne","KRS B3 008 aud"
".SV-211-1 gr",2016-02-05,14:15,2016-02-05,16:00,"Ryen Anne","KRS IK 023, KRS IK 028, KRS IU 057, KRS IU 059, KRS I1 054, KRS I1 056, KRS IU 056, KRS IU 054"
".SV-209-1 forel tirsd",2016-02-09,12:15,2016-02-09,15:00,"Skarpenes Ove","KRS B3 007 aud"
".SV-209-1 gr tirsd",2016-02-09,15:15,2016-02-09,17:00,"Skarpenes Ove","KRS 47 101, KRS 47 116, KRS 47 102, KRS 47 103, KRS 47 104, KRS 47 105, KRS 47 107, KRS 47 108, KRS 47 109, KRS 47 110, KRS 47 117, KRS 47 120, KRS 47 121, KRS 47 122"
".SV-209-1 forel onsd",2016-02-10,09:15,2016-02-10,12:00,"Skarpenes Ove","KRS B2 003 aud"
