Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-PED154 for",2016-01-07,09:15,2016-01-07,15:00,"Omdal Heidi","KRS F1 018 sem"
"-PED154 gr",2016-01-07,12:15,2016-01-07,14:00,"Omdal Heidi","KRS F2 017, KRS F2 018, KRS F2 019, KRS F2 016"
"-PED153 for",2016-01-12,09:15,2016-01-12,15:00,"Jortveit Maryann","KRS F1 022 sem"
"-PED154 for",2016-01-14,09:15,2016-01-14,15:00,"Omdal Heidi","KRS F1 018 sem"
"-PED154 gr",2016-01-14,12:15,2016-01-14,14:00,"Omdal Heidi","KRS F2 017, KRS F2 018, KRS F2 019, KRS F2 016"
"-PED153 for",2016-01-19,09:15,2016-01-19,15:00,"Jortveit Maryann","KRS F1 022 sem"
"-PED154 for",2016-01-21,09:15,2016-01-21,15:00,"Omdal Heidi","KRS F1 018 sem"
"-PED154 gr",2016-01-21,12:15,2016-01-21,14:00,"Omdal Heidi","KRS F2 017, KRS F2 018, KRS F2 019, KRS F2 016"
"-PED153 for",2016-01-26,09:15,2016-01-26,15:00,"Jortveit Maryann","KRS F1 022 sem"
"-PED154 for",2016-01-28,09:15,2016-01-28,15:00,"Omdal Heidi","KRS F1 018 sem"
"-PED154 gr",2016-01-28,12:15,2016-01-28,14:00,"Omdal Heidi","KRS F2 017, KRS F2 018, KRS F2 019, KRS F2 016"
"-PED153 for",2016-02-02,09:15,2016-02-02,15:00,"Jortveit Maryann","KRS F1 022 sem"
"-PED154 for",2016-02-04,09:15,2016-02-04,15:00,"Omdal Heidi","KRS F1 018 sem"
"-PED154 gr",2016-02-04,12:15,2016-02-04,14:00,"Omdal Heidi","KRS F2 017, KRS F2 018, KRS F2 019, KRS F2 016"
"-PED153 for",2016-02-09,09:15,2016-02-09,15:00,"Jortveit Maryann","KRS F1 022 sem"
"-PED153 for",2016-03-08,09:15,2016-03-08,15:00,"Jortveit Maryann","KRS F1 022 sem"
"-PED153 for",2016-03-15,09:15,2016-03-15,15:00,"Jortveit Maryann","KRS F1 022 sem"
"-PED154 for",2016-03-17,09:15,2016-03-17,15:00,"Omdal Heidi","KRS F1 018 sem"
"-PED154 gr",2016-03-17,12:15,2016-03-17,14:00,"Omdal Heidi","KRS F2 017, KRS F2 018, KRS F2 019, KRS F2 016"
"-PED154 for",2016-03-31,09:15,2016-03-31,15:00,"Omdal Heidi","KRS F1 018 sem"
"-PED154 gr",2016-03-31,12:15,2016-03-31,14:00,"Omdal Heidi","KRS F2 017, KRS F2 018, KRS F2 019, KRS F2 016"
"-PED153 for",2016-04-05,09:15,2016-04-05,15:00,"Jortveit Maryann","KRS F1 022 sem"
"-PED154 for",2016-04-07,09:15,2016-04-07,15:00,"Omdal Heidi","KRS F1 018 sem"
"-PED154 gr",2016-04-07,12:15,2016-04-07,14:00,"Omdal Heidi","KRS F2 017, KRS F2 018, KRS F2 019, KRS F2 016"
"-PED153 for",2016-04-12,09:15,2016-04-12,15:00,"Jortveit Maryann","KRS F1 022 sem"
"-PED154 for",2016-04-14,09:15,2016-04-14,15:00,"Omdal Heidi","KRS F1 018 sem"
"-PED154 gr",2016-04-14,12:15,2016-04-14,14:00,"Omdal Heidi","KRS F2 017, KRS F2 018, KRS F2 019, KRS F2 016"
"-PED153 for",2016-04-19,09:15,2016-04-19,15:00,"Jortveit Maryann","KRS F1 022 sem"
"-PED154 for",2016-04-21,09:15,2016-04-21,15:00,"Omdal Heidi","KRS F1 018 sem"
"-PED154 gr",2016-04-21,12:15,2016-04-21,14:00,"Omdal Heidi","KRS F2 017, KRS F2 018, KRS F2 019, KRS F2 016"
"-PED153 for",2016-04-26,09:15,2016-04-26,15:00,"Jortveit Maryann","KRS F1 022 sem"
"-PED154 for",2016-04-28,09:15,2016-04-28,15:00,"Omdal Heidi","KRS F1 018 sem"
"-PED154 gr",2016-04-28,12:15,2016-04-28,14:00,"Omdal Heidi","KRS F2 017, KRS F2 018, KRS F2 019, KRS F2 016"
"-PED153 for",2016-05-03,09:15,2016-05-03,15:00,"Jortveit Maryann","KRS F1 022 sem"
