Subject,Start Date,Start Time,End Date,End Time,Description,Location
"-PED324 for",2016-01-06,09:15,2016-01-06,12:00,"Herlofsen Camilla","KRS F2 004 sem"
"-PED324 sem",2016-01-06,12:15,2016-01-06,15:00,"Herlofsen Camilla","KRS F2 024, KRS F2 026, KRS F2 004 sem"
"-PED320  uke 1",2016-01-07,09:15,2016-01-07,15:00,"Tveit Anne Dorthe","KRS D3 054 sem"
"-PED324 for",2016-01-13,09:15,2016-01-13,12:00,"Herlofsen Camilla","KRS F2 004 sem"
"-PED324 sem",2016-01-13,12:15,2016-01-13,15:00,"Herlofsen Camilla","KRS F2 024, KRS F2 026, KRS F2 004 sem"
"-PED324 for",2016-01-20,09:15,2016-01-20,12:00,"Herlofsen Camilla","KRS F2 004 sem"
"-PED324 sem",2016-01-20,12:15,2016-01-20,15:00,"Herlofsen Camilla","KRS F2 024, KRS F2 026, KRS F2 004 sem"
"-PED324 for",2016-01-27,09:15,2016-01-27,12:00,"Herlofsen Camilla","KRS F2 004 sem"
"-PED324 sem",2016-01-27,12:15,2016-01-27,15:00,"Herlofsen Camilla","KRS F2 024, KRS F2 026, KRS F2 004 sem"
"-PED324 for",2016-02-03,09:15,2016-02-03,12:00,"Herlofsen Camilla","KRS F2 004 sem"
"-PED324 sem",2016-02-03,12:15,2016-02-03,15:00,"Herlofsen Camilla","KRS F2 024, KRS F2 026, KRS F2 004 sem"
"-PED324 for",2016-02-10,09:15,2016-02-10,12:00,"Herlofsen Camilla","KRS F2 004 sem"
"-PED324 sem",2016-02-10,12:15,2016-02-10,15:00,"Herlofsen Camilla","KRS F2 024, KRS F2 026, KRS F2 004 sem"
"-PED324 for",2016-02-17,09:15,2016-02-17,12:00,"Herlofsen Camilla","KRS F2 004 sem"
"-PED324 sem",2016-02-17,12:15,2016-02-17,15:00,"Herlofsen Camilla","KRS F2 024, KRS F2 026, KRS F2 004 sem"
"-PED324 for",2016-03-02,09:15,2016-03-02,12:00,"Herlofsen Camilla","KRS F2 004 sem"
"-PED324 sem",2016-03-02,12:15,2016-03-02,15:00,"Herlofsen Camilla","KRS F2 024, KRS F2 026, KRS F2 004 sem"
"-PED324 for",2016-03-09,09:15,2016-03-09,12:00,"Herlofsen Camilla","KRS F2 004 sem"
"-PED324 sem",2016-03-09,12:15,2016-03-09,15:00,"Herlofsen Camilla","KRS F2 024, KRS F2 026, KRS F2 004 sem"
"-PED324 fremlegg 17.03",2016-03-17,09:15,2016-03-17,15:00,"Herlofsen Camilla","KRS D3 054 sem"
"-PED324 for",2016-03-30,09:15,2016-03-30,12:00,"Herlofsen Camilla","KRS F2 004 sem"
"-PED324 sem",2016-03-30,12:15,2016-03-30,15:00,"Herlofsen Camilla","KRS F2 024, KRS F2 026, KRS F2 004 sem"
"-PED320 veil uke 13",2016-03-31,09:15,2016-03-31,15:00,"Tveit Anne Dorthe","KRS 51 122a, KRS 51 122b, KRS 51 122d, KRS 51 122c"
