Subject,Start Date,Start Time,End Date,End Time,Description,Location
".ST-418-1 for*",2016-01-11,09:15,2016-01-11,15:00,"Gänzle Stefan","KRS HU 062 sem"
".ORG411-1 for*",2016-01-12,09:15,2016-01-12,15:00,"Jacobsen Dag Ingvar","KRS HU 062 sem"
".ME-400-1 for*",2016-01-13,10:15,2016-01-13,16:00,"Murdoch Zuzana","KRS HU 062 sem"
".ME-400-1 lab*",2016-01-13,13:15,2016-01-13,15:00,"Murdoch Zuzana","KRS D3 017 pclab"
".ST-423-1 for*",2016-01-14,09:15,2016-01-14,15:00,"Hernes Helge","KRS HU 062 sem"
".ST-418-1 for*",2016-01-18,09:15,2016-01-18,15:00,"Gänzle Stefan","KRS HU 062 sem"
".ORG411-1 for*",2016-01-19,09:15,2016-01-19,15:00,"Jacobsen Dag Ingvar","KRS HU 062 sem"
".ME-400-1 for*",2016-01-20,10:15,2016-01-20,16:00,"Murdoch Zuzana","KRS HU 062 sem"
".ME-400-1 lab*",2016-01-20,13:15,2016-01-20,15:00,"Murdoch Zuzana","KRS D3 017 pclab"
".ST-423-1 for*",2016-01-21,09:15,2016-01-21,15:00,"Hernes Helge","KRS HU 062 sem"
".ST-418-1 for*",2016-01-25,09:15,2016-01-25,15:00,"Gänzle Stefan","KRS HU 062 sem"
".ORG411-1 for*",2016-01-26,09:15,2016-01-26,15:00,"Jacobsen Dag Ingvar","KRS HU 062 sem"
".ME-400-1 for*",2016-01-27,10:15,2016-01-27,16:00,"Murdoch Zuzana","KRS HU 062 sem"
".ME-400-1 lab*",2016-01-27,13:15,2016-01-27,15:00,"Murdoch Zuzana","KRS D3 017 pclab"
".ST-423-1 for*",2016-01-28,09:15,2016-01-28,15:00,"Hernes Helge","KRS HU 062 sem"
".ST-418-1 for*",2016-02-01,09:15,2016-02-01,15:00,"Gänzle Stefan","KRS HU 062 sem"
".ORG411-1 for*",2016-02-02,09:15,2016-02-02,15:00,"Jacobsen Dag Ingvar","KRS HU 062 sem"
".ME-400-1 for*",2016-02-03,10:15,2016-02-03,16:00,"Murdoch Zuzana","KRS HU 062 sem"
".ME-400-1 lab*",2016-02-03,13:15,2016-02-03,15:00,"Murdoch Zuzana","KRS D3 017 pclab"
".ST-423-1 for*",2016-02-04,09:15,2016-02-04,15:00,"Hernes Helge","KRS HU 062 sem"
".ST-418-1 for*",2016-02-08,09:15,2016-02-08,15:00,"Gänzle Stefan","KRS HU 062 sem"
".ORG411-1 for*",2016-02-09,09:15,2016-02-09,15:00,"Jacobsen Dag Ingvar","KRS HU 062 sem"
".ME-400-1 for*",2016-02-10,10:15,2016-02-10,16:00,"Murdoch Zuzana","KRS HU 062 sem"
".ME-400-1 lab*",2016-02-10,13:15,2016-02-10,15:00,"Murdoch Zuzana","KRS D3 017 pclab"
".ST-418-1 for*",2016-02-15,09:15,2016-02-15,15:00,"Gänzle Stefan","KRS HU 062 sem"
".ORG411-1 for*",2016-02-16,09:15,2016-02-16,15:00,"Jacobsen Dag Ingvar","KRS HU 062 sem"
".ME-400-1 for*",2016-02-17,10:15,2016-02-17,16:00,"Murdoch Zuzana","KRS HU 062 sem"
".ME-400-1 lab*",2016-02-17,13:15,2016-02-17,15:00,"Murdoch Zuzana","KRS D3 017 pclab"
".ST-423-1 for*",2016-02-18,09:15,2016-02-18,15:00,"Hernes Helge","KRS HU 062 sem"
".ST-418-1 for*",2016-02-22,09:15,2016-02-22,15:00,"Gänzle Stefan","KRS HU 062 sem"
".ORG411-1 for*",2016-02-23,09:15,2016-02-23,15:00,"Jacobsen Dag Ingvar","KRS HU 062 sem"
".ME-400-1 for*",2016-02-24,10:15,2016-02-24,16:00,"Murdoch Zuzana","KRS HU 062 sem"
".ME-400-1 lab*",2016-02-24,13:15,2016-02-24,15:00,"Murdoch Zuzana","KRS D3 017 pclab"
".ST-423-1 for*",2016-02-25,09:15,2016-02-25,15:00,"Hernes Helge","KRS HU 062 sem"
".ST-418-1 for*",2016-03-14,09:15,2016-03-14,15:00,"Gänzle Stefan","KRS HU 062 sem"
".ORG445-1 for*",2016-03-15,09:15,2016-03-15,15:00,"Pinheiro Romulo Miguel","KRS HU 062 sem"
".ME-400-1 for*",2016-03-16,10:15,2016-03-16,16:00,"Murdoch Zuzana","KRS HU 062 sem"
".ME-400-1 lab*",2016-03-16,13:15,2016-03-16,15:00,"Murdoch Zuzana","KRS D3 017 pclab"
".ST-423-1 for*",2016-03-17,09:15,2016-03-17,15:00,"Hernes Helge","KRS HU 062 sem"
".ORG445-1 for*",2016-03-29,09:15,2016-03-29,15:00,"Pinheiro Romulo Miguel","KRS HU 062 sem"
".ME-400-1 for*",2016-03-30,10:15,2016-03-30,16:00,"Murdoch Zuzana","KRS HU 062 sem"
".ME-400-1 lab*",2016-03-30,13:15,2016-03-30,15:00,"Murdoch Zuzana","KRS D3 017 pclab"
".ST-418-1 for*",2016-04-04,09:15,2016-04-04,15:00,"Gänzle Stefan","KRS HU 062 sem"
".ORG445-1 for*",2016-04-05,09:15,2016-04-05,15:00,"Pinheiro Romulo Miguel","KRS HU 062 sem"
".ME-400-1 for*",2016-04-06,10:15,2016-04-06,16:00,"Murdoch Zuzana","KRS HU 062 sem"
".ME-400-1 lab*",2016-04-06,13:15,2016-04-06,15:00,"Murdoch Zuzana","KRS D3 017 pclab"
".ST-418-1 for*",2016-04-11,09:15,2016-04-11,15:00,"Gänzle Stefan","KRS HU 062 sem"
".ORG445-1 for*",2016-04-12,09:15,2016-04-12,15:00,"Pinheiro Romulo Miguel","KRS HU 062 sem"
".ME-400-1 for*",2016-04-13,10:15,2016-04-13,16:00,"Murdoch Zuzana","KRS HU 062 sem"
".ME-400-1 lab*",2016-04-13,13:15,2016-04-13,15:00,"Murdoch Zuzana","KRS D3 017 pclab"
".ST-418-1 for*",2016-04-18,09:15,2016-04-18,15:00,"Gänzle Stefan","KRS HU 062 sem"
".ORG445-1 for*",2016-04-19,09:15,2016-04-19,15:00,"Pinheiro Romulo Miguel","KRS HU 062 sem"
".ME-400-1 for*",2016-04-20,10:15,2016-04-20,16:00,"Murdoch Zuzana","KRS HU 062 sem"
".ME-400-1 lab*",2016-04-20,13:15,2016-04-20,15:00,"Murdoch Zuzana","KRS D3 017 pclab"
".ST-418-1 for*",2016-04-25,09:15,2016-04-25,15:00,"Gänzle Stefan","KRS HU 062 sem"
".ORG445-1 for*",2016-04-26,09:15,2016-04-26,15:00,"Pinheiro Romulo Miguel","KRS HU 062 sem"
".ME-400-1 for*",2016-04-27,10:15,2016-04-27,16:00,"Murdoch Zuzana","KRS HU 062 sem"
".ME-400-1 lab*",2016-04-27,13:15,2016-04-27,15:00,"Murdoch Zuzana","KRS D3 017 pclab"
".ST-423-1 for*",2016-04-28,09:15,2016-04-28,15:00,"Hernes Helge","KRS HU 062 sem"
".ST-418-1 for*",2016-05-02,09:15,2016-05-02,15:00,"Gänzle Stefan","KRS HU 062 sem"
".ORG445-1 for*",2016-05-03,09:15,2016-05-03,15:00,"Pinheiro Romulo Miguel","KRS HU 062 sem"
".ME-400-1 for*",2016-05-04,10:15,2016-05-04,16:00,"Murdoch Zuzana","KRS HU 062 sem"
".ME-400-1 lab*",2016-05-04,13:15,2016-05-04,15:00,"Murdoch Zuzana","KRS D3 017 pclab"
".ST-423-1 for* wk 20 (aud)*",2016-05-19,09:15,2016-05-19,15:00,"Hernes Helge","KRS H1 058 aud"
