Subject,Start Date,Start Time,End Date,End Time,Description,Location
".SYPL 1. år 16/01/06 EDG*",2016-01-06,09:15,2016-01-06,10:00,"","KRS B1 007 aud"
".SYPL 1. år 16/01/06 ÅDP*",2016-01-06,10:15,2016-01-06,14:00,"","KRS B1 007 aud"
".SYPL 1. år 16/01/07 JNT*",2016-01-07,10:15,2016-01-07,13:00,"","KRS B1 007 aud"
".SYPL Alle kull 16/01/07 present. utveksl.*",2016-01-07,13:15,2016-01-07,16:00,"","KRS B1 001 aud"
".SYPL 1. år 16/01/08 JNT*",2016-01-08,09:15,2016-01-08,11:00,"","KRS B1 007 aud"
".SYPL 1. år 16/01/08 RS*",2016-01-08,12:15,2016-01-08,15:00,"","KRS B1 007 aud"
".SYPL 1. år 16/01/11 ØV kl. A*",2016-01-11,09:15,2016-01-11,11:00,"","KRS x I1 000 Øvingsavdeling-"
".SYPL 1. år 16/01/11 ØV kl. D*",2016-01-11,12:15,2016-01-11,14:00,"","KRS x I1 000 Øvingsavdeling-"
".SYPL 1. år 16/01/12 ØV kl. B*",2016-01-12,09:15,2016-01-12,11:00,"","KRS x I1 000 Øvingsavdeling-"
".SYPL 1. år 16/01/12 ØV kl. C*",2016-01-12,12:15,2016-01-12,14:00,"","KRS x I1 000 Øvingsavdeling-"
".SYPL 1. år 16/01/13 GV*",2016-01-13,08:15,2016-01-13,10:00,"","KRS B1 007 aud"
".SYPL 1. år 16/01/13 gr A1/A2/A3/A4/C2",2016-01-13,10:15,2016-01-13,12:00,"","KRS IK 023, KRS IK 028, KRS IU 057, KRS IU 059, KRS I1 054, KRS I1 056, KRS I1 058, KRS 47 107, KRS 47 121, KRS 47 122, KRS IU 054"
".SYPL 1. år 16/01/13 gr C1/B1/B2/B3",2016-01-13,12:15,2016-01-13,14:00,"","KRS IK 023, KRS IK 028, KRS IU 057, KRS IU 059, KRS I1 054, KRS I1 056, KRS I1 058, KRS 47 122, KRS IU 054"
".SYPL 1. år 16/01/14 AØR*",2016-01-14,09:15,2016-01-14,12:00,"","KRS B1 007 aud"
".SYPL 1. år 16/01/14 ÅDP*",2016-01-14,13:15,2016-01-14,15:00,"","KRS B1 007 aud"
".SYPL 1. år 16/01/18 AØR*",2016-01-18,09:15,2016-01-18,12:00,"","KRS B1 007 aud"
".SYPL 1. år 16/01/18 gr B4/C3  (PCT Westergren)",2016-01-18,12:15,2016-01-18,16:00,"","KRS 47 105"
".SYPL 1. år 16/01/19 ALF*",2016-01-19,08:15,2016-01-19,10:00,"","KRS B1 007 aud"
".SYPL 1. år 16/01/19 ÅDP*",2016-01-19,11:15,2016-01-19,14:00,"","KRS B1 007 aud"
".SYPL 1. år 16/01/20 ALF*",2016-01-20,09:15,2016-01-20,11:00,"","KRS B1 007 aud"
".SYPL 1. år 16/01/20 SL*",2016-01-20,12:15,2016-01-20,16:00,"","KRS B1 007 aud"
".SYPL 1. år 16/01/21 JNT*",2016-01-21,08:15,2016-01-21,11:00,"","KRS B1 007 aud"
".SYPL 1. år 16/01/21 gr*",2016-01-21,11:15,2016-01-21,13:00,"","KRS 50 110, KRS 50 114a, KRS 50 114b, KRS 50 115a, KRS 50 115b, KRS 50 115c, KRS 50 115e, KRS 50 115f, KRS 50 116a, KRS 50 116c, KRS 50 116d, KRS 50 116e, KRS 50 136, KRS 50 137a, KRS 50 137b, KRS 50 139, KRS 50 140, KRS 50 141, KRS 50 142, KRS 50 144, KRS 50 145, KRS 50 148, KRS 50 149, KRS 50 150, KRS 51 101, KRS 51 102, KRS 51 103, KRS 50 114c, KRS 50 116b, KRS 50 116f"
".SYPL 1. år 16/01/25 AØR*",2016-01-25,09:15,2016-01-25,12:00,"","KRS B1 007 aud"
".SYPL 1. år 16/01/26 Spe- og småbarns psykiske helse",2016-01-26,09:15,2016-01-26,15:00,"","KRS B1 018 aud"
".SYPL 1. år 16/01/27 AMH*",2016-01-27,08:15,2016-01-27,11:00,"","KRS B1 007 aud"
".SYPL 1. år 16/01/27 SL*",2016-01-27,12:15,2016-01-27,16:00,"","KRS B1 007 aud"
".SYPL 1. år 16/01/28 JNT*",2016-01-28,08:15,2016-01-28,11:00,"","KRS B1 007 aud"
".SYPL 1. år 16/01/28 gr*",2016-01-28,11:15,2016-01-28,13:00,"","KRS 50 110, KRS 50 114a, KRS 50 114b, KRS 50 115a, KRS 50 115b, KRS 50 115c, KRS 50 115e, KRS 50 115f, KRS 50 116a, KRS 50 116c, KRS 50 116d, KRS 50 116e, KRS 50 136, KRS 50 137a, KRS 50 137b, KRS 50 139, KRS 50 140, KRS 50 141, KRS 50 142, KRS 50 144, KRS 50 145, KRS 50 148, KRS 50 149, KRS 50 150, KRS 51 101, KRS 51 102, KRS 51 103, KRS 50 114c, KRS 50 116b, KRS 50 116f"
".SYPL 1. år 16/02/01 AMH*",2016-02-01,08:15,2016-02-01,11:00,"","KRS B1 007 aud"
".SYPL 1. år 16/02/01 ÅDP*",2016-02-01,12:15,2016-02-01,15:00,"","KRS B1 007 aud"
".SYPL 1. år 16/02/02 AN*",2016-02-02,09:15,2016-02-02,11:00,"","KRS B1 007 aud"
".SYPL 1. år 16/02/02 SL*",2016-02-02,12:15,2016-02-02,16:00,"","KRS B1 007 aud"
".SYPL 1. år 16/02/03 AMH*",2016-02-03,08:15,2016-02-03,10:00,"","KRS B1 007 aud"
".SYPL 1. år 16/02/03 gr B1/B2/B3/B4*",2016-02-03,10:15,2016-02-03,12:00,"","KRS IU 057, KRS IU 059, KRS I1 054, KRS I1 056, KRS I1 058, KRS 47 121, KRS 47 122, KRS IU 054"
".SYPL 1. år 16/02/03 gr A1/A2/A3/C2/C3*",2016-02-03,12:15,2016-02-03,14:00,"","KRS IK 023, KRS IK 028, KRS IU 057, KRS IU 059, KRS I1 054, KRS I1 056, KRS 47 105, KRS 47 107, KRS 47 121, KRS 47 122"
".SYPL 1. år 16/02/04 JNT*",2016-02-04,08:15,2016-02-04,10:00,"","KRS B1 007 aud"
".SYPL 1. år 16/02/04 gr*",2016-02-04,10:15,2016-02-04,12:00,"","KRS 50 110, KRS 50 114a, KRS 50 114b, KRS 50 115a, KRS 50 115b, KRS 50 115c, KRS 50 115e, KRS 50 115f, KRS 50 116a, KRS 50 116c, KRS 50 116d, KRS 50 116e, KRS 50 136, KRS 50 137a, KRS 50 137b, KRS 50 139, KRS 50 140, KRS 50 141, KRS 50 142, KRS 50 144, KRS 50 145, KRS 50 148, KRS 50 149, KRS 50 150, KRS 51 101, KRS 51 102, KRS 51 103, KRS 50 114c, KRS 50 116b, KRS 50 116f"
".SYPL 1. år 16/02/05 RS*",2016-02-05,08:15,2016-02-05,10:00,"","KRS B1 001 aud"
".SYPL 1. år 16/02/05 gr C1 og A4 (Helga Kjøstvedt) ",2016-02-05,10:15,2016-02-05,14:00,"","KRS IU 054"
".SYPL 1. år 16/02/08 ØV kl. C*",2016-02-08,09:15,2016-02-08,11:00,"","KRS x I1 000 Øvingsavdeling-"
".SYPL 1. år 16/02/08 ØV kl. D*",2016-02-08,12:15,2016-02-08,14:00,"","KRS x I1 000 Øvingsavdeling-"
".SYPL 1. år 16/02/09 ØV kl. A*",2016-02-09,09:15,2016-02-09,11:00,"","KRS x I1 000 Øvingsavdeling-"
".SYPL 1. år 16/02/09 ØV kl. B*",2016-02-09,12:15,2016-02-09,14:00,"","KRS x I1 000 Øvingsavdeling-"
".SYPL 1. år 16/02/10 AØR*",2016-02-10,09:15,2016-02-10,12:00,"","KRS B1 007 aud"
".SYPL 1. år 16/02/10 JS*",2016-02-10,12:15,2016-02-10,14:00,"","KRS B1 007 aud"
".SYPL 1. år 16/02/11 AN*",2016-02-11,09:15,2016-02-11,11:00,"","KRS B1 007 aud"
".SYPL 1. år 16/02/11 JNT*",2016-02-11,12:15,2016-02-11,14:00,"","KRS B1 007 aud"
".SYPL 1. år 16/02/17 JGD*",2016-02-17,08:15,2016-02-17,10:00,"","KRS B1 007 aud"
".SYPL 1. år 16/02/17 gr A1/A2/A3/A4/C2/C3*",2016-02-17,10:15,2016-02-17,12:00,"","KRS IK 023, KRS IK 028, KRS IU 057, KRS IU 059, KRS I1 054, KRS I1 056, KRS I1 058, KRS 47 105, KRS 47 107, KRS 47 121, KRS 47 122, KRS IU 054"
".SYPL 1. år 16/02/17 gr C1/B1/B2/B3/B4*",2016-02-17,12:15,2016-02-17,14:00,"","KRS IK 023, KRS IK 028, KRS IU 057, KRS IU 059, KRS I1 054, KRS I1 056, KRS I1 058, KRS 47 121, KRS 47 122, KRS IU 054"
".SYPL 1. år 16/02/18 AN*",2016-02-18,08:15,2016-02-18,11:00,"","KRS B1 007 aud"
".SYPL 1. år 16/02/18 JS*",2016-02-18,12:15,2016-02-18,14:00,"","KRS B1 007 aud"
".SYPL 1. år 16/03/01 BJ*",2016-02-29,08:15,2016-02-29,10:00,"","KRS B1 007 aud"
".SYPL 1. år 16/03/02 grupperom*",2016-03-02,08:15,2016-03-02,16:00,"","KRS I1 058"
".SYPL 1. år 16/03/02 Framlegg*",2016-03-02,10:15,2016-03-02,14:00,"","KRS HU 062 sem, KRS HU 023 sem, KRS 51 134 sem, KRS 51 131 sem, KRS HK 007 sem"
".SYPL 1. år 16/03/03 EDG*",2016-03-03,09:15,2016-03-03,10:00,"","KRS B1 007 aud"
".SYPL 1. år 16/03/03 Klassens time*",2016-03-03,10:15,2016-03-03,11:00,"","KRS B1 007 aud"
".SYPL 1. år 16/03/03 gr praksislærere*",2016-03-03,12:15,2016-03-03,14:00,"","KRS IK 023, KRS IK 028, KRS IU 057, KRS IU 059, KRS I1 054, KRS I1 056, KRS I1 058, KRS 47 121, KRS 47 122, KRS IU 054"
".SYPL 1. år 16/03/04 BJ*",2016-03-04,09:15,2016-03-04,13:00,"","KRS B1 001 aud"
".SYPL 1. år 16/05/09*",2016-05-09,09:15,2016-05-09,13:00,"","KRS B1 007 aud"
".SYPL 1. år 16/05/12 Framlegg*",2016-05-12,09:15,2016-05-12,14:00,"","KRS B2 001 aud, KRS B2 002 aud, KRS IU 069 aud, KRS I1 066 aud"
