Subject,Start Date,Start Time,End Date,End Time,Description,Location
"SYP110-G 07.01",2016-01-07,12:15,2016-01-07,13:00,"Sundsli Kari","GRM C2 036 aud"
"SYP110-G 07.01-grom",2016-01-07,13:15,2016-01-07,14:00,"","GRM A3 030, GRM A2 043, GRM A2 020, GRM A2 042, GRM A2 026, GRM A2 144, GRM A3 026, GRM A3 099, GRM C3 090, GRM C3 092"
"B CG/2016/03/07 Oppstart  Sykepleie 1 år",2016-03-07,09:15,2016-03-07,10:00,"Sundsli Kari","GRM A2 135 aud"
"SY-111-G 07.03",2016-03-07,10:15,2016-03-07,13:00,"Terkelsen, Toril ","GRM A2 135 aud"
"SY-110-G 07.03",2016-03-07,13:15,2016-03-07,15:00,"Sævareid, Hans Inge ","GRM A2 135 aud"
"NV-111-G 08.03",2016-03-08,09:15,2016-03-08,12:00,"Leland Arne","GRM A2 135 aud"
"NV-111-G 08.03 grom",2016-03-08,12:15,2016-03-08,14:00,"","GRM A3 030, GRM A2 043, GRM A2 020, GRM A2 042, GRM A2 026, GRM A2 142, GRM A2 143, GRM A2 144, GRM A3 026, GRM A3 099, GRM C3 081"
"SY-110-G 09.03 grom",2016-03-09,08:15,2016-03-09,12:00,"","GRM A3 030, GRM A2 043, GRM A2 020, GRM A2 042, GRM A2 026, GRM A2 142, GRM A2 144, GRM A3 026, GRM A3 099, GRM C3 081, GRM C3 091"
"NV-111-G 10.03",2016-03-10,08:15,2016-03-10,10:00,"Leland Arne","GRM A2 135 aud"
"NV-111-G 10.03 grom",2016-03-10,10:15,2016-03-10,12:00,"","GRM A3 030, GRM A2 043, GRM A2 020, GRM A2 042, GRM A2 026, GRM A2 142, GRM A2 143, GRM A2 144, GRM A3 026, GRM A3 099, GRM C3 081"
"SY-111-G 10.03",2016-03-10,12:15,2016-03-10,15:00,"Terkelsen, Toril ","GRM A2 135 aud"
"SY-110-G 14.03-1",2016-03-14,09:15,2016-03-14,11:00,"Hansen, Linda Iren M.","GRM A2 135 aud"
"SY-110-G 14.03-2",2016-03-14,11:15,2016-03-14,12:00,"Hansen, Linda Iren M.","GRM A2 135 aud"
"SY-111-G 14.03",2016-03-14,12:15,2016-03-14,15:00,"Terkelsen, Toril ","GRM A2 135 aud"
"NV-111-G 15.03",2016-03-15,09:15,2016-03-15,12:00,"Leland Arne","GRM A2 135 aud"
"NV-111-G 15.03 grom",2016-03-15,12:15,2016-03-15,14:00,"","GRM A3 030, GRM A2 043, GRM A2 020, GRM A2 026, GRM A2 142, GRM A2 143, GRM A2 144, GRM A3 026, GRM A3 099, GRM C3 081, GRM C3 091"
"SY-111-G 16.03-1",2016-03-16,08:15,2016-03-16,12:00,"Sævareid, Hans Inge ","GRM A2 135 aud"
"SY-111-G 16.03-2",2016-03-16,12:15,2016-03-16,14:00,"Gundersen, Ellen Dahl","GRM A2 135 aud"
"SY-111-G 17.03",2016-03-17,08:15,2016-03-17,11:00,"Terkelsen, Toril ","GRM A2 135 aud"
"SY-110-G 17.03 grom",2016-03-17,11:15,2016-03-17,15:00,"","GRM A3 030, GRM A2 043, GRM A2 020, GRM A2 042, GRM A2 026, GRM A2 142, GRM A2 143, GRM A2 144, GRM A3 026, GRM A3 099, GRM C3 081"
"NV-111-G 29.03 gruppe D",2016-03-29,09:15,2016-03-29,11:00,"Leland, Arne ","GRM C3 024 klinikk, GRM C3 070 nat.vit, GRM C3 071 nat.vit, GRM C3 072 aud"
"NV-111-G 29.03 gruppe C",2016-03-29,11:15,2016-03-29,13:00,"Leland, Arne ","GRM C3 024 klinikk, GRM C3 070 nat.vit, GRM C3 071 nat.vit, GRM C3 072 aud"
"SY-111-G 30.03 AØR",2016-03-30,08:15,2016-03-30,11:00,"Øgård-Repål Anita","GRM A2 135 aud"
"SY-111-G 30.03 SL",2016-03-30,12:15,2016-03-30,16:00,"Liverød, Sondre","GRM A2 135 aud"
"NV-111-G 31.03 gruppe B",2016-03-31,09:15,2016-03-31,11:00,"Leland, Arne ","GRM C3 024 klinikk, GRM C3 070 nat.vit, GRM C3 071 nat.vit, GRM C3 072 aud"
"NV-111-G 31.03 gruppe A",2016-03-31,11:15,2016-03-31,13:00,"Leland, Arne ","GRM C3 024 klinikk, GRM C3 070 nat.vit, GRM C3 071 nat.vit, GRM C3 072 aud"
"NV-111-G 04.04",2016-04-04,09:15,2016-04-04,11:00,"Leland Arne","GRM A2 135 aud"
"SY-111-G 04.04",2016-04-04,11:15,2016-04-04,13:00,"Terkelsen, Toril ","GRM A2 135 aud"
"SY-110-G 05.04",2016-04-05,12:15,2016-04-05,14:00,"Dale, Jan Gunnar","GRM A2 135 aud"
"SY-111-G 06.04",2016-04-06,12:15,2016-04-06,16:00,"Liverød, Sondre","GRM A2 135 aud"
"SY-110-G 13.04 grom",2016-04-13,08:15,2016-04-13,12:00,"","GRM A3 030, GRM A2 043, GRM A2 020, GRM A2 042, GRM A2 026, GRM A2 142, GRM A2 143, GRM A2 144, GRM A3 026, GRM A3 099, GRM C3 081"
"SY-111-G 13.04",2016-04-13,12:15,2016-04-13,16:00,"Liverød, Sondre","GRM A2 135 aud"
"SY-111-G 14.04",2016-04-14,08:15,2016-04-14,11:00,"Øgård-Repål Anita","GRM A2 135 aud"
"SY-111-G 18.04-1",2016-04-18,09:15,2016-04-18,11:00,"Farstad, Anne Lise","GRM A2 135 aud"
"SY-111-G 18.04-2",2016-04-18,11:15,2016-04-18,13:00,"Nilsen, Arild","GRM A2 135 aud"
"SY-111-G 19.04-1",2016-04-19,09:15,2016-04-19,12:00,"Nilsen, Arild","GRM A2 135 aud"
"SY-111-G 19.04-2",2016-04-19,12:15,2016-04-19,14:00,"Skaar, Ragnhild","GRM A2 135 aud"
"SY-111-G 20.04-1",2016-04-20,08:15,2016-04-20,11:00,"Øgård-Repål Anita","GRM x FOU-aud (Jon Lilletunsvei 3)*"
"SY-111-G 20.04-2",2016-04-20,11:15,2016-04-20,13:00,"Johannesen, Berit","GRM x FOU-aud (Jon Lilletunsvei 3)*"
"SY-111-G 21.04-1",2016-04-21,09:15,2016-04-21,11:00,"Farstad, Anne Lise","GRM x FOU-aud (Jon Lilletunsvei 3)*"
"SY-111-G 21.04-2",2016-04-21,11:15,2016-04-21,14:00,"Øgård-Repål Anita","GRM x FOU-aud (Jon Lilletunsvei 3)*"
"SY-111-G 22.04",2016-04-22,09:15,2016-04-22,15:00,"Hansen, Linda Iren M.","GRM C2 036 aud"
"SY-111-G 25.04",2016-04-25,09:15,2016-04-25,13:00,"Sten June J","GRM A2 135 aud"
"SY-111-G 26.04",2016-04-26,09:15,2016-04-26,12:00,"Skaar, Ragnhild","GRM A2 135 aud"
"SY-110-G 29.04",2016-04-29,09:15,2016-04-29,13:00,"","GRM F 203 sem, GRM F 204 sem, GRM A3 023 sem, GRM A3 027 sem VER, GRM D3 052 sem, GRM D3 053 sem"
"B CG/2016/05/10 Informasjon 2. studieår sykepleie",2016-05-10,09:15,2016-05-10,10:00,"Leland, Arne ","GRM A2 135 aud"
"B CG/2016/05/10 Klassens time sykepleie 1 år",2016-05-10,10:15,2016-05-10,11:00,"","GRM A2 135 aud"
"SY-110-G 10.05",2016-05-10,11:15,2016-05-10,12:00,"Dale, Jan Gunnar","GRM A2 135 aud"
"SY-111-G 10.05",2016-05-10,12:15,2016-05-10,13:00,"Skaar, Ragnhild","GRM A2 135 aud"
"SY-111-G 13.05",2016-05-13,08:15,2016-05-13,14:00,"Skaar, Ragnhild","GRM A2 025 sem, GRM A3 020 sem, GRM A3 023 sem, GRM A3 027 sem VER"
