Subject,Start Date,Start Time,End Date,End Time,Description,Location
"B CG/2016/01/06 Studiestart/ Klassens time sykepleie 2 år",2016-01-06,08:15,2016-01-06,09:00,"","GRM A2 135 aud"
"SY-211-G 06.01",2016-01-06,09:15,2016-01-06,12:00,"Tomstad, Solveig","GRM A2 135 aud"
"B CG/2016/01/06 Orientering om utveksling sykepleie 2 år",2016-01-06,12:15,2016-01-06,13:00,"","GRM A2 135 aud"
"B CG/2016/01/06 Møte med praksislærer sykepleie 2 år",2016-01-06,13:15,2016-01-06,15:00,"",""
"SY-211-G 07.01",2016-01-07,08:15,2016-01-07,11:00,"Øgård-Repål Anita","GRM A2 135 aud"
"B CG/2016/01/07 Litteratursøk sykepleie 2 år",2016-01-07,11:15,2016-01-07,13:00,"Fredwall, Terje Emil","GRM A2 135 aud"
"B CG/2016/01/07 Møte med praksislærer sykepleie 2 år",2016-01-07,13:15,2016-01-07,14:00,"",""
"SY-211-G 08.01",2016-01-08,09:15,2016-01-08,11:00,"Tomstad, Solveig","GRM A2 135 aud"
"SY-211-G 08.01 grom",2016-01-08,11:15,2016-01-08,15:00,"Tomstad, Solveig, Øgård-Repål Anita","GRM A3 030, GRM A2 043, GRM A2 020, GRM A2 042, GRM A2 026, GRM A2 045, GRM A2 144, GRM A3 026, GRM A3 099, GRM C3 081, GRM C3 091"
"B CG/2016/02/24 Gruppemøte med praksislærer sykepleie 2 år",2016-02-24,08:15,2016-02-24,10:00,"",""
"B CG/2016/02/24 Temadag sykepleie 2 år",2016-02-24,10:15,2016-02-24,14:00,"","GRM A2 135 aud"
"B CG/2016/05/09 Klassens time sykepleie 2 år",2016-05-09,08:15,2016-05-09,09:00,"","GRM A2 135 aud"
"B CG/2016/05/09 Førstehjelp sykepleie 2 og 3 år",2016-05-09,09:15,2016-05-09,16:00,"","GRM C3 033 vaktrom, GRM C3 050 kjøkken, GRM C3 044 sim, GRM C3 046 sim, GRM C3 047 sim, GRM C3 024 klinikk, GRM C3 070 nat.vit, GRM C3 071 nat.vit, GRM C3 072 aud"
"B CG/2016/05/10 Førstehjelp sykepleie 2 og 3 år",2016-05-10,08:15,2016-05-10,16:00,"","GRM C3 033 vaktrom, GRM C3 050 kjøkken, GRM C3 044 sim, GRM C3 046 sim, GRM C3 047 sim, GRM C3 024 klinikk, GRM C3 070 nat.vit, GRM C3 071 nat.vit, GRM C3 072 aud"
"SY-211-G 11.05",2016-05-11,09:15,2016-05-11,14:00,"Øgård-Repål Anita","GRM A2 135 aud"
"SY-211-G 12.05",2016-05-12,09:15,2016-05-12,14:00,"Brodtkorb Kari","GRM A2 135 aud"
"SY-211-G 13.05",2016-05-13,08:15,2016-05-13,09:00,"","GRM A2 135 aud"
"SY-211-G 13.05 grom",2016-05-13,09:15,2016-05-13,13:00,"","GRM A3 030, GRM A2 043, GRM A2 020, GRM A2 042, GRM A2 026, GRM A2 045, GRM A2 144, GRM A3 026, GRM A3 099, GRM C3 081, GRM C3 091"
"SY-211-G 18.05",2016-05-18,08:15,2016-05-18,10:00,"",""
"SY-211-G 19.05",2016-05-19,08:15,2016-05-19,10:00,"",""
"SY-211-G 20.05",2016-05-20,08:15,2016-05-20,15:00,"","GRM C2 040 aud, GRM C2 041 aud"
"B CG/2016/05/23 Klassens time Orientering om 3 studieår for sykepleie 2 år",2016-05-23,08:15,2016-05-23,09:00,"","GRM A2 135 aud"
"SY-211-G 23.05",2016-05-23,09:15,2016-05-23,14:00,"Tomstad, Solveig","GRM A2 135 aud"
"SY-211-G 24.05-1",2016-05-24,09:15,2016-05-24,12:00,"Brodtkorb Kari","GRM A2 135 aud"
"SY-211-G 24.05-2",2016-05-24,12:15,2016-05-24,15:00,"Brodtkorb Kari","GRM A2 135 aud"
"SY-211-G 25.05-1",2016-05-25,09:15,2016-05-25,12:00,"Krøger, Elsebeth","GRM A2 135 aud"
"SY-211-G 25.05-2",2016-05-25,12:15,2016-05-25,15:00,"Krøger, Elsebeth","GRM A2 135 aud"
"SY-211-G 26.05-1",2016-05-26,08:15,2016-05-26,11:00,"Thorød, Anne Brita","GRM A2 135 aud"
"SY-211-G 26.05-2",2016-05-26,11:15,2016-05-26,13:00,"Brodtkorb Kari","GRM A2 135 aud"
"SY-211-G 30.05",2016-05-30,09:15,2016-05-30,10:00,"","GRM A2 135 aud"
