Subject,Start Date,Start Time,End Date,End Time,Description,Location
"B CG/2016/01/06 Klasseråd sykepleie 3.år.",2016-01-06,12:15,2016-01-06,13:00,"Skaar, Ragnhild, Sævareid, Hans Inge , Tomstad, Solveig","GRM C2 042 aud"
"SY-301-G 06.01",2016-01-06,13:15,2016-01-06,15:00,"Dale, Jan Gunnar","GRM C2 042 aud"
"SY-301-G 07.01",2016-01-07,09:15,2016-01-07,14:00,"Krøger, Elsebeth","GRM C2 042 aud"
"SY-301-G 08.01",2016-01-08,09:15,2016-01-08,14:00,"Bergkåsa, Anne Mari ","GRM x FOU-aud (Jon Lilletunsvei 3)*"
"SY-301-G 11.01-1",2016-01-11,09:15,2016-01-11,12:00,"Dale, Jan Gunnar","GRM A2 135 aud"
"SY-301-G 11.01-2",2016-01-11,12:15,2016-01-11,15:00,"Gundersen, Ellen Dahl","GRM A2 135 aud"
"SY-301-G 12.01",2016-01-12,09:15,2016-01-12,14:00,"Dale, Jan Gunnar","GRM A2 135 aud"
"SY-301-G 13.01",2016-01-13,09:15,2016-01-13,12:00,"Skaar, Ragnhild","GRM A2 135 aud"
"SY-301-G 14.01",2016-01-14,09:15,2016-01-14,14:00,"Bergkåsa, Anne Mari ","GRM A2 135 aud"
"SY-301-G 15.01",2016-01-15,09:15,2016-01-15,13:00,"Gallefoss, Lisbeth, Karlstrøm, Marit","GRM A2 135 aud"
"SY-301-G 18.01",2016-01-18,09:15,2016-01-18,13:00,"Steen, June Jacobsen","GRM A2 135 aud"
"B CG/2016/01/18 Informasjon fra utvekslingsstudenter 2015",2016-01-18,13:15,2016-01-18,16:00,"Tomstad, Solveig","GRM A2 135 aud"
"SY-301-G 19.01",2016-01-19,09:15,2016-01-19,12:00,"Haraldstad, Kristin","GRM A2 135 aud"
"SY-301-G 25.01",2016-01-25,09:15,2016-01-25,15:00,"","GRM F 204 sem, GRM A2 084 aud, GRM A3 027 sem VER, GRM C4 091 sem"
"ME-301-G 10.02",2016-02-10,09:15,2016-02-10,13:00,"Sævareid, Hans Inge ","GRM A2 135 aud"
"ME-301-G 11.02",2016-02-11,09:15,2016-02-11,13:00,"Sævareid, Hans Inge ","GRM A2 135 aud"
"ME-301-G 12.02",2016-02-12,09:15,2016-02-12,13:00,"Sævareid, Hans Inge ","GRM A2 135 aud"
"ME-301-G 15.02",2016-02-15,08:15,2016-02-15,12:00,"Sævareid, Hans Inge ","GRM A2 135 aud"
"B CG/2016/02/15 Klasseråd sykepleie 3.år. Evaluering av SY301",2016-02-15,12:15,2016-02-15,13:00,"Tomstad, Solveig","GRM A2 135 aud"
"B CG/2016/02/15 Arbeidslivets rettigheter og plikter. NSF",2016-02-15,13:15,2016-02-15,15:00,"","GRM A2 135 aud"
"ME-301-G 16.02",2016-02-16,08:15,2016-02-16,12:00,"Sævareid, Hans Inge ","GRM A2 135 aud"
"ME-301-G 17.02",2016-02-17,08:15,2016-02-17,12:00,"Sævareid, Hans Inge ","GRM A2 135 aud"
"ME-301-G 18.02",2016-02-18,08:15,2016-02-18,11:00,"Sævareid, Hans Inge ","GRM A2 135 aud"
"ME-301-G 19.02",2016-02-19,09:15,2016-02-19,11:00,"Johannessen Berit","GRM A2 135 aud"
"B CG/2016/02/19 Orientering om masterprogram og videreutdanning",2016-02-19,11:15,2016-02-19,12:00,"Slotnes Atle","GRM A2 135 aud"
"B CG/2016/02/22 Litteratursøk sykepleie 3.år",2016-02-22,08:15,2016-02-22,13:00,"Fredwall, Terje Emil","GRM A2 135 aud"
"B CG/2016/02/23 Fagseminar",2016-02-23,09:15,2016-02-23,13:00,"","GRM A2 135 aud"
"B CG/2016/03/08 LABØVELSER BIBLIOTEK",2016-03-08,11:15,2016-03-08,13:00,"Fredwall, Terje Emil","GRM A2 084 aud"
"B CG/2016/03/31 LABØVELSER BIBLIOTEK",2016-03-31,11:15,2016-03-31,13:00,"Fredwall, Terje Emil","GRM A2 085 aud"
"B CG/2016/04/19 Klasseråd sykepleie 3.år. Info om førstehjelsundervisning",2016-04-19,10:15,2016-04-19,11:00,"Leland, Arne , Tomstad, Solveig","GRM C2 042 aud"
