Subject,Start Date,Start Time,End Date,End Time,Description,Location
"MUK203/MUK109/MUK307/MU-151/MU-218/ MU-300/MU-303/MUK402 felles klaver",2016-01-07,15:15,2016-01-07,17:00,"Juva Tellef","KRS K1 041/Samspillsal 1"
"MUK113  komparr 2uk. man",2016-01-11,10:15,2016-01-11,12:00,"Øhrn Konrad","KRS G1 020"
"MUK107 estetikk/vit.teori. tirs",2016-01-12,09:15,2016-01-12,11:00,"Christensen Jorun, Eidsaa Randi Margrethe","KRS G1 018"
"MUK112 tors",2016-01-14,13:15,2016-01-14,15:00,"Christensen Jorun","KRS G1 020"
"MUK203/MUK109/MUK307/MU-151/MU-218/ MU-300/MU-303/MUK402 felles klaver",2016-01-14,15:15,2016-01-14,17:00,"Juva Tellef","KRS K1 041/Samspillsal 1"
"MUK203/MU-151/MUK109 felles fløyte",2016-01-15,09:15,2016-01-15,11:00,"Schau Jørn","KRS K1 041/Samspillsal 1"
"MUK203/MUK109/MUK307/MU-151/MU-218/MU-303/MUK402 felles sang",2016-01-15,11:15,2016-01-15,12:00,"Myhrstad Birte","KRS K1 041/Samspillsal 1"
"MUK113  komparr 2uk. man",2016-01-18,10:15,2016-01-18,12:00,"Øhrn Konrad","KRS G1 020"
"MUK107 estetikk/vit.teori. tirs",2016-01-19,09:15,2016-01-19,11:00,"Christensen Jorun, Eidsaa Randi Margrethe","KRS G1 018"
"MUK112 tors",2016-01-21,13:15,2016-01-21,15:00,"Christensen Jorun","KRS G1 020"
"MUK203/MUK109/MUK307/MU-151/MU-218/ MU-300/MU-303/MUK402 felles klaver",2016-01-21,15:15,2016-01-21,17:00,"Juva Tellef","KRS K1 041/Samspillsal 1"
"MUK203/MU-151/MUK109 felles fløyte",2016-01-22,09:15,2016-01-22,11:00,"Schau Jørn","KRS K1 041/Samspillsal 1"
"MUK203/MUK109/MUK307/MU-151/MU-218/MU-303/MUK402 felles sang",2016-01-22,11:15,2016-01-22,12:00,"Myhrstad Birte","KRS K1 041/Samspillsal 1"
"MUK113  komparr 2uk. man",2016-01-25,10:15,2016-01-25,12:00,"Øhrn Konrad","KRS G1 020"
"MUK107 estetikk/vit.teori. tirs",2016-01-26,09:15,2016-01-26,11:00,"Christensen Jorun, Eidsaa Randi Margrethe","KRS G1 018"
"MUK112 tors",2016-01-28,13:15,2016-01-28,15:00,"Christensen Jorun","KRS G1 020"
"MUK203/MUK109/MUK307/MU-151/MU-218/ MU-300/MU-303/MUK402 felles klaver",2016-01-28,15:15,2016-01-28,17:00,"Juva Tellef","KRS K1 041/Samspillsal 1"
"MUK203/MU-151/MUK109 felles fløyte",2016-01-29,09:15,2016-01-29,11:00,"Schau Jørn","KRS K1 041/Samspillsal 1"
