Subject,Start Date,Start Time,End Date,End Time,Description,Location
"MUR118 1url man",2016-01-11,11:15,2016-01-11,14:00,"Brodtkorb Henrik J.","KRS K3 024 midi-lab"
"MUR162/MUR113 ons",2016-01-13,09:15,2016-01-13,11:00,"Gunvaldsen Erik","KRS K3 024 midi-lab"
"MUR113/MUR162 ons",2016-01-13,09:15,2016-01-13,11:00,"Gunvaldsen Erik","KRS K3 024 midi-lab"
"MUR114/MU-149 musikkhistorie. tors",2016-01-14,09:15,2016-01-14,11:00,"Rasmussen Bruce C.","KRS K1 039/Samspillsal 2"
"MUR113/MU-162 gehør og rytmikk",2016-01-14,11:15,2016-01-14,12:00,"Mjåland Einar","KRS G1 012"
"MUR118 produsentarbeid.tors",2016-01-14,13:15,2016-01-14,16:00,"Aareskjold Jon Marius","KRS K3 024 midi-lab, KRS KU 019 studio A"
"MUR113/MUR200 gruppe 5. laptop",2016-01-14,16:15,2016-01-14,18:00,"Aareskjold Jon Marius","KRS K1 039/Samspillsal 2"
"MUR118 1url man",2016-01-18,11:15,2016-01-18,14:00,"Brodtkorb Henrik J.","KRS K3 024 midi-lab"
"MUR162/MUR113 ons",2016-01-20,09:15,2016-01-20,11:00,"Gunvaldsen Erik","KRS K3 024 midi-lab"
"MUR113/MUR162 ons",2016-01-20,09:15,2016-01-20,11:00,"Gunvaldsen Erik","KRS K3 024 midi-lab"
"MUR114/MU-149 musikkhistorie. tors",2016-01-21,09:15,2016-01-21,11:00,"Rasmussen Bruce C.","KRS K1 039/Samspillsal 2"
"MUR113/MUR162 gehør og rytmikk. uke 3.13",2016-01-21,11:15,2016-01-21,12:00,"Mjåland Einar","KRS G1 018"
"MUR118 produsentarbeid.tors",2016-01-21,13:15,2016-01-21,16:00,"Aareskjold Jon Marius","KRS K3 024 midi-lab, KRS KU 019 studio A"
"MUR113/MUR200 gruppe 5. laptop",2016-01-21,16:15,2016-01-21,18:00,"Aareskjold Jon Marius","KRS K1 039/Samspillsal 2"
"MUR118 1url man",2016-01-25,11:15,2016-01-25,14:00,"Brodtkorb Henrik J.","KRS K3 024 midi-lab"
"MUR162/MUR113 ons",2016-01-27,09:15,2016-01-27,11:00,"Gunvaldsen Erik","KRS K3 024 midi-lab"
"MUR113/MUR162 ons",2016-01-27,09:15,2016-01-27,11:00,"Gunvaldsen Erik","KRS K3 024 midi-lab"
"MUR114/MU-149 musikkhistorie. tors",2016-01-28,09:15,2016-01-28,11:00,"Rasmussen Bruce C.","KRS K1 039/Samspillsal 2"
"MUR113/MU-162 gehør og rytmikk",2016-01-28,11:15,2016-01-28,12:00,"Mjåland Einar","KRS G1 012"
"MUR118 produsentarbeid.tors",2016-01-28,13:15,2016-01-28,16:00,"Aareskjold Jon Marius","KRS K3 024 midi-lab, KRS KU 019 studio A"
"MUR113/MUR200 gruppe 5. laptop",2016-01-28,16:15,2016-01-28,18:00,"Aareskjold Jon Marius","KRS K1 039/Samspillsal 2"
"MUR118 1url man",2016-02-01,11:15,2016-02-01,14:00,"Brodtkorb Henrik J.","KRS K3 024 midi-lab"
"MUR162/MUR113 ons",2016-02-03,09:15,2016-02-03,11:00,"Gunvaldsen Erik","KRS K3 024 midi-lab"
"MUR113/MUR162 ons",2016-02-03,09:15,2016-02-03,11:00,"Gunvaldsen Erik","KRS K3 024 midi-lab"
"MUR114/MU-149 musikkhistorie. tors",2016-02-04,09:15,2016-02-04,11:00,"Rasmussen Bruce C.","KRS K1 039/Samspillsal 2"
"MUR113/MU-162 gehør og rytmikk",2016-02-04,11:15,2016-02-04,12:00,"Mjåland Einar","KRS G1 012"
"MUR118 produsentarbeid.tors",2016-02-04,13:15,2016-02-04,16:00,"Aareskjold Jon Marius","KRS K3 024 midi-lab, KRS KU 019 studio A"
"MUR113/MUR200 gruppe 5. laptop",2016-02-04,16:15,2016-02-04,18:00,"Aareskjold Jon Marius","KRS K1 039/Samspillsal 2"
"MUR118 1url man",2016-02-08,11:15,2016-02-08,14:00,"Brodtkorb Henrik J.","KRS K3 024 midi-lab"
"MUR162/MUR113 ons",2016-02-10,09:15,2016-02-10,11:00,"Gunvaldsen Erik","KRS K3 024 midi-lab"
"MUR113/MUR162 ons",2016-02-10,09:15,2016-02-10,11:00,"Gunvaldsen Erik","KRS K3 024 midi-lab"
"MUR114/MU-149 musikkhistorie. tors",2016-02-11,09:15,2016-02-11,11:00,"Rasmussen Bruce C.","KRS K1 039/Samspillsal 2"
"MUR113/MUR162 gehør og rytmikk. uke 6",2016-02-11,11:15,2016-02-11,12:00,"Mjåland Einar","KRS G1 029"
"MUR118 produsentarbeid.tors",2016-02-11,13:15,2016-02-11,16:00,"Aareskjold Jon Marius","KRS K3 024 midi-lab, KRS KU 019 studio A"
"MUR113/MUR200 gruppe 5. laptop",2016-02-11,16:15,2016-02-11,18:00,"Aareskjold Jon Marius","KRS K1 039/Samspillsal 2"
"MUR118 1url man",2016-02-15,11:15,2016-02-15,14:00,"Brodtkorb Henrik J.","KRS K3 024 midi-lab"
"MUR162/MUR113 ons",2016-02-17,09:15,2016-02-17,11:00,"Gunvaldsen Erik","KRS K3 024 midi-lab"
"MUR113/MUR162 ons",2016-02-17,09:15,2016-02-17,11:00,"Gunvaldsen Erik","KRS K3 024 midi-lab"
"MUR113/MU-162 gehør og rytmikk",2016-02-18,11:15,2016-02-18,12:00,"Mjåland Einar","KRS G1 012"
"MUR118 1url man",2016-02-22,11:15,2016-02-22,14:00,"Brodtkorb Henrik J.","KRS K3 024 midi-lab"
"MUR162/MUR113 ons",2016-02-24,09:15,2016-02-24,11:00,"Gunvaldsen Erik","KRS K3 024 midi-lab"
"MUR113/MUR162 ons",2016-02-24,09:15,2016-02-24,11:00,"Gunvaldsen Erik","KRS K3 024 midi-lab"
"MUR114/MU-149 musikkhistorie. tors",2016-02-25,09:15,2016-02-25,11:00,"Rasmussen Bruce C.","KRS K1 039/Samspillsal 2"
"MUR113/MU-162 gehør og rytmikk",2016-02-25,11:15,2016-02-25,12:00,"Mjåland Einar","KRS G1 012"
"MUR118 produsentarbeid.tors",2016-02-25,13:15,2016-02-25,16:00,"Aareskjold Jon Marius","KRS K3 024 midi-lab, KRS KU 019 studio A"
"MUR113/MUR200 gruppe 5. laptop",2016-02-25,16:15,2016-02-25,18:00,"Aareskjold Jon Marius","KRS K1 039/Samspillsal 2"
"MUR118 1url man",2016-02-29,11:15,2016-02-29,14:00,"Brodtkorb Henrik J.","KRS K3 024 midi-lab"
"MUR162/MUR113 ons",2016-03-02,09:15,2016-03-02,11:00,"Gunvaldsen Erik","KRS K3 024 midi-lab"
"MUR113/MUR162 ons",2016-03-02,09:15,2016-03-02,11:00,"Gunvaldsen Erik","KRS K3 024 midi-lab"
