Subject,Start Date,Start Time,End Date,End Time,Description,Location
"VER109-G 05.01",2016-01-05,12:15,2016-01-05,16:00,"Bache Carl Christian","GRM A3 027 sem VER"
"VER109-G 06.01",2016-01-06,08:15,2016-01-06,12:00,"Steig, Marianne","GRM A3 027 sem VER"
"VER109-G 07.01",2016-01-07,08:15,2016-01-07,12:00,"Bache Carl Christian","GRM A3 027 sem VER"
"VER109-G 08.01",2016-01-08,08:15,2016-01-08,12:00,"Steig, Marianne","GRM A3 027 sem VER"
"VER109-G 11.01-1",2016-01-11,08:15,2016-01-11,11:00,"Steig, Marianne","GRM A3 027 sem VER"
"VER109-G 11.01-2",2016-01-11,11:15,2016-01-11,14:00,"Haugland, Silje","GRM A3 027 sem VER"
"VER109-G 13.01",2016-01-13,10:15,2016-01-13,13:00,"","GRM A3 027 sem VER"
"VER109-G 13.01 grom",2016-01-13,13:15,2016-01-13,14:00,"","GRM A2 020, GRM A2 142, GRM A2 143, GRM A2 144"
"VER109-G 14.01",2016-01-14,08:15,2016-01-14,10:00,"Haugland, Silje","GRM A3 027 sem VER"
"VER109-G 14.01 grom",2016-01-14,10:15,2016-01-14,12:00,"","GRM A2 020, GRM A2 142, GRM A2 143, GRM A2 144"
"VER109-G 15.01",2016-01-15,08:15,2016-01-15,11:00,"Nilsen, Geir S.","GRM A3 027 sem VER"
"VER109-G 15.01 -2",2016-01-15,11:15,2016-01-15,13:00,"Haugland, Silje","GRM A3 027 sem VER"
"VER109-G 15.01 grom",2016-01-15,13:15,2016-01-15,15:00,"","GRM A2 020, GRM A2 142, GRM A2 143, GRM A2 144"
"VER109-G 18.01",2016-01-18,08:15,2016-01-18,10:00,"","GRM A3 027 sem VER"
"VER109-G 18.01 -2",2016-01-18,10:15,2016-01-18,11:00,"Bache Carl Christian","GRM A3 027 sem VER"
"VER109-G 20.01",2016-01-20,08:15,2016-01-20,10:00,"Haugland, Silje","GRM A3 027 sem VER"
"VER106-G PRAKSIS",2016-01-25,08:15,2016-01-25,16:00,"",""
"VER106-G 26.01 - 1",2016-01-26,08:15,2016-01-26,09:00,"Haugland, Silje","GRM A3 027 sem VER"
"VER106-G 26.01 - 2",2016-01-26,09:15,2016-01-26,13:00,"Abusland, Terje","GRM A3 027 sem VER"
"VER106-G 27.01",2016-01-27,08:15,2016-01-27,12:00,"Bønnhoff, Heidi","GRM A3 027 sem VER"
"VER109-G 27.01 grom",2016-01-27,12:15,2016-01-27,14:00,"","GRM A2 020, GRM A2 142, GRM A2 143, GRM A2 144"
"VER106-G 28.01",2016-01-28,08:15,2016-01-28,12:00,"Bønnhoff, Heidi","GRM A3 027 sem VER"
"VER106-G PRAKSIS",2016-01-29,08:15,2016-01-29,16:00,"",""
"VER106-G PRAKSIS",2016-02-01,08:15,2016-02-01,16:00,"",""
"VER106-G 04.02",2016-02-04,08:15,2016-02-04,12:00,"Abusland, Terje","GRM A3 027 sem VER"
"VER106-G PRAKSIS",2016-02-05,08:15,2016-02-05,16:00,"",""
"VER106-G PRAKSIS",2016-02-08,08:15,2016-02-08,16:00,"",""
"VER106-G 09.02",2016-02-09,08:15,2016-02-09,11:00,"Steig, Marianne","GRM A3 027 sem VER"
"VER109-G 10.02 grom",2016-02-10,12:15,2016-02-10,14:00,"","GRM A2 020, GRM A2 142, GRM A2 143, GRM A2 144"
"VER106-G PRAKSIS",2016-02-12,08:15,2016-02-12,16:00,"",""
"VER106-G PRAKSIS",2016-02-15,08:15,2016-02-15,16:00,"",""
"VER106-G 16.02",2016-02-16,08:15,2016-02-16,12:00,"Abusland, Terje","GRM A3 027 sem VER"
"VER106-G 16.02 grom",2016-02-16,12:15,2016-02-16,16:00,"Abusland, Terje","GRM A2 042"
"VER106-G 18.02",2016-02-18,08:15,2016-02-18,12:00,"Abusland, Terje","GRM A3 027 sem VER"
"VER106-G PRAKSIS",2016-02-19,08:15,2016-02-19,16:00,"",""
"VER106-G PRAKSIS",2016-02-22,08:15,2016-02-22,16:00,"",""
"VER106-G 24.02 grom",2016-02-24,08:15,2016-02-24,12:00,"Ufford Janneke Quarles van","GRM A2 042"
"VER109-G 24.02 grom",2016-02-24,12:15,2016-02-24,14:00,"","GRM A2 020, GRM A2 142, GRM A2 143, GRM A2 144"
"VER106-G 25.02",2016-02-25,08:15,2016-02-25,12:00,"Abusland, Terje","GRM A3 027 sem VER"
"VER106-G PRAKSIS",2016-02-26,08:15,2016-02-26,16:00,"",""
"VER106-G PRAKSIS",2016-02-29,08:15,2016-02-29,16:00,"",""
"VER106-G 03.03",2016-03-03,08:15,2016-03-03,14:00,"Ufford Janneke Quarles van","GRM A3 027 sem VER"
"VER106-G PRAKSIS",2016-03-04,08:15,2016-03-04,16:00,"",""
"VER106-G PRAKSIS",2016-03-07,08:15,2016-03-07,16:00,"",""
"VER106-G 08.03",2016-03-08,08:15,2016-03-08,12:00,"Bønnhoff, Heidi","GRM A3 027 sem VER"
"VER106-G 09.03",2016-03-09,08:15,2016-03-09,12:00,"Bønnhoff, Heidi","GRM A3 027 sem VER"
"VER109-G 09.03 grom",2016-03-09,12:15,2016-03-09,14:00,"","GRM A2 020, GRM A2 142, GRM A2 143, GRM A2 144"
"VER106-G PRAKSIS",2016-03-11,08:15,2016-03-11,16:00,"",""
"VER106-G PRAKSIS",2016-03-14,08:15,2016-03-14,16:00,"",""
"VER106-G 15.03 grom",2016-03-15,08:15,2016-03-15,14:00,"Ufford Janneke Quarles van","GRM A2 042"
"VER106-G PRAKSIS",2016-03-18,08:15,2016-03-18,16:00,"",""
"VER106-G PRAKSIS",2016-04-04,08:15,2016-04-04,16:00,"",""
"VER106-G 05.04-1",2016-04-05,08:15,2016-04-05,12:00,"","GRM A3 027 sem VER"
"VER106-G 05.04-2",2016-04-05,12:15,2016-04-05,14:00,"","GRM A3 027 sem VER"
"VER106-G 06.04",2016-04-06,08:15,2016-04-06,12:00,"","GRM A3 027 sem VER"
"VER109-G 06.04 grom",2016-04-06,12:15,2016-04-06,14:00,"","GRM A2 020, GRM A2 142, GRM A2 143, GRM A2 144"
"VER106-G 07.04",2016-04-07,08:15,2016-04-07,12:00,"","GRM A3 027 sem VER"
"VER106-G PRAKSIS",2016-04-08,08:15,2016-04-08,16:00,"",""
"VER106-G PRAKSIS",2016-04-11,08:15,2016-04-11,16:00,"",""
"VER106-G 13.04",2016-04-13,08:15,2016-04-13,12:00,"","GRM A3 027 sem VER"
"VER106-G 14.04 grom",2016-04-14,08:15,2016-04-14,12:00,"","GRM A2 042"
"VER106-G PRAKSIS",2016-04-15,08:15,2016-04-15,16:00,"",""
"VER106-G PRAKSIS",2016-04-18,08:15,2016-04-18,16:00,"",""
"VER109-G 20.04 grom",2016-04-20,12:15,2016-04-20,14:00,"","GRM A2 020, GRM A2 142, GRM A2 143, GRM A2 144"
"VER106-G 21.04",2016-04-21,08:15,2016-04-21,12:00,"","GRM A3 027 sem VER"
"VER106-G PRAKSIS",2016-04-22,08:15,2016-04-22,16:00,"",""
"VER106-G PRAKSIS",2016-04-25,08:15,2016-04-25,16:00,"",""
"VER106-G PRAKSIS",2016-04-29,08:15,2016-04-29,16:00,"",""
"VER106-G PRAKSIS",2016-05-02,08:15,2016-05-02,16:00,"",""
"VER109-G 04.05 grom",2016-05-04,12:15,2016-05-04,14:00,"","GRM A2 020, GRM A2 142, GRM A2 143, GRM A2 144"
"VER106-G PRAKSIS",2016-05-06,08:15,2016-05-06,16:00,"",""
"VER106-G PRAKSIS",2016-05-09,08:15,2016-05-09,16:00,"",""
"VER106-G PRAKSIS",2016-05-13,08:15,2016-05-13,16:00,"",""
"VER106-G PRAKSIS",2016-05-16,08:15,2016-05-16,16:00,"",""
"VER106-G 18.05",2016-05-18,08:15,2016-05-18,12:00,"","GRM A3 027 sem VER"
"VER109-G 18.05 grom",2016-05-18,12:15,2016-05-18,14:00,"","GRM A2 020, GRM A2 142, GRM A2 143, GRM A2 144"
"VER106-G 19.05",2016-05-19,08:15,2016-05-19,12:00,"","GRM A3 027 sem VER"
"VER106-G PRAKSIS",2016-05-20,08:15,2016-05-20,16:00,"",""
"VER106-G PRAKSIS",2016-05-23,08:15,2016-05-23,16:00,"",""
"VER106-G 24.05",2016-05-24,08:15,2016-05-24,12:00,"","GRM A3 027 sem VER"
"VER106-G 25.05",2016-05-25,08:15,2016-05-25,11:00,"","GRM A3 027 sem VER"
"VER106-G 26.05",2016-05-26,08:15,2016-05-26,10:00,"","GRM A3 041 sem"
"VER106-G PRAKSIS",2016-05-27,08:15,2016-05-27,16:00,"",""
"VER106-G PRAKSIS",2016-05-30,08:15,2016-05-30,16:00,"",""
"VER106-G 02.06",2016-06-02,09:15,2016-06-02,11:00,"","GRM A3 027 sem VER"
"VER106-G PRAKSIS",2016-06-03,08:15,2016-06-03,16:00,"",""
