Subject,Start Date,Start Time,End Date,End Time,Description,Location
".ORG448-1 forel onsd",2016-01-06,12:15,2016-01-06,14:00,"Kristiansen Stein Oluf","KRS B2 014 sem"
".ORG448-1 gr",2016-01-06,14:15,2016-01-06,16:00,"Kristiansen Stein Oluf","KRS 50 115a, KRS 50 115b, KRS 50 115c, KRS 50 115e, KRS 50 115f, KRS 50 116a, KRS 50 116c, KRS 50 116d, KRS 50 116e, KRS 50 116b, KRS 50 116f"
".ORG449-1 forel (Sentrum 09:15-12:00)",2016-01-07,09:15,2016-01-07,12:00,"Wald Andreas","KRS x Tordenskjoldsgate 68 (200) Eilert Sundt-"
".ORG449-1 gr",2016-01-07,13:15,2016-01-07,16:00,"Wald Andreas","KRS 15 101, KRS 15 102, KRS 15 103, KRS 15 104, KRS 15 105, KRS 15 106, KRS 15 107, KRS 15 108, KRS 15 109, KRS 15 114, KRS 15 115, KRS 15 116, KRS 15 117, KRS 15 118, KRS 15 119"
".ORG448-1 forel mand",2016-01-11,14:15,2016-01-11,16:00,"Kristiansen Stein Oluf","KRS B3 008 aud"
".ORG449-1 forel (46-118 14:15-17:00)",2016-01-12,14:15,2016-01-12,17:00,"Wald Andreas","KRS 46 118 aula"
".ORG448-1 forel onsd",2016-01-13,12:15,2016-01-13,14:00,"Kristiansen Stein Oluf","KRS B2 014 sem"
".ORG448-1 gr",2016-01-13,14:15,2016-01-13,16:00,"Kristiansen Stein Oluf","KRS 50 115a, KRS 50 115b, KRS 50 115c, KRS 50 115e, KRS 50 115f, KRS 50 116a, KRS 50 116c, KRS 50 116d, KRS 50 116e, KRS 50 116b, KRS 50 116f"
".ORG449-1 forel (Sentrum 09:15-12:00)",2016-01-14,09:15,2016-01-14,12:00,"Wald Andreas","KRS x Tordenskjoldsgate 68 (200) Eilert Sundt-"
".ORG449-1 gr",2016-01-14,13:15,2016-01-14,16:00,"Wald Andreas","KRS 15 101, KRS 15 102, KRS 15 103, KRS 15 104, KRS 15 105, KRS 15 106, KRS 15 107, KRS 15 108, KRS 15 109, KRS 15 114, KRS 15 115, KRS 15 116, KRS 15 117, KRS 15 118, KRS 15 119"
".ORG448-1 forel mand",2016-01-18,14:15,2016-01-18,16:00,"Kristiansen Stein Oluf","KRS B3 008 aud"
".ORG449-1 forel (46-118 14:15-17:00)",2016-01-19,14:15,2016-01-19,17:00,"Wald Andreas","KRS 46 118 aula"
".ORG448-1 forel onsd",2016-01-20,12:15,2016-01-20,14:00,"Kristiansen Stein Oluf","KRS B2 014 sem"
".ORG448-1 gr",2016-01-20,14:15,2016-01-20,16:00,"Kristiansen Stein Oluf","KRS 50 115a, KRS 50 115b, KRS 50 115c, KRS 50 115e, KRS 50 115f, KRS 50 116a, KRS 50 116c, KRS 50 116d, KRS 50 116e, KRS 50 116b, KRS 50 116f"
".ORG449-1 forel (Sentrum 09:15-12:00)",2016-01-21,09:15,2016-01-21,12:00,"Wald Andreas","KRS x Tordenskjoldsgate 68 (200) Eilert Sundt-"
".ORG449-1 gr",2016-01-21,13:15,2016-01-21,16:00,"Wald Andreas","KRS 15 101, KRS 15 102, KRS 15 103, KRS 15 104, KRS 15 105, KRS 15 106, KRS 15 107, KRS 15 108, KRS 15 109, KRS 15 114, KRS 15 115, KRS 15 116, KRS 15 117, KRS 15 118, KRS 15 119"
".ORG448-1 forel mand",2016-01-25,14:15,2016-01-25,16:00,"Kristiansen Stein Oluf","KRS B3 008 aud"
".ORG449-1 forel (46-118 14:15-17:00)",2016-01-26,14:15,2016-01-26,17:00,"Wald Andreas","KRS 46 118 aula"
".ORG448-1 forel onsd",2016-01-27,12:15,2016-01-27,14:00,"Kristiansen Stein Oluf","KRS B2 014 sem"
".ORG448-1 gr",2016-01-27,14:15,2016-01-27,16:00,"Kristiansen Stein Oluf","KRS 50 115a, KRS 50 115b, KRS 50 115c, KRS 50 115e, KRS 50 115f, KRS 50 116a, KRS 50 116c, KRS 50 116d, KRS 50 116e, KRS 50 116b, KRS 50 116f"
".ORG449-1 forel (Sentrum 09:15-12:00)",2016-01-28,09:15,2016-01-28,12:00,"Wald Andreas","KRS x Tordenskjoldsgate 68 (200) Eilert Sundt-"
".ORG449-1 gr",2016-01-28,13:15,2016-01-28,16:00,"Wald Andreas","KRS 15 101, KRS 15 102, KRS 15 103, KRS 15 104, KRS 15 105, KRS 15 106, KRS 15 107, KRS 15 108, KRS 15 109, KRS 15 114, KRS 15 115, KRS 15 116, KRS 15 117, KRS 15 118, KRS 15 119"
".ORG448-1 forel mand",2016-02-01,14:15,2016-02-01,16:00,"Kristiansen Stein Oluf","KRS B3 008 aud"
".ORG449-1 forel (46-118 14:15-17:00)",2016-02-02,14:15,2016-02-02,17:00,"Wald Andreas","KRS 46 118 aula"
".ORG448-1 forel onsd",2016-02-03,12:15,2016-02-03,14:00,"Kristiansen Stein Oluf","KRS B2 014 sem"
".ORG448-1 gr",2016-02-03,14:15,2016-02-03,16:00,"Kristiansen Stein Oluf","KRS 50 115a, KRS 50 115b, KRS 50 115c, KRS 50 115e, KRS 50 115f, KRS 50 116a, KRS 50 116c, KRS 50 116d, KRS 50 116e, KRS 50 116b, KRS 50 116f"
".ORG449-1 forel (Sentrum 09:15-12:00)",2016-02-04,09:15,2016-02-04,12:00,"Wald Andreas","KRS x Tordenskjoldsgate 68 (200) Eilert Sundt-"
