Subject,Start Date,Start Time,End Date,End Time,Description,Location
".MF-202-1 forel (12:15-15:00) D3 018/D3 054 STREAM",2016-01-13,12:15,2016-01-13,15:00,"Lind Emma","KRS D3 054 sem, KRS D3 018 sem"
".ORG312/BE-319/MF-301 uke 3.4 (46 118)",2016-01-13,17:15,2016-01-13,20:00,"Wald Andreas","KRS 46 118 aula"
".MF-202-1 gr",2016-01-20,10:15,2016-01-20,12:00,"Lind Emma","KRS 50 110, KRS 50 114a, KRS 50 114b, KRS 50 115a, KRS 50 115b, KRS 50 115c, KRS 50 115e, KRS 50 115f, KRS 50 116a, KRS 51 101, KRS 51 102, KRS 51 103, KRS 50 114c, KRS 50 116b"
".MF-202-1 forel (B1 007 12:15-15:00)",2016-01-20,12:15,2016-01-20,15:00,"Lind Emma","KRS B3 007 aud"
".ORG312/BE-319/MF-301 uke 3.4 (46 118)",2016-01-20,17:15,2016-01-20,20:00,"Wald Andreas","KRS 46 118 aula"
".MF-202-1 gr",2016-01-27,10:15,2016-01-27,12:00,"Lind Emma","KRS 50 110, KRS 50 114a, KRS 50 114b, KRS 50 115a, KRS 50 115b, KRS 50 115c, KRS 50 115e, KRS 50 115f, KRS 50 116a, KRS 51 101, KRS 51 102, KRS 51 103, KRS 50 114c, KRS 50 116b"
".MF-202-1 forel (B1 001 12:15-15:00)",2016-01-27,12:15,2016-01-27,15:00,"Lind Emma","KRS B1 001 aud"
".ORG312/BE-319/MF-301 uke 3.4 (46 118)",2016-01-27,17:15,2016-01-27,20:00,"Wald Andreas","KRS 46 118 aula"
".MF-300-1 lecture wk 4.5.6",2016-01-29,08:15,2016-01-29,11:00,"Sirisena Amila","KRS B3 007 aud"
".ORG312-1 forel",2016-02-03,08:15,2016-02-03,11:00,"Wald Andreas","KRS B2 006 aud"
".MF-202-1 gr",2016-02-03,10:15,2016-02-03,12:00,"Lind Emma","KRS 50 110, KRS 50 114a, KRS 50 114b, KRS 50 115a, KRS 50 115b, KRS 50 115c, KRS 50 115e, KRS 50 115f, KRS 50 116a, KRS 51 101, KRS 51 102, KRS 51 103, KRS 50 114c, KRS 50 116b"
".MF-202-1 forel (B1 007 12:15-15:00)",2016-02-03,12:15,2016-02-03,15:00,"Lind Emma","KRS B1 007 aud"
".MF-300-1 lecture wk 4.5.6",2016-02-05,08:15,2016-02-05,11:00,"Sirisena Amila","KRS B3 007 aud"
".ORG312-1/MF-301-1 forel",2016-02-05,12:15,2016-02-05,15:00,"Johannesson Jokull","KRS B2 003 aud"
".ORG312-1 forel",2016-02-10,08:15,2016-02-10,11:00,"Wald Andreas","KRS B2 006 aud"
".MF-202-1 gr",2016-02-10,10:15,2016-02-10,12:00,"Lind Emma","KRS 50 110, KRS 50 114a, KRS 50 114b, KRS 50 115a, KRS 50 115b, KRS 50 115c, KRS 50 115e, KRS 50 115f, KRS 50 116a, KRS 51 101, KRS 51 102, KRS 51 103, KRS 50 114c, KRS 50 116b"
".MF-202-1 forel (12:15-15:00) D3 018/D3 054 STREAM",2016-02-10,12:15,2016-02-10,15:00,"Lind Emma","KRS D3 054 sem, KRS D3 018 sem"
".MF-300-1 lecture wk 4.5.6",2016-02-12,08:15,2016-02-12,11:00,"Sirisena Amila","KRS B3 007 aud"
".ORG312-1/MF-301-1 forel",2016-02-12,12:15,2016-02-12,15:00,"Johannesson Jokull","KRS B2 003 aud"
".ORG312-1 forel",2016-02-17,08:15,2016-02-17,11:00,"Wald Andreas","KRS B2 006 aud"
".MF-300-1 lecture wk 7-11. 13.15.16",2016-02-19,09:15,2016-02-19,11:00,"Sirisena Amila","KRS B3 007 aud"
".MF-300-1 gr",2016-02-19,11:15,2016-02-19,12:00,"Sirisena Amila","KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024, KRS B3 026, KRS B3 027, KRS B3 028, KRS B3 029"
".ORG312-1/MF-301-1 forel",2016-02-19,12:15,2016-02-19,15:00,"Johannesson Jokull","KRS B2 003 aud"
".ORG312-1 forel",2016-02-24,08:15,2016-02-24,11:00,"Wald Andreas","KRS B2 006 aud"
".MF-300-1 lecture wk 7-11. 13.15.16",2016-02-26,09:15,2016-02-26,11:00,"Sirisena Amila","KRS B3 007 aud"
".MF-300-1 gr",2016-02-26,11:15,2016-02-26,12:00,"Sirisena Amila","KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024, KRS B3 026, KRS B3 027, KRS B3 028, KRS B3 029"
".ORG312-1/MF-301-1 forel",2016-02-26,12:15,2016-02-26,15:00,"Johannesson Jokull","KRS B2 003 aud"
".ORG312-1 forel",2016-03-02,08:15,2016-03-02,11:00,"Wald Andreas","KRS B2 006 aud"
".MF-300-1 lecture wk 7-11. 13.15.16",2016-03-04,09:15,2016-03-04,11:00,"Sirisena Amila","KRS B3 007 aud"
